,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,598.2981393884371,707.7701128047296,594.9072479254897,679.8461324286802,592.9177707830855,574.5521238708458,607.0498583624349,622.6277847599537,529.4255651851919,513.0090795493635,589.6714756675042,556.7928257536306,557.5417429909195,577.950935423241,602.1714636025973,598.2992046412612,617.1221768338835,579.5868069281225,527.8410961917175,703.4690473352696,664.3368208996189,833.1868211657068,617.946542896938,579.6243654957049,658.4003674147509,528.1486760274695,559.7232393394469,670.000187052589,702.8128009516112,597.2187770265948,615.0375737097243,637.6288754856404,613.6706339899936,651.239463142407,589.656752419342,596.9627281839616,614.5115953772715,578.1071777116086,643.2378400029819,598.5781233783995,715.7992217698907
Albanian,598.2981393884371,0,750.0019032395262,645.872478254023,721.8697955232899,638.6017620041553,622.5072552867492,651.0149584995039,674.9749089932805,593.3308072513884,650.9144228779097,659.1521507531977,602.223546748384,600.9687468328148,650.2216606251011,647.6353276247353,654.962854616116,668.5024701285382,651.3743214702587,576.4049546890233,740.6254281276712,711.946592402589,881.3458066373802,659.0245756302037,627.6716521904924,705.4021120370406,595.0745124368365,611.8235568415029,717.6379385007233,752.3845198643517,642.9400297963772,662.0274097577934,681.4722169835733,657.8431010166264,683.2986105918167,637.2096618163712,644.3212094515795,653.7329703268396,649.2790120447563,686.0025477919697,645.5724208075795,761.1965387649021
Armenian,707.7701128047296,750.0019032395262,0,754.2625994382307,835.3740323775669,757.0845646003477,734.7775044311619,764.1582665854904,780.9383074161638,703.7914080388124,758.5156120690685,768.8985196645868,716.5888957299064,714.816616559255,761.8763507776696,758.4369585376318,765.6698986963552,778.9296316792008,751.3620798643394,688.988392899507,860.3510510588195,812.0286126193313,974.9072317510552,773.036378612677,742.3215727444822,820.1223505910463,706.0805771179056,716.6343926470038,812.0314707553827,856.8688807754945,751.7162991054672,774.629406985276,794.0623800318397,772.4815359869239,797.3964154793099,750.716173072029,761.1152451564359,772.1288129407756,756.6420864066105,798.3423841416975,755.1867910149145,870.4960256369089
Bengali,594.9072479254897,645.872478254023,754.2625994382307,0,727.510100023976,635.6165198970809,613.0289290892632,653.5634400177629,665.5109835549316,586.232639218693,640.6241941815576,650.4623657275816,598.9117740145294,599.1701176769321,638.7967597996791,634.3801179504491,606.8513670712969,617.2660634764705,646.0296362952251,572.7669618061121,738.4045667260888,709.4345097213655,874.1847128827163,661.8561717334829,592.6444875209152,655.3285225478651,585.1673918197238,605.2359660806746,710.206546565249,740.6673208045569,633.6553509977067,654.5612025611979,682.7091202863915,660.8124768546791,686.6680551170645,635.1525585261428,638.8295832773857,648.9879969349046,636.5417215959122,689.095691932546,597.0535081264933,760.045498788145
Bosnian,679.8461324286802,721.8697955232899,835.3740323775669,727.510100023976,0,668.6172887753906,706.2639793388398,618.2071423262264,709.3469622786265,673.0126436610566,729.4330540016527,743.2808537014276,683.6778990041772,685.9769908110435,729.413926744492,732.9890103002085,735.4170114329285,752.2797849615566,730.6751583029144,666.9577600149954,812.728572104359,776.1561147285918,942.7849899650212,646.7820027588907,710.3602224471665,789.6943453529856,671.6595103731039,699.988087242359,801.765985582349,783.2900594427138,721.0032636763497,741.9826496644943,693.3718319431604,578.0022058939652,779.1951922311149,666.5729921910079,673.456289375524,735.124716622912,725.4625501222183,694.6767989733066,730.5169959091141,843.9437457905908
Bulgarian,592.9177707830855,638.6017620041553,757.0845646003477,635.6165198970809,668.6172887753906,0,611.7252646984556,585.735064898645,630.2343484840959,581.9114739738145,640.5522633091149,646.0144861637461,597.9919695238781,593.3479475914382,641.2568106936071,638.6022622556816,639.1246223305342,655.3077065418593,647.1639861279593,573.9657371782127,726.8406016476944,702.2761503724372,864.6207717572952,594.99532206544,615.3837422932077,699.316139689501,581.6041978258573,608.3325473590318,712.1209669810713,712.8644832273295,635.2974656368363,652.7647232825686,647.5201635934219,606.7686092641457,688.5138750882659,594.7759940181496,604.1310497693943,642.784667230075,636.3971771749106,653.4022102823598,638.1037573014596,754.7331149000019
Catalan,574.5521238708458,622.5072552867492,734.7775044311619,613.0289290892632,706.2639793388398,611.7252646984556,0,629.8885825675726,644.848171927733,560.1671567614947,618.6989129121318,626.3622401130149,565.415861337642,544.4411082657105,618.2138497093761,611.3607718615973,617.6652848576739,631.3170887083058,624.9827666046838,550.4207720115635,686.2512497440351,681.9055147705647,849.3220936666289,638.7593479229366,594.5838276877718,685.0582653888846,556.894722784809,589.3430967522997,695.5750162648836,722.6539162295035,583.139085194648,613.8773711488324,662.4135825306197,638.141945886465,674.5661600284199,608.8492343697974,612.8470505108098,589.4305487935446,609.5998097373712,665.5889617494862,616.6457042189256,745.8155804358028
Croatian,607.0498583624349,651.0149584995039,764.1582665854904,653.5634400177629,618.2071423262264,585.735064898645,629.8885825675726,0,640.0854941413168,597.3656624576276,658.0615555453601,659.6612428233119,610.7782293919025,612.0412001297899,654.7177194760865,656.4656473579399,652.1083939682277,674.4473582073392,661.745333080488,589.1729137913363,741.6318399337705,712.9809062809484,874.2024440914511,608.4244360011802,625.6101681773931,714.0615459361123,596.2580298871991,621.3657887453309,728.923210805711,716.6020291993024,652.2299717920451,668.8448978391444,649.8269069013123,559.320530143294,707.0654936619551,594.7478595480168,588.8990906623628,661.8578105039119,654.0312698866018,649.0762764237425,656.1548671655311,771.3791842952737
Czech,622.6277847599537,674.9749089932805,780.9383074161638,665.5109835549316,709.3469622786265,630.2343484840959,644.848171927733,640.0854941413168,0,606.9935793927236,671.3317337599238,677.9047897460961,626.1561901876775,620.8517156897743,665.7540824010398,670.81368949551,672.7818953695901,689.7755951778682,672.6721609756961,601.7612671579952,757.963148486831,728.3238831476469,902.1701920539114,661.0186687279671,649.5292773813351,723.1092353272766,610.3620943443586,637.1460716571077,738.8617271392885,725.4235672408383,665.3012103039365,678.7311208492897,667.4327070705955,646.7169396400332,718.5389011354455,579.5185311210232,639.0899201752942,676.4895596001676,666.3000705846799,672.9877237896591,669.4308285801798,780.3302181206648
Danish,529.4255651851919,593.3308072513884,703.7914080388124,586.232639218693,673.0126436610566,581.9114739738145,560.1671567614947,597.3656624576276,606.9935793927236,0,573.0788918265456,580.5819668452211,542.3254871804969,543.8129147521271,567.6855670749774,587.519268409483,587.0295779404977,605.5748221870635,575.1451440983406,512.8940978451327,682.2550233348093,659.0505123980663,825.5362734406596,606.6754340861692,563.3227376400806,645.9743177392952,496.2033877956574,553.6175735384476,663.8656348430608,693.7962864076644,583.599109815711,601.3115512295605,628.8960150622532,605.8273692303516,642.3763103049074,575.0717330606082,581.8827926027789,595.5882813730069,559.4021653809777,632.0378765244878,584.8650849039144,703.5436981479405
Dutch,513.0090795493635,650.9144228779097,758.5156120690685,640.6241941815576,729.4330540016527,640.5522633091149,618.6989129121318,658.0615555453601,671.3317337599238,573.0788918265456,0,634.3723116837444,606.7011611529983,609.8928563468494,604.6265465089677,646.811708538491,640.3370508424515,656.6350209436519,635.375403812596,575.0297171606485,744.9093847087119,711.5308256386791,875.7770763113439,667.605512552104,621.0629013334445,707.845203075841,569.4838342760239,612.8326431860906,716.9768404237669,746.7660534479259,644.8746205907433,658.6145830499885,688.5110745515534,665.5127351879668,706.5297219560389,640.1906087824009,641.9505682140399,660.9244321178396,617.8411674434856,693.2245955115029,647.0987643819892,764.8788289949625
English,589.6714756675042,659.1521507531977,768.8985196645868,650.4623657275816,743.2808537014276,646.0144861637461,626.3622401130149,659.6612428233119,677.9047897460961,580.5819668452211,634.3723116837444,0,612.9459510774814,614.8628942700947,638.6506661531529,659.0215187045961,647.7785842561493,674.7524973250277,658.093345624205,575.978034788341,752.4271945662086,714.9375352282264,891.1392287472406,678.398806207413,625.6235444276023,710.318009181564,582.4651602064773,621.6274145926191,732.2914810461385,761.179159984739,650.733398797574,669.0471657617747,696.750743159893,670.7145257500133,713.6265654672785,638.2144032924089,648.8377786057936,662.9871665063537,644.5404642551409,697.960595568494,653.818429910008,766.2016674515103
French,556.7928257536306,602.223546748384,716.5888957299064,598.9117740145294,683.6778990041772,597.9919695238781,565.415861337642,610.7782293919025,626.1561901876775,542.3254871804969,606.7011611529983,612.9459510774814,0,553.2285385828106,601.6799335313654,605.2516200450941,602.1651567066287,621.2160240276364,615.4493619092622,531.8914822965761,682.5873167770433,668.8830557292715,833.3007777900978,622.9693370201163,577.2683442916643,664.6903715947424,546.1334208719963,571.1045562933369,680.2050714251149,707.3225671211903,592.3872990204828,613.6603665864967,642.273064620269,618.0158844554369,662.2651895919665,591.3033386905986,595.9612725728981,602.456221093057,602.4948931715128,646.609741542686,604.1789133943706,722.7571819794553
Galician,557.5417429909195,600.9687468328148,714.816616559255,599.1701176769321,685.9769908110435,593.3479475914382,544.4411082657105,612.0412001297899,620.8517156897743,543.8129147521271,609.8928563468494,614.8628942700947,553.2285385828106,0,607.7436625902458,604.4700356699357,610.818993440229,623.5724862374303,606.010087776412,531.7557588018805,656.1580748712694,671.8732843381648,840.4520375211928,621.4047735334199,585.5355648509969,662.8603668753757,548.6475269393549,570.5366466407805,672.8401125258188,711.2183925357314,543.4226968144533,608.6400940528332,643.8220723676013,618.4880019249052,647.8297998976013,590.3242638384844,600.4584442562107,517.8605160686692,600.5164296969813,646.9746821703634,604.2214180142265,717.3788058676955
German,577.950935423241,650.2216606251011,761.8763507776696,638.7967597996791,729.413926744492,641.2568106936071,618.2138497093761,654.7177194760865,665.7540824010398,567.6855670749774,604.6265465089677,638.6506661531529,601.6799335313654,607.7436625902458,0,645.2781454630397,641.2441390193611,663.0042153238643,641.2982864257576,574.9752401078721,739.2737290459451,708.2115331713957,877.4010252124953,669.9136510985703,621.9474868761162,706.289380581151,579.0731866813874,615.4898362004421,718.1861502569899,745.3983229776251,648.310905557458,660.679468505178,685.7370277057673,663.8167842112836,708.3164600860689,631.3530706655017,642.8200373278524,660.2216005771893,620.7761894150443,688.4454966267709,646.9296335557743,764.4878357423313
Greek,602.1714636025973,647.6353276247353,758.4369585376318,634.3801179504491,732.9890103002085,638.6022622556816,611.3607718615973,656.4656473579399,670.81368949551,587.519268409483,646.811708538491,659.0215187045961,605.2516200450941,604.4700356699357,645.2781454630397,0,638.4495886553615,652.3672289842261,650.7976293280572,575.9635203651599,739.2048362123642,709.55190442404,874.2026638317178,667.6315936007834,619.3891176387145,700.3968580056368,588.6151418874986,610.5574868647961,720.447280189165,749.7508589547723,643.6363782655577,660.4894980690697,686.3154816832991,666.0137601894864,691.2677551598492,634.4598663588221,642.4933956606673,650.7946368808024,638.966403604973,689.1933871842996,637.8018842790555,764.2795834127066
