,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,593.3318271708542,695.0045187744806,588.9393657983961,669.3709844977009,586.5246271080989,569.2164486379048,598.5563812704746,614.3856395260274,517.4613085145533,485.26559489638186,577.0001314552567,548.1372193275377,552.5684062700731,561.9253166208165,598.3896041503365,593.4217718146044,615.0795538672669,563.6978181105326,524.9287647995982,696.4245005304552,643.4916864921894,813.9443313323789,610.6402060716997,576.2013836635791,652.9432227486276,516.6979515075866,556.2896376858407,662.8022879260501,690.1473130493481,589.0473019617128,609.6373777007811,630.735111357379,607.1340944910609,642.5680001485442,578.1494803497121,590.1288804700384,609.9513192185755,561.2037955468588,636.0755233142769,593.1648081613594,708.2412754434299
Albanian,593.3318271708542,0,739.2072501574658,640.2746109880927,711.4126545296527,635.6385859618582,619.2042672053044,644.901029762114,670.866845238347,592.3031535300366,641.1531810957163,661.2805786924724,593.2408241686223,597.9094871082473,640.6781920695324,637.0994892325382,651.359456129251,665.1180423338976,642.9537591451322,577.3319206985619,729.7482862737114,698.6128272607076,863.9557662218136,650.6451429920662,625.8498958699239,702.2294757869419,594.7620509737723,611.6011720788729,710.8634918256704,744.7087392423596,633.4779305944047,657.6915674702678,674.6221802365897,651.8426579590563,674.2264756767677,630.7321238638226,639.8771115356647,646.9339262913732,640.5947013186849,677.6959926787458,641.8503670132991,752.7312594788796
Armenian,695.0045187744806,739.2072501574658,0,749.0364993895352,823.6041594707177,748.2245433138119,730.6917580557615,752.6063137070729,769.9771764131661,699.0696931002044,747.8575046069822,760.9897423029663,707.3824340980823,710.6251082502858,749.7696174737133,749.2979581306522,759.6179854206622,778.0049768493433,737.1009105561735,683.9922065013751,846.4277338047538,789.9789461572651,951.5932159453376,764.451847386475,740.1427461829658,816.5234605879036,701.211442278452,710.744780150593,801.2912463763183,845.9763418799496,742.2673338003974,765.90829002984,785.8627268458301,763.8718688717341,785.533441117057,738.71054436317,753.615118680757,765.5163302173565,745.062803076676,790.5691400829169,750.7942055390257,856.9003979527628
Bengali,588.9393657983961,640.2746109880927,749.0364993895352,0,719.069902035747,622.8844930442825,604.8168879469482,642.9412807020252,656.2828717251784,580.9304213156552,631.6638842248474,644.8556215755199,590.7394708049962,593.3199755529135,629.8537682461935,625.4187958661482,586.7079876066183,596.6847949355893,637.1943758905924,569.514533747786,725.8973636123691,690.0945225266903,856.8023625320499,653.1535422459237,578.1776265893715,629.308542897852,583.1358551662886,593.8883141690611,700.1169783317509,724.941586895113,624.7296932347351,647.5202827222195,676.060703508213,652.8482292049637,672.7032876374485,622.6679694907758,630.2220779939237,640.1342514709593,626.5090004586987,681.6352661619388,576.1843322225701,744.5770384047971
Bosnian,669.3709844977009,711.4126545296527,823.6041594707177,719.069902035747,0,643.9451426253346,696.4577544695958,584.4122398683978,691.3356199940768,667.4659266676756,718.9629940571813,737.6297011480782,673.2239900571926,679.5350789284067,717.2009504407991,722.9066604988822,728.7711504474538,746.3576816408995,716.1687827136465,664.657157259365,801.5949671981217,747.3239750747435,916.308919348794,609.2048115355689,706.8363772512474,787.1707253083191,667.760261446748,694.7871259583632,790.0873698698193,755.2326809222103,707.5139670664206,732.8815689808679,660.413050131123,527.2153334265926,767.4252793367322,637.6219895035587,656.4817564925747,725.4055469918201,711.5287408820947,662.9230955321148,722.3281494406912,829.6701114238133
Bulgarian,586.5246271080989,635.6385859618582,748.2245433138119,622.8844930442825,643.9451426253346,0,597.5170000186854,552.4172590314507,608.7877444983433,573.4598623807684,626.804577128642,630.3189185995714,583.5439766820099,588.071654271344,619.9518561964956,626.6071647390631,633.2420015783506,648.2413161110495,635.0247619534583,570.6309122932801,698.1585797757987,673.8249078424093,833.9704136107893,568.1401585789179,609.9607704179875,691.8083568864894,576.464740372325,603.768901488104,703.7783789526984,681.9090032486852,620.6108674770547,636.7817652641908,629.2756516532586,584.0018241200879,678.6646283585509,569.4368197419411,589.4975997924996,629.5292361569219,618.4169179133777,634.8017509279142,628.7029343583658,732.0220429377066
Catalan,569.2164486379048,619.2042672053044,730.6917580557615,604.8168879469482,696.4577544695958,597.5170000186854,0,614.6872784770248,635.3119404267898,554.3219961773232,610.7801410950053,616.8704803847015,553.5606125357249,527.8921169496633,612.1465525512341,605.7333755062293,612.1040841225916,627.1170037319984,616.4341987893674,547.4800075150762,665.2372301798706,665.966373040359,832.4950472607416,627.4554194237745,590.3998276511664,680.29575033038,551.0984394685123,583.1393362529518,690.2407960311738,709.3869005461916,564.5862109225092,601.6447376084574,652.4317178236023,627.6398540705443,666.3737915150273,594.5678889626104,605.199641215767,566.381865074894,600.6874783728632,656.7521435254921,608.5954922127729,732.7242844031173
Croatian,598.5563812704746,644.901029762114,752.6063137070729,642.9412807020252,584.4122398683978,552.4172590314507,614.6872784770248,0,622.9511856032598,591.6298528929717,641.5439989004004,648.401971372885,598.4835133664127,605.8899575305664,638.8622087293635,642.2986958618366,644.7909166246781,668.1770393915009,650.4519406619262,586.7370326248961,717.5266799065027,685.6132227749866,841.0032531927492,581.9608485727005,618.8826793437736,710.9906290890311,593.5228193400794,616.5056152428956,722.4213992171838,687.0931458673336,635.8556706278396,653.4736307814231,629.544378460425,527.0575963278123,694.7999177161497,567.5252406306407,568.5884632617943,645.463969487133,638.3257149858232,627.579454174388,645.4495695486952,755.1110570385111
Czech,614.3856395260274,670.866845238347,769.9771764131661,656.2828717251784,691.3356199940768,608.7877444983433,635.3119404267898,622.9511856032598,0,601.3688638928423,660.801289495331,670.9471586524937,613.9186931020456,616.9941077898922,655.2121693129199,665.2619464058223,665.7182081023792,686.2732022321902,662.4199989131415,597.4910177317623,743.5817546029389,702.9681944048372,879.2540086448594,642.7727997443006,645.9626512407601,717.8488348750824,605.6778822344111,632.2914080652447,734.6931034382461,695.2996187557223,654.0234548296382,668.3383962979989,645.9759280830408,627.139675811443,712.1725262119452,550.0958228572284,623.9862758960082,668.1727701181321,651.6327038298276,656.9016467250217,662.0028525251371,766.1903533006163
Danish,517.4613085145533,592.3031535300366,699.0696931002044,580.9304213156552,667.4659266676756,573.4598623807684,554.3219961773232,591.6298528929717,601.3688638928423,0,561.094850325927,567.5156435641833,534.6281699183203,539.3365078201775,550.9005418968522,583.8375093098466,579.6334027940702,598.8758206665174,560.2332115220458,506.1691352905989,677.6852352056885,644.7297301005511,808.5105748910971,602.7267048393628,559.319624641892,637.5561069843349,477.7853249529619,548.0047452192476,657.0515391902429,682.6784440173118,579.8220413721021,596.0481463555384,623.9836278060465,601.1904934269438,638.9801036305025,565.2367446652778,576.909636308283,591.5212157489667,538.0943948859821,628.497918074638,577.2320817966051,693.086214142278
Dutch,485.26559489638186,641.1531810957163,747.8575046069822,631.6638842248474,718.9629940571813,626.804577128642,610.7801410950053,641.5439989004004,660.801289495331,561.094850325927,0,619.4551256278382,593.9373126277039,604.7743831152333,581.6119026580086,635.7666170004404,634.6673241971172,651.7220037718702,617.5964097447217,571.262640714527,729.8586685676295,687.9046119371181,851.5429357900573,654.2312072876167,616.0470925600179,702.5127864474823,562.6758224467151,607.8146117888765,710.2033821543977,729.4183781214045,630.349119317356,648.7008520715838,676.7784798135539,654.0980681720953,691.0039763101483,625.0281188892145,629.5797835244346,646.8080838116132,599.4344244224278,683.4094921812427,636.0964084352622,750.4969052075453
English,577.0001314552567,661.2805786924724,760.9897423029663,644.8556215755199,737.6297011480782,630.3189185995714,616.8704803847015,648.401971372885,670.9471586524937,567.5156435641833,619.4551256278382,0,604.7863297186091,612.2543871291758,622.4439122463759,651.4805413010093,644.3190426809115,672.9313336865205,644.9201089340812,570.709217187115,735.8887634463932,699.5635766100118,871.0897768341558,672.9854177531448,624.670287200734,708.7112506141112,577.9893501810119,619.3648411292017,728.4831011029881,751.446377452401,641.6793647806296,662.1679037648014,693.7537045450819,666.7336841134853,706.8814078357033,629.9132488871845,648.3875456442255,655.8930011447687,627.7433634930371,695.9705457798626,652.1873662865955,750.6239580929646
French,548.1372193275377,593.2408241686223,707.3824340980823,590.7394708049962,673.2239900571926,583.5439766820099,553.5606125357249,598.4835133664127,613.9186931020456,534.6281699183203,593.9373126277039,604.7863297186091,0,541.9968731952696,587.512135879232,594.0745208087002,597.2779890024781,617.5772663583224,603.4356196449103,524.6898100319092,664.0814393101023,643.5614692416975,810.2298186570661,612.2531097239023,572.7972609955387,656.6083669731084,537.7640105596206,562.5277162036128,671.2078880412437,690.6093875061902,573.6723453962568,600.1039365632618,633.1524009300646,607.2286003964144,652.652473271481,575.1090126579643,585.5076550331723,585.8288679444973,588.5420763051548,636.6675962226936,596.0467769086629,710.4989136059215
Galician,552.5684062700731,597.9094871082473,710.6251082502858,593.3199755529135,679.5350789284067,588.071654271344,527.8921169496633,605.8899575305664,616.9941077898922,539.3365078201775,604.7743831152333,612.2543871291758,541.9968731952696,0,600.6520600119419,599.7177040017212,605.0856708532476,621.0552957908408,597.2966965203441,528.8231434381692,643.8838925237931,661.0786401570804,827.7982650655665,615.0177448577901,582.4456728536345,657.2708034661531,544.6243611779603,567.4410178776145,667.4374800167076,704.2342376169383,524.8760686948223,601.1120100654605,638.5331708642392,613.1764379791566,646.006838585151,582.2229295066905,596.0627856663086,491.7458521719721,591.1678674425227,642.5555512207085,600.7633858802827,709.7729741571131
German,561.9253166208165,640.6781920695324,749.7696174737133,629.8537682461935,717.2009504407991,619.9518561964956,612.1465525512341,638.8622087293635,655.2121693129199,550.9005418968522,581.6119026580086,622.4439122463759,587.512135879232,600.6520600119419,0,634.2654377699965,636.8280600235743,658.2233031876739,622.7552742887943,567.9865361640664,718.7699648100012,684.7051609916607,854.0981448353587,658.0942112034255,617.8036651120179,695.851937664653,569.1336283262845,607.7580888807053,707.3049339076351,729.9936482994193,636.1486726296577,647.1374124484362,677.8366049151396,653.1601735569247,699.2019429201646,616.5169110051787,628.7615833614486,645.1725930910218,600.7337098444937,681.6904178258249,640.3052076789407,744.8629442136156
Greek,598.3896041503365,637.0994892325382,749.2979581306522,625.4187958661482,722.9066604988822,626.6071647390631,605.7333755062293,642.2986958618366,665.2619464058223,583.8375093098466,635.7666170004404,651.4805413010093,594.0745208087002,599.7177040017212,634.2654377699965,0,636.4661540209877,648.3587845397687,640.7637896259366,571.690410448185,724.8838796650979,689.0666010869501,854.1864915401134,654.8875527366619,615.9545623631878,693.7895072969288,586.8568175300446,603.1532853607926,712.4357209340897,736.8062381410439,629.4385436533595,655.0639945237677,675.938251075494,656.0124423007647,677.2047500463899,621.9936800091474,633.4541694712274,635.8199221194271,631.8799850525559,680.0482469526843,630.0705250621187,746.974237491294
Gujarati,593.4217718146044,651.359456129251,759.6179854206622,586.7079876066183,728.7711504474538,633.2420015783506,612.1040841225916,644.7909166246781,665.7182081023792,579.6334027940702,634.6673241971172,644.3190426809115,597.2779890024781,605.0856708532476,636.8280600235743,636.4661540209877,0,554.07185225919,651.1064944811288,575.2217028952872,743.5745219731361,702.7562278385127,869.941878107593,663.6875138315847,503.5171784715056,655.0655479819242,587.8189248481995,600.0273608953523,715.8335393545111,741.3022543974338,639.9514641113244,657.3720805089016,686.7018332322159,659.0897223175548,692.9976799515305,627.617112819649,632.5998731400848,651.3971023500299,635.1793500751609,689.5066554974737,590.4101578615845,755.6690963771164
Hindi,615.0795538672669,665.1180423338976,778.0049768493433,596.6847949355893,746.3576816408995,648.2413161110495,627.1170037319984,668.1770393915009,686.2732022321902,598.8758206665174,651.7220037718702,672.9313336865205,617.5772663583224,621.0552957908408,658.2233031876739,648.3587845397687,554.07185225919,0,662.5198920475691,591.6319776461157,758.7676824241667,720.4799356037939,883.665385084985,675.2331073854227,558.6109301134893,659.124584400913,603.4800885839888,612.70672025617,722.0055506280299,756.9723129394645,655.4542703678164,667.890717781634,708.3751247728675,680.5843685004133,694.6804184623855,646.910990599674,653.865643356559,665.1109239131605,645.8146767831315,708.5880515840079,555.7167684255548,775.7143913895072
Icelandic,563.6978181105326,642.9537591451322,737.1009105561735,637.1943758905924,716.1687827136465,635.0247619534583,616.4341987893674,650.4519406619262,662.4199989131415,560.2332115220458,617.5964097447217,644.9201089340812,603.4356196449103,597.2966965203441,622.7552742887943,640.7637896259366,651.1064944811288,662.5198920475691,0,576.8656432101351,738.8108182685759,686.7706341612659,853.7882496406103,655.6725385001482,630.4087555326356,708.3693549318609,558.855247677791,611.4052131838324,703.4698405564628,739.0047830013273,636.3494493269606,657.3412238259026,675.4482587976028,656.0153235505708,679.8002521233452,630.3194485895613,646.7659129368684,655.6383364149312,592.685940384001,682.4194648620717,639.8699869871074,752.413800574978
Irish,524.9287647995982,577.3319206985619,683.9922065013751,569.514533747786,664.657157259365,570.6309122932801,547.4800075150762,586.7370326248961,597.4910177317623,506.1691352905989,571.262640714527,570.709217187115,524.6898100319092,528.8231434381692,567.9865361640664,571.690410448185,575.2217028952872,591.6319776461157,576.8656432101351,0,676.2771585890948,636.501715207876,800.6006046515199,595.8002004644168,549.0358664268496,630.9239333551723,510.57370866221106,534.4162745199887,646.6615323151163,677.0142763757302,567.6424797065694,589.1173300731242,618.3968785123428,596.7521728749927,626.304702130951,558.0535730275407,567.9306673659684,581.5793988470077,562.7099935892111,622.1076602083093,572.0657817673203,677.2324546697772
Italian,696.4245005304552,729.7482862737114,846.4277338047538,725.8973636123691,801.5949671981217,698.1585797757987,665.2372301798706,717.5266799065027,743.5817546029389,677.6852352056885,729.8586685676295,735.8887634463932,664.0814393101023,643.8838925237931,718.7699648100012,724.8838796650979,743.5745219731361,758.7676824241667,738.8108182685759,676.2771585890948,0,781.7732217042877,941.4883416579802,739.3108615690286,718.0593819084727,785.4457084211597,693.4756581628671,711.1896251870304,808.5879336586337,819.7296415779813,680.4822127369342,705.1939570752455,766.963383705265,738.0395920680697,779.8996317031036,710.7975667732637,729.9262784121889,672.8665542091403,722.5755584185805,767.5779897867649,738.6914922369226,810.5078107912332
Latvian,643.4916864921894,698.6128272607076,789.9789461572651,690.0945225266903,747.3239750747435,673.8249078424093,665.966373040359,685.6132227749866,702.9681944048372,644.7297301005511,687.9046119371181,699.5635766100118,643.5614692416975,661.0786401570804,684.7051609916607,689.0666010869501,702.7562278385127,720.4799356037939,686.7706341612659,636.501715207876,781.7732217042877,0,821.3647061846768,697.5083425355897,681.0391910957344,765.7131822431498,639.9989840252182,673.188393085326,769.2029467983432,759.6749080886523,680.6334521682019,706.5659719880675,708.3840737530134,692.1848070937326,746.5163291539634,661.3613337221262,679.9496753944662,704.5184202316505,682.9940442263996,722.4009526105854,695.883186882632,804.298840101917
Lithuanian,813.9443313323789,863.9557662218136,951.5932159453376,856.8023625320499,916.308919348794,833.9704136107893,832.4950472607416,841.0032531927492,879.2540086448594,808.5105748910971,851.5429357900573,871.0897768341558,810.2298186570661,827.7982650655665,854.0981448353587,854.1864915401134,869.941878107593,883.665385084985,853.7882496406103,800.6006046515199,941.4883416579802,821.3647061846768,0,860.7093858216949,853.0563054641002,924.0968562170733,803.4694914208608,835.7648810192005,931.2738395121387,927.0206791540352,856.1442468777524,866.365646994031,879.629834110421,856.0550285311134,902.2629031105495,837.8629282428232,840.545902214437,861.0920058734973,846.0334327397356,884.0848759926731,861.8708376384831,969.5121352710818
