,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,598.0863016026947,702.3846348102871,592.8535267013491,677.5502635632911,593.5033701124005,570.9493634627387,608.4843768375895,624.3022769541307,521.5277979477228,485.36904098595727,583.2425723984412,552.8096587169321,555.7978195160534,570.7056753769808,600.0963979969515,596.4835680011446,615.1739040144904,570.8579064863715,526.0849043711795,702.3780677305876,655.6361897315592,823.1704192280275,616.4906739455736,578.1478344115876,657.5971757183719,523.0763350386454,559.3229352730958,672.6463972485137,698.4946891390065,595.5016351094505,609.6094358042593,637.9637593160771,614.2853076163982,652.2757519890164,584.7278368945714,597.378911177564,613.6806263467097,565.0787663454998,643.7539883502939,601.0032855124805,719.2166699315442
Albanian,598.0863016026947,0,741.899348458626,641.5961579621537,711.9343992448278,631.2817550309286,616.693559093151,644.3899013885447,671.7503195964961,589.8743911258114,646.6359384207021,658.8195042334567,594.0915797557276,596.2150262953671,646.066162118086,641.3560736906135,651.5484496905648,663.4403370530872,646.4925471953803,575.8545708755663,729.4670554339908,704.4661293500155,864.6010218665926,650.8392037226376,624.1115214035326,700.3343030124371,597.2647248367463,616.7674902813039,708.1023709903282,746.5827757647463,639.0972937401549,653.8207407610806,674.5708128101498,648.2707318374182,671.3898203376774,630.7139388280652,644.7032346776346,645.3805521577262,638.808764773988,673.5155039437788,644.5305276486341,750.2174675444593
Armenian,702.3846348102871,741.899348458626,0,744.3029214921647,827.9050076651081,751.5209727343578,727.7362354600234,760.4366351319568,777.3105475564613,697.1795114555306,745.629017124823,759.5248959436929,705.7977286262333,714.2568988843702,748.2298257656174,745.1337413154172,758.5339679797545,771.7432338144641,738.3946655861918,684.0364870879393,841.9883464923574,798.201229571174,949.432942728817,764.3112437516779,736.7851966640071,820.8125172341273,711.7584117125494,719.682872115057,804.8738366387337,848.4101336633709,743.1541256931976,761.8794298187796,786.1525099823886,764.9827785904251,786.8729661338941,745.5208618627933,763.6744682512201,760.7747775549096,739.763319883523,792.5896234210171,752.4404329526101,858.8727675713275
Bengali,592.8535267013491,641.5961579621537,744.3029214921647,0,726.334863036909,632.0762049209416,607.7415813879526,653.7615432160679,666.6551416812018,582.7845738094529,634.447300477915,647.6660541925909,593.3099347090595,599.7119546870117,634.2056600604732,627.10828458758,592.8743218508027,601.0057183620312,638.8537195253921,572.2144739998411,728.5568828947498,701.4425785931605,861.9881088626986,657.0513076714354,579.8748748558238,637.1420372443934,590.097239980735,602.704071728832,704.5340111247001,735.3097392970456,630.8874067673636,649.0780893963159,680.2474477012489,657.201494205144,675.1227821668095,632.2149181600864,638.9833710722281,639.436489556932,629.7621674176327,688.0743048739463,581.3103210880097,753.303990347094
Bosnian,677.5502635632911,711.9343992448278,827.9050076651081,726.334863036909,0,644.591244940445,701.7968963861908,580.6110638185581,693.6878256595888,668.1130218193017,726.5625310916628,739.2320295705986,680.7371299007867,680.3412135363783,725.7435080422961,730.7227664371337,734.0200193276876,751.7329520802257,722.2623103865245,667.4763004133079,809.0481931162225,765.2589649727498,928.8260984546503,609.3515684553381,707.4860834348798,791.7830123511055,672.6216250890992,701.8459371072605,795.5865874945365,770.1913642504295,715.866873938459,732.4335113784867,663.7587861009665,522.4454076311141,773.7900865470136,643.4528225268668,656.4631893004048,727.9863789347608,716.4823066338251,663.0880141802124,730.2858683791952,835.9567522242901
Bulgarian,593.5033701124005,631.2817550309286,751.5209727343578,632.0762049209416,644.591244940445,0,604.3220511866606,553.3264706708666,611.4222537286958,576.5816288388879,637.797846958241,638.2047702784325,592.0475641993044,589.0957535029711,635.2053489757923,633.9381099796561,638.8815095801646,652.6860958180928,642.7098207003863,574.0044395536236,714.2609423893289,690.7390830135322,849.420528193899,567.5550829555362,613.0921253557651,695.761442238795,581.2338955508636,608.983535923952,707.8405591554537,692.6321772648031,626.9430227123386,642.2402685840402,630.5572276037436,584.8310598871964,679.1346634400032,576.2902618290094,592.7630736146282,631.3393880230468,629.8314213433794,633.3760495838225,634.7834240565661,743.1979056799846
Catalan,570.9493634627387,616.693559093151,727.7362354600234,607.7415813879526,701.7968963861908,604.3220511866606,0,624.2998868029099,642.7885924982114,555.6869420848055,612.8362582220028,619.2215100878875,557.2335296844583,526.832154675724,616.3717078773212,605.7843896917042,612.306210577528,626.5925629382084,618.2170777133686,549.6197142847883,667.2789342249675,674.8463796652405,841.2666658846281,632.8384205142436,589.0792922220712,681.3914499521353,561.0885092833657,587.3873756252749,694.4937010440906,715.2768096913084,563.9915971051302,600.9744369240138,658.796485821809,634.1535296593331,669.3802609594632,604.886396661937,614.454094438821,566.2266383590921,601.63620764451,661.4620050004689,612.0812324946551,736.6329583161759
Croatian,608.4843768375895,644.3899013885447,760.4366351319568,653.7615432160679,580.6110638185581,553.3264706708666,624.2998868029099,0,621.3938977920357,592.5618673913252,655.1440917456247,651.3282398208812,608.8902587858391,608.5999725978199,651.3693522577455,654.9368697946821,652.1506059630242,677.4122020066004,661.5165983098951,589.9741833541098,731.5926180221146,700.7758676583082,858.3775163826073,584.5113355762101,625.0422577693172,713.3753741961399,597.6508964540363,621.7996884151736,725.9107475747337,698.7047928227099,645.0001843012595,658.2145356860776,631.8294660462201,524.0641394930525,704.4173525149655,574.9108805449805,573.7883706149012,653.8190709011816,649.8268324967239,625.7532784933114,656.621786529487,762.070475824952
Czech,624.3022769541307,671.7503195964961,777.3105475564613,666.6551416812018,693.6878256595888,611.4222537286958,642.7885924982114,621.3938977920357,0,603.7149282392011,675.3992257234557,677.5436073558546,623.6574760602152,621.3617145751509,671.5631118462622,671.0067213331803,674.7665070232666,695.0812964872849,670.8096900371036,601.2175548997081,757.8976316774881,714.9305064809618,890.6341654249549,649.1188695100344,651.7476898334594,726.3667865281984,608.297997732803,640.5260947278266,741.0383048157693,709.073690376133,661.1894939563713,673.7754651245775,649.1723319009083,631.4002516603763,715.7939362928987,548.0537795580493,631.7095233320761,672.966979734482,666.0435723939866,658.5875541997009,671.5857698053815,778.021086558501
Danish,521.5277979477228,589.8743911258114,697.1795114555306,582.7845738094529,668.1130218193017,576.5816288388879,555.6869420848055,592.5618673913252,603.7149282392011,0,564.4729641970166,569.7624263416824,537.2460880635342,539.808285951213,560.6932489092935,581.2586143679208,584.2052174755802,602.3386419934824,563.9488541476671,508.9595800729647,678.8477862771102,651.4146135982072,811.2062438069581,603.0046369440662,562.025962186799,640.9693613140619,482.7972929099889,550.4877720793563,658.5677956380648,689.0519657457769,580.176474899189,595.9482717824663,622.9884305905327,601.1160078768963,635.8137005163417,569.2854969656967,580.0165486648475,591.4910188670524,544.5603519126684,626.2918480974361,580.0688337283076,692.9499801120669
