,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,521.3262190745027,603.8348259619205,505.78000904533286,590.2129739343862,517.9305952380789,488.3696717074137,533.3596549009103,543.2997885251528,460.35067554220626,508.97743724363335,519.087927385335,479.5748856465055,476.31835218193913,509.99577452109077,505.5682023204042,504.43082658038844,514.8502129348658,509.64800319165863,446.9261609277266,602.7437154166995,569.1606468385729,714.3847259453333,531.2767625057616,485.1827006628859,568.4587652836065,461.9122522080488,477.21409284385754,579.0750498418238,601.8037195313938,516.2110603877452,523.1286938577076,549.1199084537825,532.057208417134,562.2016559943673,496.22730921862785,502.291214182211,522.7122868069059,511.67135362899126,559.0769092492723,515.2811782118742,614.0654817718296
Albanian,521.3262190745027,0,656.2554147458286,558.5216656033881,643.2538576009623,568.7705245097297,540.7349966643134,584.1359935933227,593.1365314658965,512.5416020354331,568.3171852290012,573.3982343326891,530.2398473062458,524.9149383015471,564.0663519512472,558.5086078475466,558.7452085341496,570.1962674811615,565.3899985130097,498.85137949125465,656.6518004699453,622.1553240259286,768.1308006813284,583.1086726988073,538.0598493608268,622.5298171628227,513.3143970309676,530.6038181837721,629.0913494072437,656.0058974863889,565.8737226417891,574.6397211908807,600.6831550204051,583.7016235317546,611.1206298284463,546.2237897788817,554.977579681795,572.1247619840804,563.9293899030323,609.9587062605151,566.4286023480398,668.3805431243586
Armenian,603.8348259619205,656.2554147458286,0,640.5727057134147,725.052828283062,655.6580973278394,623.8524589346017,669.1031464606015,679.0688318945511,599.2073141244219,652.0917883630422,656.2972934403928,616.5516877938218,611.02436638407,645.9632265488813,639.0635808326191,640.3746653562014,650.0149126841173,644.5900417573241,584.4227685124437,736.6407991237295,701.5667914732531,841.2788795447508,666.3460777988896,620.5545149058325,702.7359403525793,601.0749138187584,612.373228657188,710.6169617997913,735.5379911801335,649.7664495623876,658.2940919024811,683.2464973099193,667.5730276759588,693.9570719315402,631.6744428492891,637.5850798442124,654.8579071030643,647.7590249280944,694.5504131607197,650.9240549077093,745.3837607647224
Bengali,505.78000904533286,558.5216656033881,640.5727057134147,0,622.9301490328927,550.4054676330015,523.0472691874561,566.3441231473271,578.3088437804707,496.13502108018196,551.6180754514386,553.9037740514731,513.2299377173499,512.0827082238654,546.4762067848851,540.3232944534498,539.3657744063898,549.295932661814,549.3627674770302,482.4480593947868,636.0593209501121,601.713707527107,746.8525825762057,564.1393973911303,520.0662787913066,599.1570123932321,499.4037822778909,514.7462746274346,615.3948775275661,636.4978604136543,549.5024557693386,558.5900529309886,581.508638559876,565.3598603781882,598.189189077098,531.2317915370822,537.1869172313784,555.5012661969018,546.5928753555729,591.5784077759997,547.0171411916832,647.1764636715911
Bosnian,590.2129739343862,643.2538576009623,725.052828283062,622.9301490328927,0,632.1286101824927,607.034092674969,645.3778047249889,660.0647096689055,579.8031169353401,635.687429611467,635.0621534028842,598.3254820792423,594.8790205450495,629.3080908768246,622.4667094915135,624.166675335126,633.9139881127369,632.7254877478365,567.5179102505747,717.2716841483942,683.4470237366055,827.2891066575103,639.4067827306407,604.9670907757854,685.21451615949,583.2764682673187,599.6209498755086,698.7222356950024,715.5522955247201,633.7102920611038,640.0025685584064,657.4621727152326,638.6507843025428,683.3501632772463,613.1597584566994,617.8616784788308,640.1055609384057,630.0306171826174,665.7669155183041,632.2422487165561,728.4984514788257
Bulgarian,517.9305952380789,568.7705245097297,655.6580973278394,550.4054676330015,632.1286101824927,0,533.834404028877,570.7791077872797,585.5765539621174,504.79387650147277,561.8205825856894,560.0503692222561,523.3426386373156,523.49691511497,558.0436366575395,550.8272552409898,552.2581447967391,562.1396155064725,561.4410693104703,494.0019776260393,645.0073267515551,611.9619219108423,759.7246884099117,572.8120756953065,532.3746002819088,613.2687546759008,508.7493073475168,526.9304316873797,628.1829800914383,645.8377361305721,561.1833577753143,566.7674320981952,591.1189835443147,573.7539375622215,609.5885426720414,539.915955531381,547.0791767736875,567.0684982852913,556.4829737682064,599.5900837407145,559.283003330235,656.8724414359084
Catalan,488.3696717074137,540.7349966643134,623.8524589346017,523.0472691874561,607.034092674969,533.834404028877,0,550.3226762537076,561.0720422902797,478.5064966212806,533.5126712674515,536.7016029754254,495.9433286010542,492.59097772184083,528.6629211166355,521.8789642135681,523.2771461504143,534.7227257489166,532.05203053945,464.40595365481624,617.9564700413699,585.2968753873571,731.2544475951854,548.8067227088734,504.22148078280685,586.2077376439255,481.1525721432267,496.717573360093,598.7193777457859,620.0207906882292,530.7056628007454,538.8801660051105,565.307408664424,549.3122018886547,582.1026731316776,513.7992363719828,519.4539417979369,536.1350036734564,527.3616673304551,575.2640293331694,532.7632330791387,631.7229832417651
Croatian,533.3596549009103,584.1359935933227,669.1031464606015,566.3441231473271,645.3778047249889,570.7791077872797,550.3226762537076,0,601.4528786004325,521.6400829318513,577.2820703899021,577.0708915011382,539.123188564237,538.8008149847968,573.2259408359654,565.7316366397727,567.4235239002348,577.6998128565907,576.8094538206275,510.3655949323182,660.2582571715798,628.0322426695147,772.6774980353522,587.4576709539895,547.9051912967498,628.247625302171,524.7526145820202,542.5618063216194,642.3053248594334,659.653184316439,575.166100920891,583.6353535786675,605.6502691528926,587.4753558659123,624.4095592774939,555.1666357031606,562.1998801431047,582.4401244710767,573.5210328541959,614.0517477547427,575.443768510469,672.4034177350693
Czech,543.2997885251528,593.1365314658965,679.0688318945511,578.3088437804707,660.0647096689055,585.5765539621174,561.0720422902797,601.4528786004325,0,533.0308393688406,588.8397864114191,591.9416907917908,550.5309547964612,547.7221332946815,583.5437320695046,578.3291229660543,579.6174829252363,590.2804110859681,586.8426206751267,519.6225086065116,674.5600337376964,640.1808300465033,786.6159159775784,601.789816344143,559.8755627246717,641.1822099730538,533.8492917842798,552.0891078064731,652.0182267159872,672.4625953581939,585.8286560812315,593.7099661163212,619.007544319796,601.9497230730184,635.0907466772404,564.7815034533401,574.8492033684876,592.7754895593456,584.0498546841544,628.2823796445686,586.0780999639842,686.595474520296
Danish,460.35067554220626,512.5416020354331,599.2073141244219,496.13502108018196,579.8031169353401,504.79387650147277,478.5064966212806,521.6400829318513,533.0308393688406,0,506.9758684115039,507.63111261356215,468.7312791430705,466.30862040631786,501.6678069989232,497.23842326872693,496.3542187254172,507.6122793196493,504.5987907198531,437.12247093296844,593.0948210516967,559.8396770977455,707.635862464165,520.732294035797,476.8514085204029,559.0604331335334,450.13632323357655,470.4223982803647,571.7118998568108,594.1677004164656,506.35343790371104,513.3801449935513,538.5371880961479,520.8163210449128,553.8112513106695,486.3462310439476,492.72767913411946,512.3649860108536,500.7620678810303,547.6804641105834,504.7682613403224,605.500506869809
