,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1507.998639259252,1733.0321898290192,1435.658246070492,1648.933045168397,1414.6504148556935,1365.2888193156214,1475.552662626036,1454.5135654609962,1253.3614931077311,1165.4583974443308,1320.093855806002,1383.6312756080197,1364.5838583861753,1343.2011251252507,1514.7206664758023,1410.9962965619393,1488.2032043445395,1404.1720212576324,1308.4607824532536,1749.7716792386282,1595.4517892368729,2016.6355283173325,1487.3014711450987,1387.893531832031,1623.6897213059767,1204.9956968752062,1388.762543708533,1634.5113529024575,1685.1307823809082,1469.92118731487,1509.7236692592642,1566.882473463375,1464.977678005423,1655.9906898572815,1403.896635609209,1441.6136126306494,1501.9456130186857,1330.9946190399994,1563.1083731844003,1444.7051891644753,1751.2332901546072
Albanian,1507.998639259252,0,1847.3568378942311,1538.4600668900468,1777.4396795348252,1550.5105472128967,1476.4522752174005,1606.0395046167046,1604.7471207158349,1469.6685568336034,1566.8004301060012,1561.1933289883716,1501.0462355198965,1475.7440782588794,1582.779325949358,1619.6182709999316,1539.0492458192814,1582.2940342497411,1620.1798095576507,1439.204044526865,1818.0052797765618,1749.6615787907476,2143.9434011972085,1610.6505212934064,1491.9011801487231,1739.9661276001445,1430.4853769341962,1515.5892048478418,1750.8426580314501,1822.1050854894495,1591.7514023902215,1608.6623719930749,1698.5129362798539,1598.248924057281,1740.9948252486697,1544.3412043075818,1574.786979790963,1595.6946135514725,1564.496057004702,1673.523840755714,1550.559348299586,1860.7754131494037
Armenian,1733.0321898290192,1847.3568378942311,0,1774.6865349600437,1983.6757452571512,1777.9379474582329,1727.939527607132,1818.661366558641,1821.0747436516426,1717.5206283371988,1793.1544797353265,1785.1076049280027,1760.1097925098609,1732.6119159882137,1796.938049074598,1841.8017712742396,1768.7089920606863,1832.6769580289667,1807.7107150256245,1681.0240889263882,2078.720516227852,1930.3393296892145,2284.340963774987,1832.4081652324267,1744.910672382502,2001.4160672474306,1657.3449160897478,1750.0948640391666,1922.370170597367,2032.6345517647483,1838.2769885475177,1853.2296578079875,1915.9659284288239,1801.8121683824443,1988.9617167053923,1766.749657804096,1809.5285253397974,1859.9769106150807,1774.7034711797876,1902.0810459351292,1799.9248236300202,2075.7317770159584
Bengali,1435.658246070492,1538.4600668900468,1774.6865349600437,0,1698.0513655639954,1454.1761888426345,1399.783437229629,1526.0200212606342,1503.849627191187,1401.6103376825192,1495.7597187468689,1480.2238060393308,1434.9878610655612,1417.202953722243,1496.3536864169944,1538.167523192199,1302.581172548603,1352.908505099046,1539.6511825720754,1378.7241231630778,1745.0884077511616,1661.9206186169906,2040.7901175377704,1518.462998871011,1319.810204644473,1502.644317037916,1351.460117762431,1431.908677228989,1667.5186777400725,1704.966229003705,1525.4903059253882,1544.5508849132593,1622.0497927609404,1506.2992562432898,1643.9141377300948,1460.563457733173,1486.7311183925056,1521.0415617638791,1466.764440923665,1612.4070969743027,1348.7267714475208,1798.235224697204
Bosnian,1648.933045168397,1777.4396795348252,1983.6757452571512,1698.0513655639954,0,1489.1343628172576,1654.8004173736829,1327.0172097438597,1547.7817147382643,1640.0107675665581,1721.4886816681865,1730.948300269091,1696.1875543138744,1651.9980113056877,1744.0849938837869,1808.9056947131764,1689.2200228180527,1767.7940188771033,1735.1036317058044,1653.79001205374,1959.7290008829705,1776.7520592950975,2126.264140438282,1422.0541287619508,1677.0080563053443,1936.2987860297808,1565.9978781118764,1698.2594760826587,1868.7250685184988,1702.6155434097557,1763.7843143399634,1749.397138336808,1559.8033500154118,1194.872240433213,1924.031258722993,1460.3369234812683,1506.82908739596,1766.9467291798264,1700.5089499364344,1534.9022511740427,1732.9226179360687,2041.4716767854713
Bulgarian,1414.6504148556935,1550.5105472128967,1777.9379474582329,1454.1761888426345,1489.1343628172576,0,1379.934688762222,1309.4176073950728,1382.118979327293,1385.370238636919,1475.0721417160867,1464.11509999097,1442.392900522444,1395.8089313877736,1489.5126144375392,1535.1416141017203,1435.7092222877736,1494.5226209544892,1534.3975558655993,1375.8275903104043,1728.1715567758822,1640.8654817562915,1980.1421248078661,1290.1177012337305,1418.0075225605412,1670.2245162099687,1332.9129530460632,1455.5975765078636,1664.6298356487011,1589.0617066312043,1513.8018006911936,1512.8443344151067,1479.0154263497668,1317.5696581678733,1676.0344027177368,1323.26355009214,1370.2078876148944,1490.6375507129264,1455.4390003849535,1471.3104294302843,1466.0349198598162,1775.7757836156152
Catalan,1365.2888193156214,1476.4522752174005,1727.939527607132,1399.783437229629,1654.8004173736829,1379.934688762222,0,1460.5304527864155,1453.3988118209097,1315.644491222908,1424.6200845811406,1391.3054667429574,1294.4363820093292,1191.1875410135567,1439.8248820735541,1470.6466614304074,1396.7189759929295,1441.2913139399514,1479.1856120637804,1303.1420284243109,1563.914119439773,1615.2848840193024,1976.0209974265033,1467.4066135985474,1365.0305269132693,1616.3488638613214,1255.2569027220843,1397.7382673576485,1623.3623629826093,1665.233695268148,1319.0708751120635,1403.3615721062254,1573.354142443513,1455.0081677711935,1617.7902027207322,1396.4134162138002,1430.7594593736665,1280.1747254459378,1375.8160254039644,1553.1515051878848,1422.0237960195675,1734.08694115542
Croatian,1475.552662626036,1606.0395046167046,1818.661366558641,1526.0200212606342,1327.0172097438597,1309.4176073950728,1460.5304527864155,0,1393.062997878003,1443.1425644406415,1545.2332659115643,1536.46187326122,1504.387704173089,1471.4648035349433,1553.1175407797004,1609.5620480193784,1508.0237123850152,1572.3289647581025,1586.8182724191445,1446.5180141964977,1783.8317577550754,1663.5834749174994,1978.26246590787,1362.9951062437515,1485.5869996579127,1734.0634195679047,1397.1891787861794,1513.8525540158862,1703.9066244890626,1595.0824792855992,1590.4903895145962,1571.115073722758,1494.0239627781884,1182.2500906742448,1740.769263158744,1328.4394606630137,1331.9437098698247,1576.9916029945855,1526.0449609795496,1457.0155586341143,1542.4720602711702,1843.6213451253814
Czech,1454.5135654609962,1604.7471207158349,1821.0747436516426,1503.849627191187,1547.7817147382643,1382.118979327293,1453.3988118209097,1393.062997878003,0,1422.0091799723282,1534.2469503213658,1511.7752731047497,1484.4171262722991,1457.5171233274948,1546.719079960268,1611.9192614261115,1491.6300609740924,1562.7333000076935,1568.9064272684789,1425.0955268590249,1809.1775038516075,1629.7924945372483,2017.0207763438943,1449.439293564836,1480.2654338484472,1713.1156013571097,1375.9365547255618,1495.6749815007702,1712.5130807983874,1560.6935306138932,1593.0707128297647,1573.5547749372463,1489.4933835533054,1368.7263570133066,1727.4538895374817,1204.8895200744366,1416.7392288656524,1566.989786483857,1512.5851891148477,1463.4288429486946,1516.552840031181,1822.9037610507314
Danish,1253.3614931077311,1469.6685568336034,1717.5206283371988,1401.6103376825192,1640.0107675665581,1385.370238636919,1315.644491222908,1443.1425644406415,1422.0091799723282,0,1337.6097821461208,1293.2586578044047,1339.3144338610323,1315.2665400924525,1306.7864222021017,1470.9321225156232,1369.659321307663,1433.0988370259147,1347.979085998927,1243.431439127742,1699.8307200566617,1611.3874913442583,2004.043673648612,1475.635634916785,1343.0065095046482,1578.935295148691,1114.02685333623,1350.731894630091,1593.0501800764519,1671.4659526483224,1438.1230070174424,1458.7350762813096,1556.4852002351774,1451.2122568933864,1613.1726015736701,1373.5237015708706,1405.3340126944513,1441.013868317466,1257.2961355831062,1543.8796561268068,1399.1827605487524,1692.2615402960305
