,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3743.9652168071752,4676.130113059481,4104.614022262634,4509.949600969482,4032.841628130569,4108.263135942202,4119.644454373245,4408.634631190192,3552.814319645368,3245.727538044357,4024.6988477270206,3758.4089058277973,3491.4860397671077,3831.2530879024944,4203.4590197344605,4340.190023355443,4607.14468245225,3585.469724634616,3557.9013933290835,4899.3598837612535,4549.415797349544,5831.532956572404,4086.472758517692,4041.901814002952,4312.120934049305,3375.3718529619546,3583.864882520671,4345.395347031241,5005.5739133980915,4010.2445339807914,4237.375147067839,4279.067270743076,4072.489882771142,4021.437384867238,4012.98636902438,4166.795546011419,4217.184092874565,3708.0609380114565,4256.763877515991,4073.2281850077707,4998.845161002997
Albanian,3743.9652168071752,0,4814.6453865929425,4195.332879407984,4820.101184468273,4337.848291050868,4379.8633694103155,4422.786117840127,4702.70394197143,4018.1387315023744,4345.872407649991,4763.276699156826,3990.2484965250533,3643.1038247631614,4369.212684776576,4319.123171375638,4561.945030968589,4830.942436954633,4071.410211770458,3756.6171875221125,5130.714792766665,4817.004653254767,6028.452525050324,4327.7338922483,4255.651231669204,4321.697826781766,3948.3733734342145,3747.8026256859234,4531.525389768329,5231.3611018836855,4226.059516627346,4423.538387402364,4555.438173256697,4402.540936282909,3843.160334332813,4224.462532502196,4517.653311844098,4416.954702613942,4246.88391542628,4484.730644041043,4178.500455299225,5226.473959086328
Armenian,4676.130113059481,4814.6453865929425,0,5052.121241290575,5513.289892085022,5138.869824328885,5126.2282019157365,5125.971785557023,5446.052552266738,4959.320075872335,5221.1213512723425,5465.089591316434,4862.384911885607,4619.0510826844165,5240.295065334401,5068.1984546316435,5392.483352888503,5599.408031140281,4784.200604352258,4773.722765126819,5884.293418284327,5530.980690886614,6581.848467554918,5113.423055709028,5083.032917524573,5264.12258394786,4718.851574176218,4579.940352029235,5294.96108237505,5984.215819524471,5113.76101498775,5195.886605199769,5327.981208603984,5140.185627602994,4872.410423092785,5080.12603378056,5278.014661839214,5347.998794379813,4975.460975133935,5251.6079087493945,5023.775457201323,5832.1769724699325
Bengali,4104.614022262634,4195.332879407984,5052.121241290575,0,4943.208094120184,4410.352511358164,4386.523015253582,4483.352527112954,4670.852181275701,4245.74095975622,4503.836382448232,4676.234798454354,4169.269344468876,3989.808813802029,4540.73866389283,4399.807434539732,4104.282992865001,4299.101782903639,4352.188074790277,4012.1197359926027,5124.58337698657,5040.215481329051,6187.5862965734705,4483.34861388172,3949.643842166843,4087.802465540107,4131.358357507722,4055.3760187291414,4788.997049094806,5244.085958641983,4322.332808276041,4502.868813048058,4700.853711035875,4475.442382744505,4374.7985694134795,4368.457496300979,4598.993832203291,4440.831421233889,4407.399049664233,4629.848478853522,3808.567576338869,5221.86049527011
Bosnian,4509.949600969482,4820.101184468273,5513.289892085022,4943.208094120184,0,4283.695620514924,5086.527791806861,3749.440152896858,4717.194892614984,4676.870488664052,5022.869955684948,5307.177278154226,4687.693614194331,4535.610761520343,5089.095002536778,5044.152876465294,5256.049997103062,5403.533531753879,4805.884930060046,4678.081833380031,5517.806948566099,5249.931278504701,6395.131245353863,3831.774009906937,4971.460721633939,5104.172640087705,4568.701422748701,4657.268697102193,5386.305486051258,5032.717188876332,4888.062181764131,5008.654939922778,4271.120549606131,3144.75855624837,5012.826285918368,4173.5001943944435,4359.231198311265,5051.520997449098,4912.282160616585,4229.113987379051,4864.772225463432,5730.304614037845
Bulgarian,4032.841628130569,4337.848291050868,5138.869824328885,4410.352511358164,4283.695620514924,0,4336.026315699725,3542.496032356269,4126.586084814311,4089.5797388878123,4396.298184722737,4566.73373626104,4085.821210416493,3907.2735534625454,4504.648140058589,4331.904842813693,4604.703352475104,4827.255649115541,4317.755228665959,4025.2802943440233,4885.047984941352,4984.297654573771,6130.290589316939,3489.2750202048146,4318.262410603169,4765.683310776056,4035.584738052919,4084.7162769757397,4836.995010732856,4802.622737415344,4288.618572913203,4467.510382234386,4117.913185771376,3693.611680412862,4517.047872291365,3804.28928559992,3991.3415189296475,4346.054323841486,4358.560168967767,4091.990706805188,4290.907027138729,5073.493638607669
Catalan,4108.263135942202,4379.8633694103155,5126.2282019157365,4386.523015253582,5086.527791806861,4336.026315699725,0,4454.2095622610705,4756.954824163502,4140.444182224508,4454.312757008327,4551.272196991832,3871.422601047509,3496.9034196542957,4547.308238377804,4377.624699478855,4561.829614362862,4751.680659991562,4401.036598576435,4002.7686315377546,4516.271551829406,5080.011740812142,6258.374715445881,4498.22524555951,4292.708459186352,4863.868268960062,3950.163633825217,4206.85462343857,4907.508371109738,5376.030891304293,3828.3907728183876,4199.588208382095,4798.035401832338,4547.057990606485,4639.76961449957,4386.365302367997,4534.550221995219,3761.767071459079,4346.400563503657,4706.08418948743,4356.872531131921,5225.457155058103
Croatian,4119.644454373245,4422.786117840127,5125.971785557023,4483.352527112954,3749.440152896858,3542.496032356269,4454.2095622610705,0,4077.7839482419395,4156.983255956961,4508.728208223184,4697.911368315181,4124.992560505662,4038.6308040131394,4598.2008398880835,4490.34241972199,4701.510596885453,4899.147108415778,4392.519630462573,4138.606070268923,4997.302629841614,5145.592890394311,6105.314530754382,3659.6980124772404,4392.583473745791,4782.367003713497,4159.605450200181,4120.703875620767,4892.747174089039,4819.177530370626,4394.837792948176,4547.346387169775,4174.574121835475,3169.876786834999,4548.27702651907,3684.8595030979577,3688.6804227640455,4473.066486050936,4455.166851831513,3993.0013542944557,4362.511919412896,5174.444171774046
Czech,4408.634631190192,4702.70394197143,5446.052552266738,4670.852181275701,4717.194892614984,4126.586084814311,4756.954824163502,4077.7839482419395,0,4290.86150730319,4722.424127890533,4960.183876457785,4370.8786450957505,4355.769758831335,4793.963642206107,4711.846896414919,4949.793899910133,5103.015055223765,4649.080885982917,4392.817098203975,5251.852013282319,5253.050978736611,6568.461841084212,4327.958921945366,4704.127017753174,4918.747697668653,4386.678235106547,4380.348003410257,5160.565629313933,4858.54640692441,4638.1811420512095,4770.882414769211,4460.584314795464,4152.131072220886,4899.03696621887,3502.9935059977524,4308.975077900194,4782.789002982164,4734.965997962331,4309.923242131194,4611.142454858791,5376.562706858743
Danish,3552.814319645368,4018.1387315023744,4959.320075872335,4245.74095975622,4676.870488664052,4089.5797388878123,4140.444182224508,4156.983255956961,4290.86150730319,0,3860.864948268996,4233.145318083318,3735.3327212431404,3704.00067135025,3879.2494972650484,4186.934104113049,4393.535713699908,4576.731423660502,3721.587589473512,3681.7119110157123,4699.638227212807,4853.610470749695,6118.820705120524,4223.43421118384,4101.779966135187,4377.81157526123,3202.365742707108,3794.2613348687023,4665.627566242004,5033.173772776178,4150.3043126363655,4242.351282636516,4399.115013200735,4242.298972749518,4217.614089666657,4038.903046987888,4174.448648384611,4271.271129499385,3666.628526206351,4333.452624963568,4144.397807849766,4910.6447196342815
Dutch,3245.727538044357,4345.872407649991,5221.1213512723425,4503.836382448232,5022.869955684948,4396.298184722737,4454.312757008327,4508.728208223184,4722.424127890533,3860.864948268996,0,4422.596609233077,4186.106104828546,4100.763910535508,3918.5670683859717,4470.661618719551,4653.9710368079395,4873.1301738578595,4165.149801043055,4060.2820541131046,5157.580289504328,5092.006235711556,6314.609957845258,4522.5842756752545,4400.497376184155,4781.487897631884,3778.8006362509477,4213.4445955499295,4881.400392222117,5350.823543079124,4317.865216140425,4612.9970937310845,4791.518397721294,4534.720007629652,4629.222256833844,4405.38086525545,4509.192665489698,4484.427991842978,4197.906193576985,4709.5995908571285,4470.1832202397145,5321.065602715437
English,4024.6988477270206,4763.276699156826,5465.089591316434,4676.234798454354,5307.177278154226,4566.73373626104,4551.272196991832,4697.911368315181,4960.183876457785,4233.145318083318,4422.596609233077,0,4364.99450944325,4327.5609655244525,4504.0878259233,4696.507329671353,4741.128868653187,5023.449410840113,4439.558259515422,4253.214164063736,5314.6807181120475,5240.740639601945,6481.969312710918,4767.011918160538,4546.779794702642,5038.204316779101,4074.0482229499185,4483.678027298224,5207.067788800546,5608.722216749213,4609.531779507737,4787.716009082828,4957.510168107658,4712.251790472303,4955.829888754146,4622.574228234218,4776.548463014566,4747.8998340844855,4454.767260003301,4946.275912135433,4660.869415629569,5405.735307564661
French,3758.4089058277973,3990.2484965250533,4862.384911885607,4169.269344468876,4687.693614194331,4085.821210416493,3871.422601047509,4124.992560505662,4370.8786450957505,3735.3327212431404,4186.106104828546,4364.99450944325,0,3557.026982589584,4229.739797637863,4175.710953677552,4394.132593252625,4621.08217554766,4051.770279059134,3722.0771313177406,4488.988407468904,4778.914459165906,6019.742952786288,4213.1949433174,4050.693550770919,4444.9957796045255,3728.4913572591886,3787.9117856490525,4616.425709740196,5074.309263483664,3964.7762646040524,4073.2377761371217,4421.327842679976,4211.865678962567,4168.418290831819,4089.1097131732517,4242.010718416721,4069.1771142030602,4132.107350849864,4354.842205650329,4131.265007496696,4886.805768365765
Galician,3491.4860397671077,3643.1038247631614,4619.0510826844165,3989.808813802029,4535.610761520343,3907.2735534625454,3496.9034196542957,4038.6308040131394,4355.769758831335,3704.00067135025,4100.763910535508,4327.5609655244525,3557.026982589584,0,4168.374518739228,4034.069471490634,4266.966373521435,4508.176216937292,3714.5970662771165,3467.334111217807,4354.7805082089335,4588.803705267393,5894.863712883602,4047.774609366611,3925.2670164630013,4282.337298221809,3635.196207981595,3564.5891264265124,4252.572358911154,5031.7104569809835,3335.495099415615,3928.8794278912324,4272.954693568422,4080.346414512343,3852.174800408489,3962.317048662055,4177.527591613396,3150.5842418949214,3939.1214043860805,4188.705163468135,3968.3037247027714,4862.064664397845
German,3831.2530879024944,4369.212684776576,5240.295065334401,4540.73866389283,5089.095002536778,4504.648140058589,4547.308238377804,4598.2008398880835,4793.963642206107,3879.2494972650484,3918.5670683859717,4504.0878259233,4229.739797637863,4168.374518739228,0,4532.921253198109,4713.24316247428,4894.798648189412,4280.245265056146,4079.7563896910674,5205.876097909394,5089.378088274883,6268.904289487234,4625.1428151118325,4472.467170398386,4714.639448886415,3949.018867188029,4221.184421684872,4934.587587126316,5410.21640423539,4489.032404198895,4620.808744850118,4881.0411353736445,4613.142553246817,4639.483145355354,4443.691026675062,4605.841988405918,4657.515273907374,4237.511494255861,4821.318274534885,4502.826207396103,5355.50001319377
Greek,4203.4590197344605,4319.123171375638,5068.1984546316435,4399.807434539732,5044.152876465294,4331.904842813693,4377.624699478855,4490.34241972199,4711.846896414919,4186.934104113049,4470.661618719551,4696.507329671353,4175.710953677552,4034.069471490634,4532.921253198109,0,4561.878510377609,4701.34583081723,4401.985943925482,4068.963804496988,5057.9916842151515,4959.480291160928,6225.030094975195,4551.723052724585,4317.548814243466,4671.762729358468,4088.0275678761445,4130.6918525876745,4911.776058126921,5336.74646398901,4359.948566865373,4513.296384269774,4775.8831664276995,4550.12762641953,4500.56915019508,4365.024697593984,4554.13429992324,4323.438405477226,4440.02718548936,4703.454299940156,4331.661754168668,5164.3641361832515
Gujarati,4340.190023355443,4561.945030968589,5392.483352888503,4104.282992865001,5256.049997103062,4604.703352475104,4561.829614362862,4701.510596885453,4949.793899910133,4393.535713699908,4653.9710368079395,4741.128868653187,4394.132593252625,4266.966373521435,4713.24316247428,4561.878510377609,0,3816.6620739502073,4618.190508126573,4227.573185419055,5377.351190615459,5311.585491682375,6430.791813541963,4752.898912164026,3329.0747214125836,4518.876915885142,4298.06358278229,4252.266444425623,5123.980251558904,5513.621145727433,4584.305608170224,4757.838575897481,4969.063185992133,4705.559474732248,4699.380051262106,4600.512946713803,4764.146984555973,4640.0413542267115,4655.86569838402,4870.929144382844,4017.1058071551083,5466.068384270654
Hindi,4607.14468245225,4830.942436954633,5599.408031140281,4299.101782903639,5403.533531753879,4827.255649115541,4751.680659991562,4899.147108415778,5103.015055223765,4576.731423660502,4873.1301738578595,5023.449410840113,4621.08217554766,4508.176216937292,4894.798648189412,4701.34583081723,3816.6620739502073,0,4835.556316377947,4464.660293759295,5528.1419633596315,5540.943353793206,6645.605739676852,4962.702221411738,3890.3291984859907,4679.485063596349,4509.239588779422,4472.057932880297,5338.1346598683995,5659.649308747452,4797.909311427028,4779.972876928167,5196.627785141408,4908.751737526101,4883.978052713918,4772.246517770466,4957.387187468018,4871.377210729428,4794.319110105387,5099.8011498540745,3741.6399085488374,5712.597412374251
Icelandic,3585.469724634616,4071.410211770458,4784.200604352258,4352.188074790277,4805.884930060046,4317.755228665959,4401.036598576435,4392.519630462573,4649.080885982917,3721.587589473512,4165.149801043055,4439.558259515422,4051.770279059134,3714.5970662771165,4280.245265056146,4401.985943925482,4618.190508126573,4835.556316377947,0,3922.646962401184,5127.799971212824,4869.567720638279,6031.448676582242,4380.334742191854,4333.665242021677,4615.9297755786065,3554.2300505458084,3941.8971009472616,4578.31717889537,5297.203024230421,4337.5884577698025,4468.50506635023,4537.6320431242875,4370.723932152638,4208.734182686918,4320.5537947980765,4510.194206951755,4483.279627003159,3806.3535527082686,4528.8938679832,4312.717101090212,5184.433280540374
