,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,60190.09902663006,85683.0860550654,70486.58405168283,82117.72735716008,74653.23688683749,76337.51285966251,81057.6824039687,91269.01852729422,68795.80627202154,61909.350480260735,80523.85893800893,72286.90988285161,57904.20400134915,69399.1276914134,89221.01449633714,77753.16187222821,90852.5056940374,60365.89408474704,64573.558212059615,99091.12150717739,85485.79244358325,95704.04452364276,72236.36976599232,72332.98366161998,77497.20420797286,59080.100649730746,62843.89567813707,72881.25628776953,101988.09128176585,77331.8735817363,82415.20593685984,77238.29669112484,72636.27611394048,68259.92980115619,78007.03345451957,84331.51783015758,86316.71560809041,65416.686670586154,77910.18112054167,73655.70694633306,98910.58680443585
Albanian,60190.09902663006,0,87128.73170377729,70434.97282031571,86044.32943191982,79787.39575243427,81210.06144352478,86098.23462060938,95752.11679573038,78944.55327621485,84173.52348778956,97419.73509654406,76877.2309737336,59792.89288879058,81494.15673106238,90806.00428080834,80656.80280895969,94808.00267741233,69475.06734524961,67508.81715671065,104800.67228510091,88324.06921471561,96952.8528089351,75082.47630580174,74987.88105659597,76382.14146730563,70895.70308110732,64457.11150513071,74346.64629247517,106204.71254371516,80541.93057886972,86641.01068038019,79953.88699323648,77012.34811433431,61523.92674341974,80915.62419177649,91935.85262839186,89521.27361735521,76201.08468800505,80161.40214307739,74673.8862371563,103512.91881878597
Armenian,85683.0860550654,87128.73170377729,0,95670.67588749707,106461.04297588355,104161.09480616616,104262.5010132536,105026.61015530907,116983.27426828381,104324.40229162345,107653.89373524026,116609.85841635997,100609.20864158859,87347.66244484372,103870.00236969574,111094.36835674735,104776.37132604924,117351.35948609775,90337.49132414209,94530.27670702005,123943.26913497013,107419.21914369123,114694.11807773863,97981.9744305023,100505.48850027302,100895.09796567331,94203.78031117415,88181.96382817552,96942.82567928461,125669.10636997058,103701.53020189087,106910.72818289904,102514.22773332313,98739.07434225688,91511.54437103796,104456.4710372442,111994.90259837592,115176.80553261511,97869.23037638557,102308.48556523415,98436.76987310668,119554.10090255558
Bengali,70486.58405168283,70434.97282031571,95670.67588749707,0,94421.28964694818,83864.74117402454,83995.71294035696,91902.89287724515,98572.38333976264,86574.76826862375,87536.30647444559,96191.77378976888,82589.21341731664,70865.44943222751,86879.03292062848,92685.07663010426,73129.14834804945,84392.7674431595,78810.88394615786,74096.55369070295,107168.44984649184,96287.3068896768,104522.39461571847,82188.11391650088,71125.2515180904,74181.41545404986,78056.64829815135,73747.8521127238,83402.89558391144,107645.35741300255,83510.35560177453,91261.96811408161,89124.73836221293,83711.85607509536,76073.71875132319,87450.6279553919,96079.2889827972,90090.19378345842,82302.24766304347,88161.55729535814,69519.16538270506,106304.46005205972
Bosnian,82117.72735716008,86044.32943191982,106461.04297588355,94421.28964694818,0,81951.42901687133,100935.47292080238,71441.84453605389,97094.23002259743,98637.64398294679,101148.98973119838,113992.27455012039,96440.80884635901,83902.91458629018,101130.29120947285,110289.444099541,102806.95337647453,113972.69805602414,90763.0058490948,91600.24476389092,116819.55867857441,100094.47676765897,112697.88787028576,68319.16057994963,97803.90811090809,100017.84585946145,88145.9658811596,89524.50924908317,97959.77277351166,103593.68245069917,98294.46390279116,104783.98994872799,78957.35895849056,55768.16189116539,92819.58515323431,80814.57319030348,86999.87605833549,106223.92303570196,96157.21146025378,79132.77711672554,95395.02220125929,119799.62862826449
Bulgarian,74653.23688683749,79787.39575243427,104161.09480616616,83864.74117402454,81951.42901687133,0,86071.23196318724,72603.2875037574,85793.7913933931,86739.62578005264,89814.86199258908,97285.71695624848,85441.04704931677,72659.921805589,90727.55229242845,95877.03494821794,90088.19446224142,100910.29012702417,82224.13686954591,80187.12043436912,102816.54185514546,100773.86105004686,111014.46756238505,64710.790498452545,84877.41282641716,96607.69481616566,80320.46440610726,80395.96176169529,90094.24374744798,101642.02387768144,87963.0831987318,93950.31073577676,78765.9667523583,69652.33626938018,86108.77574882367,76715.09413874918,83524.48086832193,92427.4962190965,86829.25622813457,79332.14263558494,85358.07921663794,105140.96133687769
Catalan,76337.51285966251,81210.06144352478,104262.5010132536,83995.71294035696,100935.47292080238,86071.23196318724,0,93194.04729631386,102874.63112906701,88388.93717373475,90962.49795546453,96159.25392183568,80390.65339009956,64007.416137512846,91268.50364385474,95069.22765048979,87916.86948117964,98975.02248579559,84373.19216771082,78573.06812819504,91925.38617411023,105269.08396517893,114072.73447669877,86910.84162347454,83628.43154554322,96741.95147030694,79775.67743558627,82455.19411383217,92373.69730918808,115270.43729157394,74282.80713052313,88124.05040518317,94496.230406659,88866.61090768805,87619.18309938684,90693.47369706474,97546.5989251108,75393.23045162745,86108.01233433033,92509.65593078568,86549.94147488258,107208.09311326663
Croatian,81057.6824039687,86098.23462060938,105026.61015530907,91902.89287724515,71441.84453605389,72603.2875037574,93194.04729631386,0,87575.96726077696,92196.85177876399,97724.5574216151,104764.74512196745,91831.10962703168,80961.9510851674,97392.03406235803,104523.53575664862,97205.21196135205,108060.63047822747,88473.68630735415,88322.15166901132,109818.92726807768,108282.12392412519,112750.90347975443,71370.7607390543,92165.62769305639,100426.39133269968,85999.70024162171,85980.59102805564,95948.89900454594,104422.61865676293,95151.0238799647,100612.77102585092,82797.54332534481,60983.48358245519,91314.48474115305,76119.19188742856,78875.21007597384,101040.31612380211,92984.25173075318,80202.8634169593,91963.39295468385,111721.76646206956
Czech,91269.01852729422,95752.11679573038,116983.27426828381,98572.38333976264,97094.23002259743,85793.7913933931,102874.63112906701,87575.96726077696,0,96910.45803466225,104423.20340494612,115197.2974471492,99447.51909086974,91026.84649968772,104267.71370586155,112009.35003187445,107230.05810354203,117436.438575575,97197.64513873559,95297.464661547,118769.66098513672,114038.09671719343,127960.68762063449,88642.32759420146,103059.72218323892,108622.8479214934,93885.98044099897,95120.1014628528,104854.20426361202,106442.10212193488,102629.01416478692,109009.4204280856,91455.87267384827,85665.7949134808,103059.57769237786,72345.04953168772,92818.01728844336,109631.92297095522,102604.24870870152,87482.78396632969,99530.55539320139,119727.71720715598
Danish,68795.80627202154,78944.55327621485,104324.40229162345,86574.76826862375,98637.64398294679,86739.62578005264,88388.93717373475,92196.85177876399,96910.45803466225,0,83559.72687771877,96418.30972399955,83435.91227711849,74438.81921906881,81842.96248207285,98988.21071872138,92809.7807627561,104527.47144224666,72368.71023921816,78264.89306803259,106461.55964005749,103989.60189987138,115984.51289516226,86927.2684523157,87807.67162121687,93155.32976125396,65855.63892192292,79668.33028156264,92028.31484850835,114224.13705131899,91716.0171401732,95459.31730250511,92304.4731428421,88727.52879541286,85116.62383504008,88965.8605020762,93665.25890617241,98439.21917355592,74627.99945871452,90620.61707627843,88793.26631692499,107494.71552566176
