,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,4226.364023231528,5155.419611796253,4665.733837745498,5216.924660352374,4366.316936319458,4530.675522422827,4599.1588439841735,4892.001125540468,4079.6242681647122,3917.8202828078342,4326.057414546285,4225.587839192072,3982.063944000286,4222.737351178491,4725.228252088196,4753.238354181297,5055.418725725457,4009.594657574609,4015.978030335571,5343.052585150049,5569.713894790921,6728.289937551485,4601.657201737115,4559.327037019664,4944.05975485489,3770.3284990388433,4039.786759734076,4863.436120523827,5716.374470950438,4606.84267211085,4766.752192260496,4785.035851342356,4623.790232750023,4616.301483490472,4573.873573098118,4779.505060028199,4608.847946160454,4130.734107081892,4813.944539506846,4674.824982781608,5377.61133001565
Albanian,4226.364023231528,0,5374.556076756497,4912.681934803515,5785.173572939406,4870.077352895632,4837.9550714559755,5105.563147763956,5381.0666391694585,4976.3651371260985,5140.934834358344,5356.089046568945,4716.580610349182,4259.764954342601,5156.563682330206,5055.255203444264,5128.499927321553,5385.784275233198,4831.261846915475,4324.1526184218,5801.406931850343,6075.103282680243,7106.2873143340385,5081.017461538818,4797.804622656279,5312.215480494161,4700.130220121259,4291.091919756172,5087.201690402789,6202.576886035094,5056.84198941633,5292.345872601354,5266.331609129852,5120.634043945052,4451.572225760052,4968.533016317149,5283.062258635677,4973.988870629836,4923.536998469022,5244.56091687513,4965.2237816448005,5871.491744439078
Armenian,5155.419611796253,5374.556076756497,0,6074.003944544089,6202.991313309952,5934.319508010707,6087.198067663799,5981.444270381451,6420.30685791631,6120.861485678314,6275.592365399234,6405.183507253264,5688.565650036937,5488.8874103083945,6108.865130204832,5802.200332448152,6375.989558064466,6444.272712842262,5515.357225815913,5420.943476578315,6564.1647475677,6660.247326538848,7836.8551110145545,6142.231705137464,6045.914239316393,6263.638226950549,5613.636318180623,5315.845113683806,5958.328777005619,7151.572053258483,6160.665519864111,6173.794005021572,6176.424215767691,5989.728554987112,5586.103687004401,6048.036389569197,6277.50269693723,6156.920943586145,5973.160191172561,6217.090842917441,6108.00814992823,6706.919213154895
Bengali,4665.733837745498,4912.681934803515,6074.003944544089,0,5690.292485318827,4491.527597545245,4515.477495922204,4735.069553366052,5022.520978626177,4472.729495272372,4842.067745646721,4788.319489160222,4519.90834462863,4391.102535347608,4687.973474187255,4842.429275653195,4173.447238435055,4424.891340986428,4818.84504132541,4381.02625410321,5329.037045336434,5755.754186802137,6832.448186473824,4621.151654423023,4114.38147008349,4894.815187449812,4696.897333227612,4408.302797238787,5253.64214985947,5600.383058879487,4749.337346994285,4839.723241807434,5038.487152451098,4770.060309501865,5024.535322043324,4705.937499207836,5003.111425277228,4687.042696520372,4626.034675427471,4929.031014929846,4088.336564766353,5362.482140876895
Bosnian,5216.924660352374,5785.173572939406,6202.991313309952,5690.292485318827,0,5102.455027946522,5922.4491242801705,4595.048180391201,5355.972185056272,5408.003136070091,5962.3932824518915,5979.909145741315,5323.993492570144,5589.212500122196,5721.668522981976,5819.846508495324,6078.854284871275,5954.995172568499,5691.618336754631,5699.598806616612,6019.045290177947,6085.609016969994,7411.134862060329,4874.160462376607,5909.698385138449,5431.830483526245,5180.001336653397,5628.173637609698,6345.119412606241,5731.338251492398,5758.5619890427415,5581.270550011139,5002.576545871902,4074.4762504731616,6086.339988677448,4764.644024769705,4983.266683366514,5902.584303420099,5771.651387629578,5097.51229448994,5654.492639175208,6360.271663637046
Bulgarian,4366.316936319458,4870.077352895632,5934.319508010707,4491.527597545245,5102.455027946522,0,4273.095779992934,3752.863176869058,4350.99789740973,4231.239762967558,4539.13811701117,4457.926894794568,4356.879369743548,4054.3492860144247,4545.045383953545,4739.994038033839,4597.96153865946,4886.771425608368,4491.714884508931,4198.431740420049,5118.38668953921,5748.901948081839,6547.9495483199735,3558.5732517641804,4329.937833109442,5567.211886476094,4505.015767545086,4290.549434960251,5099.983018749622,5062.22156458035,4557.800388274396,4753.3349433135245,4276.026250754573,3945.4035349805654,5074.148321559904,4071.413726407994,4420.423580206552,4392.258952726065,4449.589448363147,4199.916154337324,4417.225406222535,5001.384517384983
Catalan,4530.675522422827,4837.9550714559755,6087.198067663799,4515.477495922204,5922.4491242801705,4273.095779992934,0,4439.412661913913,5028.127227151734,4138.373098154748,4561.3711660531835,4520.286762746069,3980.2759289276933,3627.9441883887057,4581.6432950754615,4629.082392353495,4539.738765455684,4862.14560783008,4681.455901717694,4095.4108750678033,4775.264836053083,5928.599273941236,6745.049361880628,4523.8045159121,4252.003951866861,5636.291264692562,4305.783375879674,4410.151491194379,5315.396338164954,5602.95274237767,4024.0655398959884,4419.206493252445,5002.892115891027,4733.143463065207,5147.063964590933,4524.809266877088,4743.884673453892,3695.6690708109536,4374.640891797912,4852.3443243460515,4527.688492923318,5238.026197763925
Croatian,4599.1588439841735,5105.563147763956,5981.444270381451,4735.069553366052,4595.048180391201,3752.863176869058,4439.412661913913,0,4420.083342979515,4406.122386746382,4802.054694189173,4896.742096069213,4453.692131982761,4398.312587120315,4759.972019563848,4792.02636781058,4863.628214720095,5048.36430234205,4771.902557981018,4468.936176756832,5265.510521785055,5852.8269675119745,6662.769769573272,3939.52745392312,4571.687300489296,5700.9375086022965,4623.135970335603,4582.4878865343235,5326.168722609422,4957.299212250489,4696.029438786393,4832.771825671717,4446.238829813728,3598.162878544473,5235.41729607971,3957.7503339673212,4044.880194775032,4614.146702367711,4662.012492384737,4263.88588641019,4656.508213632481,5338.913425891488
Czech,4892.001125540468,5381.0666391694585,6420.30685791631,5022.520978626177,5355.972185056272,4350.99789740973,5028.127227151734,4420.083342979515,0,4548.107240327556,4956.214836396274,5106.987379595672,4737.171067257478,4782.4658332787585,4899.851677371563,5222.468713517345,5297.7815974922,5464.483231349877,5034.670083539772,4850.280731279434,5532.271541687495,5992.044843284365,7168.325716312253,4522.968019839044,5119.605738010832,5590.866707604447,4963.363774269274,4829.503039023999,5649.377310827494,5192.196230181524,5001.66210279792,5185.279808322425,4654.07671011455,4351.813621345101,5764.784281026673,3839.9602650503502,4626.923061672356,5073.5786201464625,4956.250700794728,4519.182481733351,4966.737939013916,5581.704706923937
Danish,4079.6242681647122,4976.3651371260985,6120.861485678314,4472.729495272372,5408.003136070091,4231.239762967558,4138.373098154748,4406.122386746382,4548.107240327556,0,4036.5943750264046,3987.6193882703865,3995.3379071180057,4139.823098307623,3843.3037607720166,4523.179864894421,4476.927061752214,4656.52225782242,4134.35979894341,4024.9209217734633,4896.3135862199515,5742.763882570329,6927.9310175480705,4521.788107112592,4264.758325961076,5029.342084692852,3539.708886476375,4323.256900136153,5332.875560656792,5344.142561420075,4321.109928911699,4403.846762977998,4791.351516059402,4648.41405784429,5298.876334360181,4196.229433951558,4427.4425638957155,4347.156285435212,3820.8882933459818,4643.925228634186,4387.63842405074,4944.4973132774185
