,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,515.940539470854,676.3536106916462,562.9823985388437,629.9911193096729,539.1564968755501,554.1825962416704,549.2019726118896,572.1388492141123,447.8846732857106,443.7838470698894,485.1524747717499,523.3262117492421,486.5761001982788,519.7527106491243,603.3139098501811,549.2905394810822,567.9142722264611,489.96198691163164,503.0467377418861,618.3726830664904,774.2698473200151,887.9978105851616,554.0245705334613,519.7404637161742,545.6682778633897,428.6733400168072,502.9852436945597,622.2882555924074,751.1616233720187,573.0476380324427,572.5523894930897,601.1747942616742,552.1556055753913,544.2996075619686,549.3086501576879,577.8257842983461,534.3019554450856,465.3907243255815,583.6506088428463,541.3777170365411,626.6191813125158
Albanian,515.940539470854,0,661.5174160063812,560.3991117728855,663.4193637888936,568.5030715280656,573.3606230186953,577.084647005137,607.0655643378507,569.6954677860588,613.4971823419821,627.2907311385308,557.0589244464061,496.34445249791037,641.178123092222,607.1444329733628,565.4800441912928,574.3241970136172,587.6501642200677,507.74152324157455,637.6640441165086,809.7050833321852,919.978765207773,592.3543951690791,528.3621760100104,546.492930641859,535.9862171077633,513.7930989774928,630.7267877939147,794.7478154804194,599.7897830444449,593.4561455016176,620.2393259046819,584.6070399266675,506.54659255667804,573.2511912578251,607.55144981748,532.4452822111208,570.511837427416,591.2090520480742,537.8623254678579,634.3718230585608
Armenian,676.3536106916462,661.5174160063812,0,741.6165923542455,792.7879621819467,722.6782857741202,749.501272892734,714.2050419323531,741.5006863272745,733.8810871040045,751.9653581242604,770.5043819076848,718.2631510847617,677.4365562082453,757.53265993422,741.5722365582998,733.4765703326599,748.6914844653329,703.7994949119965,677.7171213813643,789.7810458338183,916.6080766265374,987.7398483096698,730.6847668767364,710.911849704252,726.4031358338727,697.6019419803307,668.6409641296428,756.7181055226632,938.6023073208188,758.0937603979371,748.2840691960956,764.0850032369096,729.1453919076737,688.5206443162202,731.8902899079969,760.2738363521626,722.419342464226,724.4801133613325,747.1355910501468,705.9435728876281,787.0567847102957
Bengali,562.9823985388437,560.3991117728855,741.6165923542455,0,686.8237172140523,602.636073262693,606.0793653061555,599.4182734089518,623.5062597047423,575.3343507570363,636.0194220893816,630.8094354151857,582.3996476203406,551.7362000512413,654.2776198580555,634.2589535863661,488.74594226689,498.4637960326425,623.7373927951483,558.8637849462294,661.5815999463506,840.7743835707134,959.2350216145712,611.5899327647612,500.2045292138056,489.0928551609648,567.9890565241815,549.5960035491563,675.5526680483972,799.0204412656103,637.6166630076746,619.1786875980533,662.7756662926546,617.6550058612557,571.9974209484899,603.597100046237,629.03576386794,578.7969097612355,586.761757256403,642.9208552477089,498.16861527551316,678.9667583236635
Bosnian,629.9911193096729,663.4193637888936,792.7879621819467,686.8237172140523,0,561.8049227543241,708.7102195810643,478.1997677236978,593.3586678708787,658.2963036407323,707.1138718903022,704.4491753641995,667.3047321081499,658.6225680393811,718.496583754912,736.1811407432388,700.9785627104413,701.4116899656079,681.0738862690492,676.6114958601516,746.4352686001153,837.4217724941346,930.0100155286091,529.3411571110718,678.9878590750747,656.6388968370636,627.8166703463553,662.154406932138,743.8517098057096,700.1362608842621,715.0807707164404,686.4104626936437,598.5910167032915,437.0701226633269,690.6446924483901,543.6596776562291,567.2390446848618,681.393982709989,672.987264466959,592.4168015069739,661.730530921546,761.3614025257156
Bulgarian,539.1564968755501,568.5030715280656,722.6782857741202,602.636073262693,561.8049227543241,0,588.9241496536171,473.489340430576,532.2890909460478,561.8697020510285,612.0476197256671,613.9817883060244,574.6577220735983,528.1057789102853,635.4589037683381,628.7917234710658,588.7063407145831,586.4283307815841,596.335669640106,565.1353896704202,640.780355079024,815.4052745096124,896.7464233714295,453.1226662861679,549.3749808530445,593.9004920489089,546.4341439830204,567.1444352317046,665.0173157795829,706.9886355277598,619.618261201281,600.3917669413042,555.7593468332598,485.69360919863664,588.960134559032,504.8885344787587,532.8882094037784,555.0785385095606,576.6846513655562,533.998512291302,566.252918869912,650.8090451283904
Catalan,554.1825962416704,573.3606230186953,749.501272892734,606.0793653061555,708.7102195810643,588.9241496536171,0,586.8791964032727,632.875511940225,546.0470923766198,624.1650535029088,606.5741897021077,520.5451154132755,438.00299395133607,642.5696199155961,612.9319645917326,573.5051249665146,590.6896803780496,610.2853746559899,548.2778540834433,558.6047395019352,843.946490249114,936.1163676384614,613.9538606176876,554.5981703025868,607.3684596140597,532.309609017115,565.3857368937073,692.1322649518985,817.246563044391,540.5655162556836,545.6020195256086,660.4973509543961,615.2407424787954,594.6686592939728,600.39532022762,608.7361468902692,459.51919884027524,572.8093071600715,633.1313594670687,580.4924406088099,663.9744686986427
Croatian,549.2019726118896,577.084647005137,714.2050419323531,599.4182734089518,478.1997677236978,473.489340430576,586.8791964032727,0,508.3620404891095,558.3400495440604,622.1053009995967,622.6313091239417,581.686681278266,549.5685855168742,639.5065257249128,620.1502190464873,586.1811462230918,583.6899055666677,609.4843416218114,561.970596744588,646.3541865704741,823.8868195626488,894.6048490046659,476.4847733341082,559.6732212402214,584.380115630085,547.461728404295,552.0978218975462,665.2083771530982,689.2343688529193,637.9042169226916,605.1519013034022,564.6898303960312,412.8397565958784,584.4396891941897,483.48569169013325,492.2346552340517,559.6083877002987,579.4999251709189,524.5785681773502,559.0267982961342,658.1398689149298
Czech,572.1388492141123,607.0655643378507,741.5006863272745,623.5062597047423,593.3586678708787,532.2890909460478,632.875511940225,508.3620404891095,0,574.7598964925197,634.9463416544684,647.1825136925521,598.9707482542537,576.1900069629851,659.8866323163405,666.8573468453402,614.9796858184802,614.7475569587084,635.8415908843567,581.2977769918708,663.5930727728468,825.6280042939497,924.935862167827,543.2720600964924,590.9595149558593,589.1564943610512,577.746386083321,581.2379640716779,697.2961478776093,672.56962538669,650.2146825521444,642.6714591007104,572.5638138639092,512.7820011853998,630.2994868552953,438.46088996272886,539.5444013245213,597.6386252937008,606.7622357181051,534.6913555076842,588.7385083256859,676.9251577712687
Danish,447.8846732857106,569.6954677860588,733.8810871040045,575.3343507570363,658.2963036407323,561.8697020510285,546.0470923766198,558.3400495440604,574.7598964925197,0,515.3693128154888,479.50111021291366,524.213187379027,504.03340653258454,509.6151456421183,607.3998279903334,537.0626763383027,548.7660933428009,500.84357649816917,505.4162194039003,602.3986828521976,812.2002721779653,927.0756506319759,585.8443468646279,518.6193688943135,542.7444113236872,371.2604785277857,530.6456926980956,658.0712667475171,761.0835360315904,585.0411325028211,561.0358019781464,636.5934891354808,586.694386852509,584.5428691063439,545.7769159929594,561.1560674923561,534.8947721937631,429.58818202302973,602.6255255007726,543.5831911611887,617.0357315648757
Dutch,443.7838470698894,613.4971823419821,751.9653581242604,636.0194220893816,707.1138718903022,612.0476197256671,624.1650535029088,622.1053009995967,634.9463416544684,515.3693128154888,0,539.2361549268063,592.8127312178981,580.3471920618675,512.7967592485204,648.9786176223288,614.4559653498266,622.9985676175686,561.0043970930947,582.9266990177279,686.2518855032438,831.9282053080309,941.6851405679687,626.9082602221728,586.5527591992554,628.2496859473771,508.74203164527665,598.8206520259992,692.7693028786646,807.7186427448162,638.3700153496065,628.8375465791175,670.1485250194544,629.4897574969201,647.5823571587081,611.8079906760131,623.4467883240555,609.8540275546978,542.4717920031826,657.0937821131004,617.7680491742918,699.1462091156576
