,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,4176.658464134194,4742.079222717112,4314.520869002413,4687.395525427374,4253.243589823229,4183.085650233574,4332.993689307035,4689.4711992842795,3554.62649098959,3091.9850403167316,3836.9077382703854,3985.9130919417903,3662.5457748042995,3873.207715931336,4404.534185432657,4418.166094562627,4705.734220635703,3656.6707020223116,3660.1579967199086,5076.8560316326575,4841.882037979403,6202.171055234778,4263.423252974539,4142.217339410928,4473.226396758201,3454.4858345598755,3742.439088602623,4644.446494775437,5214.062227549034,4141.359316993004,4482.7347793658555,4452.967451916924,4228.616780481019,4335.326980039884,4178.7185335405175,4308.209015340156,4308.11115960295,3709.828868343328,4448.03941055269,4288.077693225655,5059.26495985495
Albanian,4176.658464134194,0,5087.290481498024,4476.58522854943,5157.978288004399,4620.364286394342,4617.757782801461,4576.805285443501,5050.897528686462,4372.118329868525,4703.654061126854,4991.45017408855,4293.627503112823,3872.63686527221,4847.775589890523,4640.476868001484,4826.383251224918,5056.323242952646,4531.505658814269,4122.714694092687,5369.515039953601,5323.695117763326,6391.953169961483,4604.855586635704,4452.003989653587,4522.612782942791,4322.010206869257,4013.7059825341207,4880.449685288815,5683.7401145108915,4483.818813447737,4739.317147747842,4832.033044102966,4629.0936417806,3977.699521114081,4522.446887107265,4836.8098280154945,4560.084230091445,4523.9648056696715,4737.442229639422,4417.225333572337,5424.016031420703
Armenian,4742.079222717112,5087.290481498024,0,5184.993565265918,5563.01484140856,5282.789390142397,5212.762862085175,5134.41576673485,5695.2438226203,4992.697629787276,5240.41065157561,5393.057894075428,4934.925638818544,4679.410686875469,5292.602623111561,5040.438510735673,5495.892344098819,5674.036921673031,4803.219809613331,4782.912272346086,5839.69830687093,5723.887199665369,6721.064396546886,5179.093468650943,5189.553951395538,5307.663229868725,4850.659003949129,4604.84895402642,5350.263333783848,6152.784250238971,5131.373082311091,5209.82691582355,5365.074890386942,5153.752681782678,4961.607873525113,5160.333534378901,5412.612604951277,5323.089347673633,5011.9086849740115,5290.793144101151,5124.819018756421,5701.650638042858
Bengali,4314.520869002413,4476.58522854943,5184.993565265918,0,5186.642462016729,4555.3080089261575,4437.3835962672465,4601.1307103222725,5029.165512003462,4438.439283568894,4657.615593214729,4728.991538250603,4368.164581237701,4134.075221244218,4815.020480251553,4487.308992648732,3895.7705765446385,4024.6053685475094,4681.698522613266,4150.509946530868,5233.672681668095,5368.288555800809,6465.691481267537,4619.3978387064535,3802.0020445884074,3838.7820401784275,4423.621867314274,4123.967475393348,5031.304034305445,5439.783472531945,4446.274330582856,4701.437504766765,4934.8485274563545,4627.568663995543,4373.211441189857,4572.0957015647355,4717.564755930944,4455.951545336875,4518.595117807374,4817.3866548545,3750.548397879194,5406.856664026466
Bosnian,4687.395525427374,5157.978288004399,5563.01484140856,5186.642462016729,0,4087.5433797602695,5192.585630095821,3352.709753329777,4588.171346031973,4898.858425099901,5159.497344091746,5382.984045997106,4869.473327591408,4699.440413137197,5316.274254453447,5233.722331727321,5469.247145571497,5647.14833650144,4952.924429578693,4881.99512107581,5624.2792138486775,5335.21969070081,6318.961570448689,3559.542108906392,5213.64449489979,5369.141821627282,4780.557875239736,4862.035234158092,5546.396306185406,4826.076990161765,4989.710761178356,5205.187187523399,4048.544807031763,2717.627927381695,5238.632427786277,3975.5494493542706,4158.452081499679,5124.0519275323795,5044.376816352744,3965.701781487347,5113.462988153018,5837.132384396833
Bulgarian,4253.243589823229,4620.364286394342,5282.789390142397,4555.3080089261575,4087.5433797602695,0,4393.115732139335,3306.044333395274,4071.867691626403,4169.152639800992,4511.776906475501,4570.511006662606,4216.553794600534,4034.9934948846853,4761.759379272703,4433.5654685883255,4799.6187875660435,4884.3420379535155,4569.405526445326,4184.653125869622,4816.127005359984,5247.5506080170035,6234.982803368463,3361.5611559114914,4507.788153798617,4836.779249261358,4227.930424391565,4260.759969435979,5043.013238244577,4732.726477684623,4366.264181073217,4557.752217577815,4054.264340689443,3574.2224857397937,4630.17880769608,3712.412370558054,3884.3925602457425,4326.45760460992,4460.75693728088,4000.879457437094,4383.219080758558,5005.161671209563
Catalan,4183.085650233574,4617.757782801461,5212.762862085175,4437.3835962672465,5192.585630095821,4393.115732139335,0,4423.7262524550815,4970.0200022230765,4215.312247653125,4447.302086221746,4449.342651729655,3842.7852308004535,3318.1094472994973,4715.998548782815,4378.783058976647,4562.847401531742,4732.804501608832,4564.732869271214,3967.389510863287,4411.672723257822,5459.338150102401,6501.746279872002,4579.003094746688,4284.422757308693,4800.172983607883,4120.8574229837595,4207.377832777806,5100.508889745612,5453.518872957039,3627.7910671361637,4165.388478431421,4920.09836009407,4612.65570538984,4704.637689188147,4436.70183763041,4560.317103082502,3473.0291481459994,4347.36234639286,4773.711267612527,4451.344967714465,5213.047283731329
Croatian,4332.993689307035,4576.805285443501,5134.41576673485,4601.1307103222725,3352.709753329777,3306.044333395274,4423.7262524550815,0,3882.2410289814084,4120.591727727982,4616.320138817319,4661.425688713656,4200.730958417955,4061.521200273609,4815.590107264098,4468.471333903696,4856.160921720592,4981.114141021662,4592.621749109369,4246.993898042851,4856.882547278537,5348.776069776929,6032.542865043453,3530.56560452404,4512.63631751383,4766.770229490162,4271.810910874523,4196.389845738841,4999.349401915136,4694.430629495279,4446.005951061056,4577.525340897699,4053.674657386967,2886.7052030787054,4525.034474780579,3534.7278237829823,3463.9830383659228,4378.926665130601,4495.6100124473405,3772.352945188384,4437.68331098338,4987.273169952295
Czech,4689.4711992842795,5050.897528686462,5695.2438226203,5029.165512003462,4588.171346031973,4071.867691626403,4970.0200022230765,3882.2410289814084,0,4432.889901496029,5002.356059716445,5144.83549442424,4552.557186361516,4553.424093514208,5229.734817635105,5012.848379210881,5397.216872663279,5539.9943115740825,4960.52810865307,4586.067426074741,5503.542399755687,5525.782768046528,6824.300987679139,4340.782869622717,5108.0220728687955,5264.518372422612,4576.8066916662565,4687.854480468943,5509.0643818642575,4794.392958824157,4831.3879504665065,5075.663031262117,4257.852829058433,4074.7887936107854,5128.301531663981,3168.613781136986,4314.248433065062,4888.015002633643,4939.9774864090805,4125.818472378437,4837.591169483095,5524.712984393717
Danish,3554.62649098959,4372.118329868525,4992.697629787276,4438.439283568894,4898.858425099901,4169.152639800992,4215.312247653125,4120.591727727982,4432.889901496029,0,3881.1659606448384,3916.4828401296377,3842.1646853270645,3801.6865822842483,3901.0823264089586,4263.432457579702,4594.331986527554,4735.510496919926,3697.9888089750925,3730.473392045883,4835.80965105259,5171.442425382693,6470.505608909551,4402.466331800338,4271.697167149255,4445.532104153469,3065.541174841157,3886.3241718813047,4889.4547635214,5318.230405389654,4241.617489803104,4401.337862234274,4582.6170268995265,4394.477432181481,4400.632125107315,4094.505585638752,4208.242909556042,4305.9763512365535,3455.51598395334,4489.66883577443,4262.434016750541,4816.3228415049025
Dutch,3091.9850403167316,4703.654061126854,5240.41065157561,4657.615593214729,5159.497344091746,4511.776906475501,4447.302086221746,4616.320138817319,5002.356059716445,3881.1659606448384,0,4167.544243233509,4339.818123348975,4246.955892433665,3822.4095247770288,4540.519991627822,4769.177866619207,4961.468983509855,4192.919863908951,4104.542768905664,5268.346859973349,5329.288484590343,6619.944647589841,4686.5027062082845,4515.571546190336,4844.572131475566,3809.405858350649,4303.706731301936,5095.151809650421,5586.10728903032,4396.362590960174,4797.187338690019,4975.150069542237,4668.68345165847,4809.982537736813,4554.057707351327,4615.073843150831,4506.865088235154,4074.43343618925,4896.806786996876,4554.371860121126,5277.25102194774
English,3836.9077382703854,4991.45017408855,5393.057894075428,4728.991538250603,5382.984045997106,4570.511006662606,4449.342651729655,4661.425688713656,5144.83549442424,3916.4828401296377,4167.544243233509,0,4399.431971554456,4310.668029552532,4360.745607257861,4735.061641762673,4786.656624624236,5063.720804590721,4373.0934763251,4125.716704188246,5273.70969022045,5357.7198885879925,6697.906739170303,4821.316537245535,4560.530680174822,4969.635841268956,3908.580932376869,4479.235181618755,5323.583731269372,5660.735393316615,4536.1140949298515,4868.535755774053,5028.986696431341,4784.489834636879,5038.1260013090105,4632.582560666408,4741.1158185683535,4648.337136810209,4212.145517887531,5004.931113186955,4635.133758616946,5189.539303948005
French,3985.9130919417903,4293.627503112823,4934.925638818544,4368.164581237701,4869.473327591408,4216.553794600534,3842.7852308004535,4200.730958417955,4552.557186361516,3842.1646853270645,4339.818123348975,4399.431971554456,0,3553.380811717553,4470.272180798577,4226.798785631151,4617.456724426781,4728.24491510179,4343.544564792429,3827.3437073660853,4419.75762474922,5069.872169549638,6335.1060716041375,4394.585797981616,4225.373283326912,4505.704137903215,3934.331841080341,3908.8543543591536,4872.120429130356,5279.091233551437,3894.0322106108442,4164.554715056525,4584.600476923293,4333.425570885716,4365.898554989008,4179.047426691138,4358.61039781977,3926.30187262587,4284.27849469098,4484.821928555102,4243.216119474906,4927.456062037102
Galician,3662.5457748042995,3872.63686527221,4679.410686875469,4134.075221244218,4699.440413137197,4034.9934948846853,3318.1094472994973,4061.521200273609,4553.424093514208,3801.6865822842483,4246.955892433665,4310.668029552532,3553.380811717553,0,4387.017096574432,4144.992004047871,4327.834855678364,4514.928703813533,3948.018472174131,3581.3037544911263,4213.989507093181,5001.953849677414,6106.939266731649,4162.456134513454,3983.2975397564446,4273.577854859067,3793.1249649714337,3650.5505278149044,4462.076474818584,5186.178169681561,3146.011795656595,3919.705811120639,4421.327909272511,4169.418670256265,3903.151836867901,4048.5183751644413,4318.544760189029,2818.6891986199334,3969.005247355855,4297.659671589811,4087.3565764976975,4866.223120770503
German,3873.207715931336,4847.775589890523,5292.602623111561,4815.020480251553,5316.274254453447,4761.759379272703,4715.998548782815,4815.590107264098,5229.734817635105,3901.0823264089586,3822.4095247770288,4360.745607257861,4470.272180798577,4387.017096574432,0,4637.996896761513,4957.701141090955,5127.040075315566,4370.6935580030895,4215.904560987618,5307.0689192548125,5410.3938038379965,6611.506003097882,4901.729401512006,4720.810410975036,4917.437444794005,4065.859267527634,4435.162917641639,5170.257660362448,5809.121660745619,4746.901506967538,4838.196599583933,5161.858142473316,4846.275434040221,4953.584109534724,4739.112865619664,4825.496436065186,4787.416157843394,4202.940079167482,5096.921631146245,4708.895504716976,5413.344025308703
Greek,4404.534185432657,4640.476868001484,5040.438510735673,4487.308992648732,5233.722331727321,4433.5654685883255,4378.783058976647,4468.471333903696,5012.848379210881,4263.432457579702,4540.519991627822,4735.061641762673,4226.798785631151,4144.992004047871,4637.996896761513,0,4653.697476102737,4664.94973098853,4517.538572149951,4148.36604669202,4911.99026111692,5272.753078701073,6360.0967322009665,4667.950244310628,4396.278704244672,4566.745030046452,4321.446060981317,4166.269977883555,5125.1998279067475,5567.945313469735,4437.382652661417,4503.686278267766,4881.6298630854735,4693.653624347833,4488.619670898267,4535.746463383571,4711.627615633135,4243.228896939852,4520.143498731634,4747.239289119417,4384.576886139573,5058.032174278242
Gujarati,4418.166094562627,4826.383251224918,5495.892344098819,3895.7705765446385,5469.247145571497,4799.6187875660435,4562.847401531742,4856.160921720592,5397.216872663279,4594.331986527554,4769.177866619207,4786.656624624236,4617.456724426781,4327.834855678364,4957.701141090955,4653.697476102737,0,3633.795957339164,4899.55896747204,4316.737684709815,5544.749978543071,5701.50383465839,6740.589306021452,4875.076996884446,3135.656202332268,4157.860871183172,4601.1430824189365,4213.656798986872,5368.661628742977,5808.740760598847,4781.6742043041795,4919.386909169761,5226.87623625496,4880.659924247752,4684.6125828970025,4874.394554289119,4943.422598423023,4599.621062328907,4713.751115313111,5114.1237488565375,3917.660710496381,5690.205025216917
Hindi,4705.734220635703,5056.323242952646,5674.036921673031,4024.6053685475094,5647.14833650144,4884.3420379535155,4732.804501608832,4981.114141021662,5539.9943115740825,4735.510496919926,4961.468983509855,5063.720804590721,4728.24491510179,4514.928703813533,5127.040075315566,4664.94973098853,3633.795957339164,0,5059.030846453278,4505.038443792201,5598.81536842041,5926.799898985093,6995.906135434434,4987.270450938216,3670.0171854702203,4243.169897776446,4713.303198629501,4352.8879040368965,5454.0061919476375,5878.059474882234,4933.498938109869,4855.223885103708,5384.366014583513,5063.760197966681,4719.911290043775,5020.734270159753,5148.811665012565,4732.951595249399,4806.7040938797545,5210.9409588153885,3442.7509550478776,5852.72555496898
Icelandic,3656.6707020223116,4531.505658814269,4803.219809613331,4681.698522613266,4952.924429578693,4569.405526445326,4564.732869271214,4592.621749109369,4960.52810865307,3697.9888089750925,4192.919863908951,4373.0934763251,4343.544564792429,3948.018472174131,4370.6935580030895,4517.538572149951,4899.55896747204,5059.030846453278,0,4115.430789087844,5236.439974505055,5046.079447709202,6163.367882549306,4533.978788484624,4628.9419899867635,4850.250916082993,3566.9662259662973,4177.023021923392,4818.305228418574,5540.848057963451,4513.601841744107,4647.587666295826,4671.4941621543685,4497.994971507025,4459.566631598642,4535.72903065661,4752.4821893755725,4637.800056359395,3720.775757100497,4611.728055158209,4594.946756343537,5259.1955512742625
Irish,3660.1579967199086,4122.714694092687,4782.912272346086,4150.509946530868,4881.99512107581,4184.653125869622,3967.389510863287,4246.993898042851,4586.067426074741,3730.473392045883,4104.542768905664,4125.716704188246,3827.3437073660853,3581.3037544911263,4215.904560987618,4148.36604669202,4316.737684709815,4505.038443792201,4115.430789087844,0,4912.701051235724,5081.5324334554625,6314.442811730841,4257.980429132213,3952.5112876568674,4333.574148443782,3817.598402245951,3619.4907093980087,4669.369849345988,5234.431825909338,3877.8216905025965,4319.755013679512,4541.393919911351,4352.3798351294745,4177.639398601856,4047.563275011933,4255.449067782645,3901.8230687092523,4017.677366388808,4469.43042118864,4026.8260645457603,4704.458693601817
Italian,5076.8560316326575,5369.515039953601,5839.69830687093,5233.672681668095,5624.2792138486775,4816.127005359984,4411.672723257822,4856.882547278537,5503.542399755687,4835.80965105259,5268.346859973349,5273.70969022045,4419.75762474922,4213.989507093181,5307.0689192548125,4911.99026111692,5544.749978543071,5598.81536842041,5236.439974505055,4912.701051235724,0,6129.53549617018,7031.909209578138,5150.153194948341,5195.886505716801,5361.874981115451,4958.501450832075,4975.356961128066,5740.175532300404,6056.981065463053,4630.15763204184,4573.368783681836,5418.166780234488,5145.964209164438,5383.757490346215,5057.371953143626,5173.375860964854,4304.218883003879,5150.477246603676,5242.792960663234,5199.365481181024,5337.410042339062
Latvian,4841.882037979403,5323.695117763326,5723.887199665369,5368.288555800809,5335.21969070081,5247.5506080170035,5459.338150102401,5348.776069776929,5525.782768046528,5171.442425382693,5329.288484590343,5357.7198885879925,5069.872169549638,5001.953849677414,5410.3938038379965,5272.753078701073,5701.50383465839,5926.799898985093,5046.079447709202,5081.5324334554625,6129.53549617018,0,5702.9133579861455,5192.007152332103,5430.611197360459,5674.7789788000755,4920.396659510277,5119.744133055742,5914.663576936273,5679.00523422249,5289.423805748162,5492.737493819539,5035.036114826628,5031.21979207296,5501.211472404018,5017.494053991435,5337.996032614504,5673.889636578935,5244.315659009801,5305.963229083252,5342.636504355911,6146.671724609947
Lithuanian,6202.171055234778,6391.953169961483,6721.064396546886,6465.691481267537,6318.961570448689,6234.982803368463,6501.746279872002,6032.542865043453,6824.300987679139,6470.505608909551,6619.944647589841,6697.906739170303,6335.1060716041375,6106.939266731649,6611.506003097882,6360.0967322009665,6740.589306021452,6995.906135434434,6163.367882549306,6314.442811730841,7031.909209578138,5702.9133579861455,0,6201.4514651797535,6579.718521965929,6563.8921437669305,6161.449342761313,6159.739103773576,6804.211237542055,6911.905917321802,6586.585169571737,6530.458428308305,6248.303866452356,5883.099194170677,6337.391892860197,6315.9702191127435,6349.059836734653,6550.495425535924,6301.226742019937,6194.1579870554715,6440.013531545347,7132.25007567086
