,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,4533.998696487397,5381.208509361699,4755.479187258878,5328.067238634499,4620.330342631759,4599.743320506865,4630.99894617384,4909.631449629107,3903.8276672492098,3645.7654481015743,4428.730114146982,4297.129050660925,4125.220700541491,4326.815578085297,4758.568401432149,4836.201810733437,5053.514760374679,4228.399478368345,4107.635830370783,5457.508588390888,5370.057747902144,6831.838979309243,4749.91520206164,4594.610520952111,5018.903856258938,3974.4928602714162,4177.101926188162,5112.636267803113,5694.73781903073,4552.863744842495,4833.470652743295,4940.87295628739,4728.481565220581,4824.217774117956,4575.357393786267,4657.783614042218,4750.275447025104,4275.24441939325,4935.167295283776,4713.444738011663,5499.882992782495
Albanian,4533.998696487397,0,5608.272983841352,4931.801249945308,5704.055973507556,5042.241882174602,4943.335132397032,4960.278469326313,5361.610234647746,4619.914853393412,5066.803056778837,5306.260764793424,4621.881394566017,4342.014746565448,5131.094816132218,4965.184933251308,5105.338154936879,5244.027888618098,4972.348347309839,4461.7708190123585,5743.103776862663,5739.178113882563,6992.073568092334,5070.25182530789,4783.693474422095,5159.485219423035,4744.247862621382,4415.530059502391,5370.757068626493,6063.270788575117,4902.648621274036,5057.554942794529,5281.008720093031,5100.959556526268,4638.8854810312505,4907.049399408285,5102.671721230082,5009.844300804257,5024.404803992431,5227.555405636077,4897.470149764403,5854.681266953551
Armenian,5381.208509361699,5608.272983841352,0,5879.140832567166,6469.780783714937,5937.286472430526,5857.313853866083,5826.6620340525415,6256.348713428458,5591.91060190235,5929.32793646775,6135.8316423314745,5564.954294183585,5389.997933071416,5974.021594998822,5800.247393430166,6115.299889531156,6292.21640794425,5610.236764689253,5394.881229358337,6632.969512963391,6367.422865607158,7629.144631527825,5964.400534113727,5830.77634181348,6274.609246551211,5575.305829499951,5336.482622468448,6064.292559846246,6876.353931214379,5813.13221825622,5982.314067152615,6152.110686241101,5946.822576375038,5788.752826799079,5836.4221018771705,5989.713811775826,6035.624125990843,5863.328422265906,6139.490439709401,5897.365160512666,6632.243397951922
Bengali,4755.479187258878,4931.801249945308,5879.140832567166,0,5805.367503395438,5047.856325164147,4936.8491244751995,5089.881474618862,5354.886809464572,4748.541036070714,5147.69558822431,5254.694274471471,4768.6122899112725,4637.611250563496,5178.896154771871,5012.9337086225,4542.873768762102,4631.8307570943525,5169.581745579975,4604.863176476667,5759.986129551128,5823.28797405285,7135.430805249956,5165.239660831441,4461.150675761362,4706.135188917325,4836.690513958658,4637.300433314114,5582.207914166116,5984.02734848173,4997.432902603578,5148.468223196955,5462.188443865752,5206.10518184532,5039.228577894764,5033.028823579317,5146.406691982477,5076.703832493439,5071.1353112181205,5420.625286313932,4438.079891428762,5996.614687338634
Bosnian,5328.067238634499,5704.055973507556,6469.780783714937,5805.367503395438,0,4945.667407341218,5785.785055668254,4236.103162070812,5212.168129015185,5360.56707153392,5751.345290839953,6026.503877369605,5432.589235095369,5363.349988806055,5843.0478215067815,5834.79380003728,6017.26750623536,6161.8753007696805,5668.827443598678,5458.793064759519,6267.070007317921,5918.27367109596,7193.308920148484,4546.186540826902,5786.802466524591,6109.806261424667,5400.966897507751,5506.021507961045,6239.893539665981,5682.899890454148,5634.517390068799,5779.608895615438,4906.064164251599,3810.2200609159486,6023.996955948652,4730.372577141722,4889.234415695712,5836.694738494494,5794.852744710563,4870.416383643889,5759.49194460954,6584.408834711752
Bulgarian,4620.330342631759,5042.241882174602,5937.286472430526,5047.856325164147,4945.667407341218,0,4858.374482574995,4122.196610289312,4643.072728607333,4590.818607995106,4973.556289800108,5136.12862682991,4707.209039651236,4511.583991317614,5107.14046713572,5002.380062626324,5171.231879872206,5319.235527905001,5011.525104952153,4580.281508533691,5533.076560423221,5736.01465716618,6963.020232832117,4148.856602458121,4918.7060252016945,5532.871707264861,4694.618273792679,4708.0769740292535,5533.7602171069775,5440.90839371477,4893.308036313454,5096.61134112018,4737.124084232064,4334.519839631891,5270.1635299216805,4392.09498043341,4526.154386582046,4961.603463150363,5045.774344342692,4735.355073752198,4960.354591836663,5766.584834127676
Catalan,4599.743320506865,4943.335132397032,5857.313853866083,4936.8491244751995,5785.785055668254,4858.374482574995,0,4927.1455314871655,5288.068759626403,4527.863021615895,4930.988362463368,4988.236089692348,4311.611380061572,3883.0153640941135,5036.01356615554,4864.605336854393,5012.951519250248,5145.332760068622,4992.239979649704,4405.024697965601,5120.213378410373,5827.0173321025895,7091.386270111429,5077.514474692028,4748.99429275249,5447.2378880038295,4499.179159972031,4655.884824227851,5545.727512524714,5979.5195639151425,4308.978915441836,4721.241903751916,5392.778003753821,5134.907918481024,5184.474600266749,4894.115269135062,5014.114946845737,4207.798913577896,4851.838904827667,5297.248222000196,4937.857219348326,5865.476835030176
Croatian,4630.99894617384,4960.278469326313,5826.6620340525415,5089.881474618862,4236.103162070812,4122.196610289312,4927.1455314871655,0,4615.235442444416,4606.459491392225,5075.199139484673,5193.797007014756,4679.5481490273105,4526.082205266119,5172.246423356665,5069.617961105867,5181.015845244888,5354.845472599158,5056.9264884094355,4619.612961350121,5554.5404970071495,5659.304242085325,6687.643898611365,4261.233005191274,4910.241476516309,5489.845120982589,4735.70454521288,4670.999078298352,5482.86659467948,5320.082072172759,4988.472214266743,5098.416137453939,4669.847573406734,3726.0153907208455,5184.456705570049,4264.145422518311,4175.474823924045,5028.853348375551,5084.901384172921,4562.064148891985,5005.281681693041,5801.433774376347
Czech,4909.631449629107,5361.610234647746,6256.348713428458,5354.886809464572,5212.168129015185,4643.072728607333,5288.068759626403,4615.235442444416,0,4817.170372149153,5324.717327421322,5464.064769844872,4953.400688835038,4885.061989500185,5410.108087955758,5431.8402224826905,5568.242134961101,5726.633242732098,5291.220701831296,4928.006703989949,5921.348815151546,5749.41106102177,7243.037471060301,4871.429311940363,5345.660774594687,5745.502209750123,4983.506375060333,5012.242313222558,5831.355007629077,5355.00689513554,5298.508958634732,5434.476659882388,4839.770916104526,4637.03476356602,5639.889424665651,4020.5413582521633,4813.9278304595055,5390.397131861931,5375.230631132859,4814.419814377354,5269.28799423803,6058.730156530062
Danish,3903.8276672492098,4619.914853393412,5591.91060190235,4748.541036070714,5360.56707153392,4590.818607995106,4527.863021615895,4606.459491392225,4817.170372149153,0,4308.083608557624,4378.2400571255475,4197.69102544278,4155.420945155623,4277.954025709981,4703.2407855143565,4767.868315754907,4956.0830857022775,4225.936707658706,4024.210479440862,5308.013502805978,5441.366791434927,6879.819194779354,4812.066724401657,4514.759254270474,4929.07074732331,3621.1392195935005,4249.203512018408,5239.999518024793,5680.787525281572,4583.633550259935,4742.32299462327,4984.426420830329,4817.889742049567,4909.217869461302,4521.714254981064,4560.278127916038,4730.059019866491,4086.569558975533,4949.34606987435,4622.766079826379,5406.408151444458
