,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,111.0838724091483,139.8089302949228,119.94367379310755,136.28423601211733,116.54719457435125,118.53389848049568,120.48514398833271,126.53755549043184,101.84229585940847,91.14487281027978,117.21297672841291,111.73516016356947,103.55745464970504,108.31040654145795,126.51641657355647,125.18879380316119,133.41872516045075,105.95562840533772,106.18428820791131,143.06742030128268,134.70455116505454,170.85875496038759,120.5800573397018,119.2201025373444,128.55489425538437,100.07131103259145,107.52586449499373,128.75046122909845,146.80363613892496,116.4481535974102,126.34853040686106,126.95338215327018,119.979924243112,120.69170305685513,117.82595205356105,122.7626170889864,123.50985297828156,107.1575581400382,126.61687993013834,119.56917260589711,143.93378445028642
Albanian,111.0838724091483,0,141.98375618109316,123.85424099437928,143.69146612352407,126.8947284295521,124.93093728657557,128.0294327411238,137.9751657209393,121.73652040158152,129.8120691854497,141.50090038748627,119.0059608143816,109.5483977226108,130.94515482461463,129.83733299776077,132.04007966846046,138.39791645208726,125.22449973526304,112.5526572590086,147.23444947028284,142.6186085256437,175.24386668087124,127.59373404067085,123.40713306045706,129.95703362159088,120.86645888252393,112.04687259279517,135.3171481894872,154.9067742383985,123.85050242893466,130.98658226987226,134.2063825453586,129.37024878598797,115.74991776070512,125.22567193697539,132.42860687461823,128.9287440112454,127.45761134558013,132.9351466342934,124.24518136591274,149.65115444076616
Armenian,139.8089302949228,141.98375618109316,0,153.60625756438375,170.87359876157055,155.43435551147365,154.47749549195206,153.66682910709133,166.249843624258,153.2368168002876,158.59576644861292,168.40787617128376,149.65620627127967,140.3708336304424,157.79152447930795,155.5633446235502,163.31790661322992,170.2473955594184,146.24381651908936,143.03233076578292,177.76102600634317,164.3885248777364,194.2607180219781,156.48794788865843,155.22924762408834,165.5405693372647,147.05586312521618,139.9127508985719,157.01909572246194,181.47146677492665,152.92022273227676,160.22161249226573,161.82640986866318,156.03578710950808,147.45636506963342,154.94430681098535,162.20491998158502,160.89262749222962,154.28001957494538,161.56489847516704,155.18983619295986,175.08985236421648
Bengali,119.94367379310755,123.85424099437928,153.60625756438375,0,148.2582865088892,128.98339525190028,127.80599382000197,133.5692943205218,137.9866086509572,126.11017950137521,132.99276822087208,139.11938260242053,125.01817972362579,118.66882088239268,132.86706577682335,132.67462119166123,114.3723788979145,118.87249140833475,131.94595794959736,119.97444114207919,151.10354055073378,145.2254005725466,178.88644040653602,131.7727055532722,113.0158969057945,117.56811934162174,122.74913891834095,121.01485906960923,140.90043648405967,153.54403059034144,127.90380953634629,134.5052918747276,140.41069799325092,132.59400868916325,128.7534656645038,129.51507521755437,134.98489595486578,132.40470693864376,130.16877917865588,138.88390517872404,109.33241993103972,156.61068293006258
Bosnian,136.28423601211733,143.69146612352407,170.87359876157055,148.2582865088892,0,122.62758633604439,151.08158355893903,102.14900403989081,131.07989388382168,142.83155919508965,150.1375693789064,165.135468482547,143.29631701608304,138.41771239674918,149.68509011545805,156.58873218084906,157.23563472695756,164.1055870608949,147.05281902231886,144.55933308559318,163.85075963823064,146.93154540732752,178.5299578162603,110.87301365823943,152.26716453569742,156.72059385359367,138.47158080699427,145.0887361966526,161.31960837682854,141.99349450914877,145.75858355023354,151.74865392884718,122.27646480506417,88.51933893658546,155.4511127477491,116.74487160486747,124.02510720531718,153.54549107047202,149.2252864176602,122.73346572546184,148.45641719453405,175.10776971120703
Bulgarian,116.54719457435125,126.8947284295521,155.43435551147365,128.98339525190028,122.62758633604439,0,125.19992708806778,103.76999719054902,116.60117232138599,122.55897027105435,128.73056629459077,139.13310929065264,122.47355910634865,114.11396515141612,130.07330496283473,132.46071199169214,134.7036419728107,141.0611245880603,127.80264455482843,119.85848971959611,143.51399743062697,142.75226521895988,172.53243633250324,99.70100525587941,128.5335711476988,144.1456750888169,120.17734220715116,122.99959782911145,141.3656560242284,136.12003546224835,124.63728154542376,132.57584296874643,118.26763117772583,106.23793774774563,134.4965366641407,108.97393413846463,116.24437641646449,128.42403999576914,129.31586007337555,119.54513858501649,127.24320127902213,151.6283877139082
Catalan,118.53389848049568,124.93093728657557,154.47749549195206,127.80599382000197,151.08158355893903,125.19992708806778,0,129.92286098593164,138.48990376031205,121.03244333409583,129.53952536844744,134.03450697289352,112.51270339985305,96.19053159840364,131.59733023946166,129.39334945817308,132.00171225850175,137.15160641803223,129.80426617093758,116.0655758365192,131.2880856265964,148.5121247656127,180.31948135595113,131.47393888291077,124.909699112383,143.34904118774608,115.22358018687909,122.02880014046144,143.221457023363,157.283158426278,108.89965292260169,121.48449399380979,140.8408678048508,132.73055529654758,132.46704269899575,127.36240331542707,133.12453516710553,106.0110203993771,125.32054708514343,137.9779985691527,128.10072172929208,155.5017788204133
Croatian,120.48514398833271,128.0294327411238,153.66682910709133,133.5692943205218,102.14900403989081,103.76999719054902,129.92286098593164,0,118.49838712670793,125.74074907726366,135.0883552982712,143.35160915752456,126.19806157627613,119.13202547268452,136.3615173094308,137.9065845433365,137.91412837797253,144.96847484580542,132.69576119094194,124.3425785141138,148.6314919476672,144.97758105184826,168.19232538630365,105.85068321702657,130.90400221199928,145.95807848875126,124.65469936896532,124.52544372904966,143.84127086920364,136.13208884623262,130.93888837837568,136.56666769716128,118.74629191432115,88.45252244835972,135.41495884668907,107.70928308096435,106.69182206264068,133.65560994199623,133.5570021307552,116.7726164363748,132.52802895338536,155.88995573274553
Czech,126.53755549043184,137.9751657209393,166.249843624258,137.9866086509572,131.07989388382168,116.60117232138599,138.48990376031205,118.49838712670793,0,128.89435026205746,139.88530170953442,149.26773145273032,131.26988461387512,127.02919480497347,139.41807239528512,146.294421100995,146.70314353036855,152.92436989249586,136.99644114429245,131.6335099557796,155.5049857862967,144.80119146973155,181.49146942397672,123.6136364118654,141.69746112310332,150.63801101044746,129.12515774875087,132.16844111951005,149.23440296907145,133.86691889944674,137.64649392350321,142.8252067853362,122.5612915859658,116.2130314628028,147.84829726911846,96.75142629062321,125.02215203701991,142.7691504259796,139.60575716511525,121.36674203996517,136.9837304067393,160.6195311589906
Danish,101.84229585940847,121.73652040158152,153.2368168002876,126.11017950137521,142.83155919508965,122.55897027105435,121.03244333409583,125.74074907726366,128.89435026205746,0,113.52347312551447,120.93911845900715,114.035247716637,110.90407590583995,111.01673220623066,130.15350740245563,128.1119659909327,135.86030005144585,110.25081162201076,109.3136857010892,144.64060515584336,141.84183330406182,179.30583558485202,127.63149373206353,121.16579646408279,133.55281806055777,92.7160089770224,115.4494861398724,140.1178620349332,151.88274115735362,121.87264406480008,129.29250981440083,132.51471746171072,127.9247032387536,131.83670110834393,120.50909642841613,124.09124030626975,127.27568458557313,105.93480175664367,132.5968950353367,123.18199087536838,147.815121193141
Dutch,91.14487281027978,129.8120691854497,158.59576644861292,132.99276822087208,150.1375693789064,128.73056629459077,129.53952536844744,135.0883552982712,139.88530170953442,113.52347312551447,0,126.19482406951451,124.69981346546629,121.241326512731,110.05109961174793,135.83051471234026,136.71445852538145,143.98203947536618,122.77656369603113,120.94303781752284,152.5965949663628,145.57903440080025,183.78305656062705,134.35634433182494,131.10194053226033,143.99587287204696,110.52148402565062,125.46292139194236,144.87546011851552,159.31601517510828,128.51095576992748,137.73654017506527,141.94295321984075,135.20826273236273,140.3825177712425,131.04775964005444,134.84829002444715,135.1536427135815,120.44806447789064,142.40994525234018,131.33853812539522,156.744578559252
