,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,280.57392829122557,312.9778524056882,272.9235961830001,306.8890417866277,266.3163919276724,261.1979383448572,269.1150603930593,283.6237822656595,225.51125545823103,197.9626246669185,257.90718852263575,253.56538883569064,242.75595091951163,246.07515328421567,283.6453523995812,280.7775220539335,290.48073381349747,242.81333055502387,248.53223495979435,324.7598709733533,311.6696307825733,381.1642966170639,275.27464180756255,268.03006459285484,302.0003146983808,218.20379848319408,249.58724696379363,304.9126679696232,326.40040743447645,273.75429805552994,278.5122300769999,290.0292282449586,270.63213435582895,297.3075607003793,266.47026529476267,270.3640261521764,288.1249216847085,235.18372192562185,289.3237241279288,273.8229651293629,327.6925875643478
Albanian,280.57392829122557,0,335.9047862651378,297.6300257848605,342.322491120248,309.02820281974164,305.1586599111423,311.2821857416814,325.96240899281173,287.86848788938454,316.0582478661911,336.70868930638665,290.84860611673486,272.55002800632576,314.582684177632,312.575532777067,316.4110885590715,322.0159831734303,301.50200278352753,286.4162004258985,365.9906520333863,343.7364953421682,405.43528661596883,308.09232300143213,301.2249067423418,319.14446576403327,285.3163294001272,276.9988961230743,336.32451825846243,361.82535877870214,311.95577753596257,306.8936401298618,319.7833700324977,309.1846041360512,286.5729460357799,300.6983318510196,320.1376197797475,326.3159852723882,299.7249829823534,318.313014901453,300.2831950886399,367.1853363930697
Armenian,312.9778524056882,335.9047862651378,0,337.9628202830574,370.11864699721957,348.7153191941046,339.35891569790664,338.6632032088874,356.0175037225039,332.60103234106424,351.11064601527056,362.6905830930507,333.1076034010547,316.4982045586229,349.59498134073203,345.9650037338796,354.09521059619806,363.66540611408215,329.05118687822176,327.5734273868389,396.9004388986745,358.9490772461466,420.9292610900011,342.88539009209336,343.4993790290851,362.09100012595786,319.322158045253,314.92088816863344,356.99324475691174,391.0123210526209,346.7181206032781,345.1300386716744,356.403739487784,341.79639324559804,350.9807143041644,339.0678038902097,349.8877846072055,369.67114795965966,333.0389567147469,355.7584981193637,338.7713467549158,389.70291378988827
Bengali,272.9235961830001,297.6300257848605,337.9628202830574,0,335.1677395469217,286.9581554657471,277.2193924991284,298.2830252421543,303.45009505628497,280.54419463731494,293.7804844397995,299.0593108073663,277.8046279729611,272.0477156454438,299.7712924557888,288.9089763587553,253.46806343970712,258.1963565396241,296.5964271096017,267.7755363758015,343.2656891026213,330.73501834162306,396.1756397759013,297.23250106842335,250.41192556970248,274.9826206246204,272.36599544991924,273.03574227503015,324.92669058194673,336.45268198004135,287.2720276208354,296.4390331630272,316.21184549763825,296.54432644336487,306.5962552227467,288.7177569004957,300.92890600967127,293.8480234495535,287.3557986989472,314.2298742604082,245.40678331786665,349.0538421151748
Bosnian,306.8890417866277,342.322491120248,370.11864699721957,335.1677395469217,0,274.37239791112205,327.51790845450904,222.36296807360742,289.53573017978107,316.09386043318614,332.4105153645342,353.6253266181052,319.13731516973746,310.21227255607846,341.7006795262272,341.34747584604463,347.38306514477677,353.096491694109,331.2247647867558,319.81539626689795,371.44945284351013,340.45729500494315,415.1776216807077,243.10310566298332,335.3979513716894,360.5013649204906,303.35508794320594,321.4420416778706,368.6666713885732,323.0715333798355,329.7077057819131,337.7860854852005,275.23477873020136,193.00710371623595,358.9983166568271,260.8948587392968,269.04276761629285,341.7008357311287,330.1854955143435,276.71720400522133,329.07874106571387,385.52959920641956
Bulgarian,266.3163919276724,309.02820281974164,348.7153191941046,286.9581554657471,274.37239791112205,0,267.0535425253687,222.2269646773008,248.11377641475343,265.1137951458998,281.3839241916287,289.3855803513044,271.45929114877003,258.0498048735731,296.2415577296282,284.9399435675342,293.9290170298776,301.8951714188784,289.7973179299874,266.5791106438258,318.01669380329935,327.8556581244479,399.4724023715143,219.66458109557962,279.8854949877218,337.1804301948777,262.17719009049074,276.73524632873824,326.3136877611048,306.0385944819137,281.906241553532,293.01107428113374,267.39827124247626,232.35805497814965,325.0168357024269,239.55678483542442,247.25446380291046,285.1667581076301,285.82830116399526,267.43119993126066,283.49884711646337,328.1272977451768
Catalan,261.1979383448572,305.1586599111423,339.35891569790664,277.2193924991284,327.51790845450904,267.0535425253687,0,278.1404551421924,292.77415560388744,260.9465912328955,277.38199956948813,274.0996924240712,246.33484298823905,216.60721892305364,287.7247488108748,274.3260809765952,277.08171906633606,284.9766910323608,288.38924971683724,250.8205324276986,277.80529714743363,330.48353304714544,400.1628105639589,284.36249715383826,265.2695910721538,328.27535662067004,250.33584555032445,273.200675311065,324.58371347375817,337.5543773250221,232.35651389321234,264.569373117489,308.46527385974514,285.4320070109596,320.8723487794227,275.315629393489,280.66372276332606,226.20689770168605,272.96066532198415,301.3233079965937,276.2227350898213,327.22736203625993
Croatian,269.1150603930593,311.2821857416814,338.6632032088874,298.2830252421543,222.36296807360742,222.2269646773008,278.1404551421924,0,250.59994301909657,272.72103375318034,296.4417962149816,297.87610063697593,278.3374419356936,266.7393950021944,305.0956062437967,301.45235734349467,302.56371132641806,310.45298858663443,296.10934785483056,278.9576216180545,328.05203640929864,330.09335708747005,387.9851571283683,228.84446359480003,288.1264074781828,336.4129283274811,267.9381796694995,279.1239903578294,327.5986829628398,305.1044564227004,294.99326068850735,299.2477097282116,261.18769568159684,189.65144913279923,323.1010361600174,232.16470439169487,228.8798329292591,301.30205969953994,291.9510147337908,258.64372047203284,290.76456014635767,338.8629002287881
Czech,283.6237822656595,325.96240899281173,356.0175037225039,303.45009505628497,289.53573017978107,248.11377641475343,292.77415560388744,250.59994301909657,0,276.4052964946809,304.5093243673716,312.4672755087906,287.69804170191793,281.0834716634944,311.5804680944527,310.1684236998929,317.70184162688287,324.4662355592018,305.0545240740644,285.34441572503295,339.54263434683327,329.138722628506,418.4400840335683,267.865250345194,305.4542904655858,345.4391195505672,276.92523202196134,291.5230405886254,338.4114935817503,300.1464583699334,303.9926144506507,309.5863219840372,270.26324910642074,254.35742527341006,340.68284591796566,212.5317841821507,260.535797074192,312.0413857304561,306.3026333422386,267.12901613563105,298.8985548907286,348.2444300753883
Danish,225.51125545823103,287.86848788938454,332.60103234106424,280.54419463731494,316.09386043318614,265.1137951458998,260.9465912328955,272.72103375318034,276.4052964946809,0,252.68524836404598,270.11963370465327,251.49525995540122,247.52704980108888,254.2271698437705,282.68177536624273,286.0942913379959,296.18359125690404,242.54795894461407,244.61518782709084,316.32831176168276,319.4717961800227,398.6144963490593,280.04104286766386,271.78985532906296,311.0772318937945,203.72913082224673,258.4788974541801,316.70017128780205,331.6555438234209,279.7082087550695,280.4968788596467,293.9588738946358,281.40142563104206,302.10280354528294,266.4020075520166,269.7133372179238,288.35305620395735,230.81986507991823,291.3413650261683,278.77513294837973,324.42723022894063
Dutch,197.9626246669185,316.0582478661911,351.11064601527056,293.7804844397995,332.4105153645342,281.3839241916287,277.38199956948813,296.4417962149816,304.5093243673716,252.68524836404598,0,277.020434073527,277.0163060075921,275.67359163588543,251.0527412039221,295.8104651894817,298.21434195134964,307.8972305898871,274.57354704886325,269.96531697980856,336.67462935825114,332.8665362123944,411.1075601663656,298.90423721461383,288.4305911755632,335.3997577730027,240.31732346530092,287.48233769804233,333.79783841090114,343.8123527674937,289.36080484537905,301.49269691641445,318.2768080969439,297.6977196423249,333.13326168480023,289.2067368906628,292.61866264002805,296.6125970393836,267.4227556412395,317.47080791102746,293.45582932799226,346.1918523671481
English,257.90718852263575,336.70868930638665,362.6905830930507,299.0593108073663,353.6253266181052,289.3855803513044,274.0996924240712,297.87610063697593,312.4672755087906,270.11963370465327,277.020434073527,0,286.2055127537849,286.49395268028974,287.82141042044157,306.34258902248655,296.9687415555719,313.3578277469034,300.84410143666,269.475646572794,343.9388834457521,347.0231012999182,426.5116644090352,306.41163872458014,287.7916573586485,347.4962297050427,255.23255013844548,298.8195530608836,346.21170501214067,359.74039323397824,296.03698007065213,311.6003860151406,329.9150370028119,304.2894732771475,355.1945942663254,299.21501389290637,297.53837808600275,303.0401144220384,284.38441048010196,323.84844592525104,297.654433664608,346.3697823670897
French,253.56538883569064,290.84860611673486,333.1076034010547,277.8046279729611,319.13731516973746,271.45929114877003,246.33484298823905,278.3374419356936,287.69804170191793,251.49525995540122,277.0163060075921,286.2055127537849,0,239.95050763398282,279.7772085414724,283.52573383881975,289.46436363318736,300.62480846865435,282.231049009259,252.13976978315875,296.70421100167954,321.13970816428014,394.99790060177077,284.3258286752122,272.6028040601986,316.8055607437678,249.20035081128154,263.72060037786537,317.041774746377,335.7619473938671,264.73382086112457,273.2267796622542,301.19728235669663,282.95968009909575,307.54762719797833,274.3495600894724,278.32353820331315,271.69995071241595,274.9073811152764,298.2846531571486,278.886463519226,326.4951234000517
Galician,242.75595091951163,272.55002800632576,316.4982045586229,272.0477156454438,310.21227255607846,258.0498048735731,216.60721892305364,266.7393950021944,281.0834716634944,247.52704980108888,275.67359163588543,286.49395268028974,239.95050763398282,0,281.04296387405697,273.54327338037086,280.5099129547901,288.37648318150457,259.9432239262308,243.95978161932354,281.20216576456187,317.3071849031841,384.67080848426644,273.2749176391259,265.08843203872055,307.04122998097444,246.8086227808751,253.92838958048796,301.3209918068132,333.2354257636494,211.88568037417627,255.4213502488792,289.8707178419322,271.7147138266513,283.58339185737793,263.8675066260098,274.7628787110145,203.62214888461645,264.0567378063806,285.3934861624772,274.48362297265487,318.89745850767014
