,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,193.05350915370815,216.64763831413018,199.06060703530048,215.40258771268336,182.13937091499713,190.67416420056276,188.17183678560284,196.94846512055665,164.61406051581147,160.77100611325562,176.64945427086016,172.00909270403562,175.7813455727983,175.2844686188302,188.75752245603547,202.21646340815303,204.81832561501187,173.3341634628817,172.1095628085999,211.41736173244422,226.81289366338882,289.29208655699983,195.084404994126,194.11019085202338,205.6020421186179,159.6400891159921,174.31770410409933,212.2025515030072,230.52304011155206,190.06325940180608,192.86167054544248,199.2549637636154,193.5330997214129,206.50526440429894,189.21072375639181,194.8733535533827,191.23641620216355,178.91369029848576,201.84572320023625,196.78286061148702,213.8027796661047
Albanian,193.05350915370815,0,232.24939461286834,220.8766442650683,249.44546087531202,211.34354441751915,212.57792752157994,215.96908557107346,227.91743898282476,211.3393237098925,221.41678579348513,227.2212981499165,200.6189678511613,196.110189674069,222.65385601241655,211.09028199408027,230.51308119435805,230.18108652193033,214.42395504274967,194.14773324519817,239.88965021676617,257.8062582694719,316.9674346156598,223.72736986001817,215.75794765315678,235.0298026916076,210.5978449442699,192.38779078625265,231.63948081576177,260.75772896796263,216.61054761919164,223.4757783487855,226.94295069319637,222.55986264835403,210.24375606249717,215.71045010341194,225.1564132962023,215.27135005985352,221.5438240643316,227.4297454387201,219.48808683427376,242.3485378898917
Armenian,216.64763831413018,232.24939461286834,0,252.34836375978372,249.03643189801141,243.34278008996702,251.9660057426862,241.85805463568434,256.78123650678896,243.95291847583266,256.5039120749546,256.8489385906452,228.1121258703762,234.02477690538655,248.36942035280566,232.023214009904,264.9695475462536,258.3067439167898,231.95058878312096,227.77647770639882,260.10109975796337,266.0967022226036,329.5764009869836,254.6688293366881,251.52223950142854,252.9320548252629,230.01785197500897,222.62661651553694,252.5811134391538,285.08126941265766,250.57423608571523,246.0234265390085,252.20662356411125,245.46324595649696,240.9251976274337,245.17144641135258,250.92164148258968,252.26631202990202,252.13138005752117,256.0794605202738,251.68557343410745,266.30661426978605
Bengali,199.06060703530048,220.8766442650683,252.34836375978372,0,231.286168068115,185.24942665305855,188.18809416202362,191.6957118923296,200.60404212651022,178.70783855960968,197.40984902379705,193.0985770660185,182.19674796328962,189.30289380574348,190.767973419653,192.189540810404,175.50142093678693,178.67621882676778,203.1600584174976,184.55175668374795,209.3752899747138,230.91665211156865,287.352485234585,192.45341440401663,172.71107163649955,201.55347332810362,195.0192131820345,186.54340295252896,224.92065614735344,222.14116447613435,193.7428540052863,193.36007694028373,206.22676990534546,196.4759379619149,220.28826546080174,190.92051999022632,200.3315554106449,193.03356176882033,196.24111000935406,204.0805363305447,169.2906913448418,212.81463563401746
Bosnian,215.40258771268336,249.44546087531202,249.03643189801141,231.286168068115,0,205.44604345813315,239.53528270899048,181.83895985404575,208.29341963172692,207.75898300884097,237.77088563717504,233.30216058760817,205.86517682357098,234.5635635310557,225.5184738334335,223.29248369412298,246.92215847023684,231.58113626268698,233.32563627858292,233.46336466561857,229.68823371685997,235.1403439695099,305.0591765795786,199.86818900930726,240.30515893977514,210.812108774933,205.08896319269,230.84352571084383,264.0344636708787,222.09662763004462,229.53736086980294,215.86497610857955,199.48103298532084,165.5429962970064,258.4643395290938,189.11719306391223,193.23612361895255,236.6393647315111,238.6467085548566,206.82776058378715,226.74963537483256,245.7172790041852
Bulgarian,182.13937091499713,211.34354441751915,243.34278008996702,185.24942665305855,205.44604345813315,0,174.28265208731034,150.14538249504005,171.42551025914912,165.9365814409495,180.92918809396966,178.18154985663216,173.02342835188333,171.74868950391786,181.8496709151538,185.5372592999497,188.91558951900117,194.93621587440447,185.9922482998077,173.09075534612137,200.0124553033475,227.39091510014657,271.211124312703,145.9842479005357,178.40878549803406,224.33573513633286,182.30304969313886,178.81431250337573,213.63845547333008,198.3969181940126,181.72115268935002,188.19085056562594,173.0324081007825,160.62870710099486,218.46623970225977,162.93253150638748,175.20586178942835,177.2165731459615,185.51788400938668,171.33642167935426,180.37238424098712,197.0191202821398
Catalan,190.67416420056276,212.57792752157994,251.9660057426862,188.18809416202362,239.53528270899048,174.28265208731034,0,179.33115442704505,198.83460539260687,164.4414464086026,183.5071425442051,182.2802961327411,160.15581725658777,153.75104576147507,184.0089086383365,183.17440309494725,188.713130624935,195.51266291071457,195.32897372542888,170.51847047574182,187.87915339388226,235.6972531204516,280.5724247153418,186.26826678083782,176.22547156698667,230.28957907466432,177.0712858803342,184.04796408924324,223.90279461656766,221.54289271603557,162.58045527680778,176.52291164903144,203.63436173214814,193.78404788690196,221.57111735109163,182.59825361497386,191.26496145764648,151.3086100284221,183.23281094714795,199.43196767852774,185.87122521439179,207.99625159291608
Croatian,188.17183678560284,215.96908557107346,241.85805463568434,191.6957118923296,181.83895985404575,150.14538249504005,179.33115442704505,0,171.60886234950755,169.56805095386275,189.6047907760539,191.53254186064999,173.35929103223626,181.95398973871474,187.0856341247192,184.63983490369966,197.07653044124132,197.95805679516818,194.59637059848814,181.44450181040898,201.34065397263873,226.08630642635276,270.9870405669847,159.02304821570965,185.04177416432697,225.34237189551845,184.1227070765257,186.72395144633023,218.94958800933475,191.9911859137606,186.1970920401075,187.7724367575184,175.96210653561528,143.95393710448647,220.9983353151862,156.58321703100154,158.75654725072124,183.57330580855643,191.38912760972354,171.49588689768368,186.91791836430934,207.02135896730195
Czech,196.94846512055665,227.91743898282476,256.78123650678896,200.60404212651022,208.29341963172692,171.42551025914912,198.83460539260687,171.60886234950755,0,173.22538862425418,193.2929358457944,197.31787805620272,181.56347749950044,194.79098539098845,190.30589776126104,198.49486107303872,210.84593061061324,212.11904475882943,201.37775687150366,194.02648486323562,209.30642694951183,228.95908848037536,288.89158958418625,178.34121473396664,203.28366331223373,219.89347531756843,194.62613598981778,194.10358400232943,228.10857992759654,199.05189006178256,194.7770689388929,198.74406617525105,179.76314668026933,170.77635776985605,242.5951190620376,150.11620917037115,179.3866786059939,199.10685402228762,199.80196810431917,179.16774794223758,195.40004826644093,214.5878141048376
Danish,164.61406051581147,211.3393237098925,243.95291847583266,178.70783855960968,207.75898300884097,165.9365814409495,164.4414464086026,169.56805095386275,173.22538862425418,0,158.1143157885306,153.48267509312296,152.57258969171235,169.17123358998782,149.46019926599624,171.87088274173593,178.5312558085395,179.17031343409664,166.3959423008879,160.7173075523433,184.7386577968592,219.14820804797404,277.8868600055021,178.81208992099315,169.36188396768165,194.65310812036012,139.76213660052113,173.14393409602854,215.62795305903632,202.99272215109704,166.79232522999396,168.16749627890104,185.47146897010705,181.66371750643594,220.74000220679557,161.56841700836313,169.65958804572242,170.22658751500194,155.5339117170129,182.67580135787549,171.4923180845707,188.2217178864753
Dutch,160.77100611325562,221.41678579348513,256.5039120749546,197.40984902379705,237.77088563717504,180.92918809396966,183.5071425442051,189.6047907760539,193.2929358457944,158.1143157885306,0,172.02943154942616,175.62276468169904,184.66198084306166,159.94049037824288,187.7773994574798,194.0593319022527,202.1984103319819,182.76112222339225,178.64711631379578,208.89854825656332,236.93815344664327,289.7007281110747,188.24502383519325,185.72262548444414,228.09608481986967,174.30101818271243,188.53833278485092,222.8814278662749,223.81460647819574,182.4210716769139,193.00177515786544,204.00483358424162,197.1676911254552,236.77841915782366,184.38812562373056,191.15235728951575,183.78790320068637,178.04350037807225,200.6263990879165,194.66926537958955,215.40770638301933
English,176.64945427086016,227.2212981499165,256.8489385906452,193.0985770660185,233.30216058760817,178.18154985663216,182.2802961327411,191.53254186064999,197.31787805620272,153.48267509312296,172.02943154942616,0,172.70465175600532,184.6286414832976,171.80150982672333,194.16440388255572,189.76492264645185,197.93650813401135,188.88579840742779,177.26558245527104,203.09306894461892,234.38001971589895,284.9975667535157,193.70454765028254,183.83333106421642,220.7811257164517,165.7651772270764,192.55433823162414,230.50814527166406,223.8437408901357,191.8947595598858,189.0416248646404,203.6117354925585,198.53120368875034,236.09475147318395,189.29813264536637,198.86963833326072,189.8858861885812,176.5297217578731,202.41713946463113,188.67615915964276,202.89391628416996
French,172.00909270403562,200.6189678511613,228.1121258703762,182.19674796328962,205.86517682357098,173.02342835188333,160.15581725658777,173.35929103223626,181.56347749950044,152.57258969171235,175.62276468169904,172.70465175600532,0,161.38232862460276,173.91151359884756,170.40796696360226,187.1826411082049,185.82885236574649,182.62295255993584,162.30465931304707,176.1584321269557,211.79799203903997,269.89783399517364,180.67467161706585,173.3046314784154,198.0338862716887,164.42964681712803,172.6579136511454,212.64563240059877,207.25699900996042,163.55782565228262,166.21535409520703,189.2517789678931,182.72647820966463,210.29514248663006,169.6577376129966,176.2932390853875,161.9520980957312,182.25525107511848,190.78854063084282,175.60471852621694,194.01448213960046
Galician,175.7813455727983,196.110189674069,234.02477690538655,189.30289380574348,234.5635635310557,171.74868950391786,153.75104576147507,181.95398973871474,194.79098539098845,169.17123358998782,184.66198084306166,184.6286414832976,161.38232862460276,0,185.1191356025871,186.54461153211508,195.15901916627092,201.71368715730836,180.85011849334154,161.26800841275966,190.87576537640197,234.90683082368918,285.8751174089816,184.9564547843258,182.30244087048172,223.03320317792992,183.18031686013384,170.50060796078415,204.55221680841817,229.09427610439573,152.43209235732135,182.4960946644523,199.2460017774535,189.8416711083651,200.5959740015545,186.10168912172063,195.36649843733588,141.31542977009434,181.36259303157956,194.94252918371134,187.03364006104684,203.61389429294508
German,175.2844686188302,222.65385601241655,248.36942035280566,190.767973419653,225.5184738334335,181.8496709151538,184.0089086383365,187.0856341247192,190.30589776126104,149.46019926599624,159.94049037824288,171.80150982672333,173.91151359884756,185.1191356025871,0,180.33935341638454,194.41826385285376,195.6154661689285,182.39652335281033,177.95627958904683,200.40377703366732,227.26577079326788,285.9835960879651,192.52949450201243,186.72430537582525,214.8636668159381,173.16755771862302,188.62334145285965,224.9595888787592,221.56905000670147,188.91193319397104,186.18192680367437,202.62110449817365,194.82088345717077,235.64369869863546,183.52773307686482,190.07510864797908,187.91007439568892,173.58706374325567,199.33188382317962,187.32092864868,206.09989785685312
Greek,188.75752245603547,211.09028199408027,232.023214009904,192.189540810404,223.29248369412298,185.5372592999497,183.17440309494725,184.63983490369966,198.49486107303872,171.87088274173593,187.7773994574798,194.16440388255572,170.40796696360226,186.54461153211508,180.33935341638454,0,197.4078476190896,194.68864311241302,190.1315305490719,181.22068763871997,202.26384756596983,215.46939456555168,271.03937885619877,195.61521170202096,187.2475296200482,213.42970847887196,180.99401290898615,185.80222507305479,223.92682328174178,220.78743286997138,187.43276503750477,184.81854137542962,200.4122551245998,197.3046407892155,219.98671878328983,184.7281291010993,192.7480353184137,183.24006369643737,195.98522877407936,199.4802346885355,190.42882922376495,207.57556490157066
Gujarati,202.21646340815303,230.51308119435805,264.9695475462536,175.50142093678693,246.92215847023684,188.91558951900117,188.713130624935,197.07653044124132,210.84593061061324,178.5312558085395,194.0593319022527,189.76492264645185,187.1826411082049,195.15901916627092,194.41826385285376,197.4078476190896,0,160.26399209105602,209.60924317427452,191.15776146325263,219.56994388444772,247.06936822039265,292.4039243332647,198.59050353394548,139.40977866983692,216.19993349703628,191.177136825965,193.03255467465667,238.11860524478018,232.7436455304276,203.05157383231017,197.61744757770904,220.2636254053918,208.00829123109705,234.75483179550594,197.59413980525812,204.37212168308426,193.9830230869809,199.19124125304677,212.6633139163546,174.6845092455586,223.40694205731305
Hindi,204.81832561501187,230.18108652193033,258.3067439167898,178.67621882676778,231.58113626268698,194.93621587440447,195.51266291071457,197.95805679516818,212.11904475882943,179.17031343409664,202.1984103319819,197.93650813401135,185.82885236574649,201.71368715730836,195.6154661689285,194.68864311241302,160.26399209105602,0,217.50514923561215,193.8760048867669,216.50108135447536,240.4621965576712,294.68533689441693,205.40182258259335,160.6495161433665,200.3420155293981,188.55837498959934,195.22659759830603,236.34990533362648,229.69878223786517,206.49820908474638,190.14271063203446,218.74452316258171,207.8244027536227,230.3642749604708,195.33346017920064,201.48109805932114,200.8059918941626,202.57524834389523,215.5164899278325,157.68456636141516,224.3873135484716
Icelandic,173.3341634628817,214.42395504274967,231.95058878312096,203.1600584174976,233.32563627858292,185.9922482998077,195.32897372542888,194.59637059848814,201.37775687150366,166.3959423008879,182.76112222339225,188.88579840742779,182.62295255993584,180.85011849334154,182.39652335281033,190.1315305490719,209.60924317427452,217.50514923561215,0,182.55823236944823,212.87515324405808,228.82768845509446,277.94860408476035,195.84379623866351,200.06588166335425,231.10071941118284,178.92890146874876,186.77904212985425,217.7168228148229,233.75404498685796,195.29705327888047,202.25529932019927,201.50519960075442,197.47421880569755,219.03492085515992,193.4424534714406,206.6170388071762,195.4252418588303,181.32894104514315,201.4806491893182,201.6927385325242,216.21456423075742
Irish,172.1095628085999,194.14773324519817,227.77647770639882,184.55175668374795,233.46336466561857,173.09075534612137,170.51847047574182,181.44450181040898,194.02648486323562,160.7173075523433,178.64711631379578,177.26558245527104,162.30465931304707,161.26800841275966,177.95627958904683,181.22068763871997,191.15776146325263,193.8760048867669,182.55823236944823,0,205.61685485446927,229.7970330514499,285.23144324701485,185.99420988842022,176.87414394645054,217.04070327702715,176.00841880947968,163.15555043730944,207.45188883368576,225.1165391413426,173.86183972418817,183.29090107435744,198.8009007721272,194.0534465894298,197.6448426660968,182.15859908901677,189.82442446038723,169.16731258915266,177.79954127908945,195.37503351801965,179.37618495184205,195.604847456477
Italian,211.41736173244422,239.88965021676617,260.10109975796337,209.3752899747138,229.68823371685997,200.0124553033475,187.87915339388226,201.34065397263873,209.30642694951183,184.7386577968592,208.89854825656332,203.09306894461892,176.1584321269557,190.87576537640197,200.40377703366732,202.26384756596983,219.56994388444772,216.50108135447536,212.87515324405808,205.61685485446927,0,246.11428801790873,298.87800619048454,207.61227046046275,209.66603747666323,223.85668131533558,200.5282191064638,210.13674070568916,244.3803931056154,229.21671294050273,190.10134368966067,181.49800672725948,213.37860203553288,207.58272947458715,250.75452759164284,199.71594958473992,208.74235885789074,190.20625961555817,211.2796797944646,216.4641009034117,207.55184055554594,212.0474226815544
