,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,184.7808445493006,203.73587717336807,187.03590375480704,205.1848717558152,172.0975383583639,178.69693139215659,175.00804499591214,185.5886728279973,152.342069240747,138.76611947579406,168.72878873274047,162.46693803142804,163.16697337057204,163.1665195115368,179.33389918930172,191.99030902576553,195.79133330947354,160.0723137804586,160.68146299985173,200.46230407364303,212.85281407046367,273.0491795503158,181.88930154801884,183.18478489955422,195.6631964552928,154.24757554613703,161.68730035023506,197.8459552793698,217.5208312984184,174.1954447865506,183.2002345555402,188.9382296552915,180.4979628046199,189.87127196148037,177.22448446335966,180.57457193136102,178.26505538881784,166.29942327313552,188.05214431034565,183.94055478011404,201.73417494626642
Albanian,184.7808445493006,0,221.2300881899251,208.40603133466755,236.78431095936108,201.05196183228927,200.8747975571701,202.19375807242383,215.52257226414966,197.85251851813743,205.40811072807907,217.06344436990298,187.07837318734758,185.32841897918198,209.24118605196128,199.14813976625982,218.96020736609745,219.0415718069222,202.94375606839452,183.05109243182685,223.92160104970395,240.91919421154589,297.64793091674886,208.98646120294717,204.5976804099012,221.5371676863032,201.40169021903387,182.78688786381545,220.08422577329867,243.74422209143265,199.10286011871779,208.57709620684983,215.31487646819951,209.40672918867176,197.29105179105736,202.3999623992085,210.0125785558378,200.48974870504725,209.98027585399566,213.1135807438087,206.3050477694962,228.2151638641203
Armenian,203.73587717336807,221.2300881899251,0,229.7178400517142,241.13686175762987,222.25068337937196,227.02391630917782,218.52456812421232,236.21407607783448,221.63119097930448,229.93188090620626,237.75458992863025,208.43920629761982,212.18671328001116,229.16503285350444,213.78210402868808,244.84118519341874,241.47090176634418,212.1396291985872,207.8663252663296,239.7027428686532,244.6611753048248,301.9959201157478,230.12834051380952,230.68972569176302,241.4713672735972,216.87727243310502,203.14338613477173,231.76946681588421,258.9830927187294,222.75310349865651,225.24304247420363,232.23919766497377,225.22647382811547,220.04472597510465,224.31272905743052,229.9457802885778,227.81044661478532,231.31951141395382,232.44132663761616,229.12945451941454,242.19591310465105
Bengali,187.03590375480704,208.40603133466755,229.7178400517142,0,217.77339933817294,183.04915852376186,185.00671546954328,187.2120239361689,195.87298407783493,177.27188275974768,192.73588068259804,192.45263971760585,176.61075647192303,182.76727981672383,188.94108134035815,185.75105007935122,172.1951015058966,171.27245611405496,196.5671615752993,178.84757573833946,203.54141448796616,221.56894595662598,279.01906725526294,190.47439289244247,170.07058317416966,179.77440992873323,187.3520727358398,179.54767200539524,215.43538958424517,217.33958967969622,186.43773346571402,188.6846716054431,202.32329262897954,192.09798701277683,202.29873954237414,187.01671719803772,192.27181146349108,188.76954186886223,192.17796816309706,200.39480133921404,162.97520246771703,210.06751378029304
Bosnian,205.1848717558152,236.78431095936108,241.13686175762987,217.77339933817294,0,182.2789302520828,223.1920204998256,154.98201450889655,191.25640699534782,198.05069340367373,219.06998019254485,223.36365526475493,196.54385174895603,214.275292705806,214.65070890288786,213.3842299768918,233.9182363180533,226.40696488967646,217.57073643150744,215.21832296609892,218.61960994159196,219.06070184621908,279.5096370388346,170.46927046964925,225.54210144645728,214.04587965856217,201.8646925826826,213.1346848507241,246.52928941813045,204.20695205749627,211.5971456923498,206.89969566911597,178.69943570098383,136.05710390927632,237.71457054099417,172.26306456377404,176.11718153526564,219.5571623946151,223.18161680140688,181.3013166269844,213.2720733858461,231.79809356314354
Bulgarian,172.0975383583639,201.05196183228927,222.25068337937196,183.04915852376186,182.2789302520828,0,172.71823864203088,140.06382980360056,163.97301741758594,164.8938614905626,177.1881093248302,180.59541995867727,167.20658840700955,167.42147001582433,180.90754864839377,179.02463547489552,190.41316268490226,192.9563451553734,181.07934821804932,168.31279701609813,192.6728079841302,215.62627385230027,262.5142378834903,139.87902319269605,179.44012239046467,208.49616253364275,174.80321879101282,172.8860581746251,206.71978580442945,192.05569389702524,173.9058698831421,182.3512534147579,167.0456761985134,151.06031018487948,201.57623761296594,155.4842068718606,162.88568779962017,173.56316927344355,183.4454603803431,165.53822295372558,177.7314629024013,195.92745983661013
Catalan,178.69693139215659,200.8747975571701,227.02391630917782,185.00671546954328,223.1920204998256,172.71823864203088,0,176.6381574881325,193.63849119529198,165.1355307228174,180.677266432171,181.21203612841182,153.34438474796295,144.95289275210763,183.1219933452567,178.18987960574842,188.53899299481796,191.8318091844557,188.30483632432487,164.7380238324053,180.27163389036855,223.32404797821664,271.15137978150955,185.05466280779373,176.0849898724679,212.8324798261317,168.48088460828552,176.69603375973804,213.7833169470807,218.37678119949993,153.78378111774705,170.25262918298043,199.90153882639484,189.47003014390458,202.46530872288736,179.397296088432,185.02909941559298,146.1820548071827,180.3736538258993,194.86611522142033,182.3379199342678,206.49501894918922
Croatian,175.00804499591214,202.19375807242383,218.52456812421232,187.2120239361689,154.98201450889655,140.06382980360056,176.6381574881325,0,162.6696848463429,167.87020894470365,183.86785934447198,187.97937751829528,165.8878084405993,172.46488600781007,184.69911446077376,180.31724846682235,195.57632632637427,196.60049655936558,185.8320155991809,171.7231041012535,193.69269161416716,212.2272035828143,255.55198737478986,149.2443099007122,182.6834813918405,210.05912176990833,177.1208466847281,175.80247905366946,208.66511531875858,185.35998764830393,178.3570936944432,182.31524761170817,166.19356121796778,128.9178468843932,200.30485746487787,148.98927576301975,146.96387566857163,177.3175371413266,186.66748852960828,161.44288139638138,182.09322564730684,200.34209829600888
Czech,185.5886728279973,215.52257226414966,236.21407607783448,195.87298407783493,191.25640699534782,163.97301741758594,193.63849119529198,162.6696848463429,0,171.62570370547306,189.74487041152148,195.64853564506907,176.46230814051324,185.48333008490386,189.58545163973508,193.53775254410235,208.32857838395648,209.13623109696618,193.12821676924625,185.427989601566,204.8439773984023,217.51414635669133,277.3748258913173,172.90945401607885,200.90980293285358,208.1099159473829,187.8039433464025,185.28061493985345,218.1527050816918,190.0468055460973,188.85527454452787,194.07428243157634,171.5343481173008,163.12246444351612,221.83092152692407,140.05932088333827,170.7282469377393,193.7463687439405,196.41886777221288,169.6391081849051,190.796294157264,208.6772648258672
Danish,152.342069240747,197.85251851813743,221.63119097930448,177.27188275974768,198.05069340367373,164.8938614905626,165.1355307228174,167.87020894470365,171.62570370547306,0,155.1764281340328,154.29597822367927,149.7988145231739,162.27476798781035,148.1941038833564,169.3973899053026,180.63708545460005,181.2678257579222,158.7060270267882,153.5361926055944,182.93054623582435,209.23304676852834,268.0539732761815,177.47788610948234,170.48544223323245,184.82565641400245,132.58876067933562,165.02845505453374,205.82773892560735,203.1854251774731,164.16551977249125,168.46873593849756,183.40520502101037,177.82999257467483,202.07255926073654,162.90087228026732,166.75618007614824,168.80092137505073,151.11718587644398,181.14625563666456,169.6190562736026,186.56019101317037
Dutch,138.76611947579406,205.40811072807907,229.93188090620626,192.73588068259804,219.06998019254485,177.1881093248302,180.677266432171,183.86785934447198,189.74487041152148,155.1764281340328,0,169.2767266735075,169.4803164669616,177.12794124607652,155.279664145947,181.67143081954129,194.4182402540361,198.34643137654206,174.58234012958692,170.73003486843155,202.32741854482404,221.4281293166941,278.0733165164067,186.89720453042065,184.72706376444063,209.85511438827342,163.63358666589613,179.02551629446572,212.1999356366967,220.0626858069093,177.61417402363068,187.05283188372735,198.92153705803784,190.6679391418997,214.40454860266104,181.41024842685778,184.15567518386462,180.49449677926134,172.4447463737791,196.636065168872,188.46867957423368,208.93707552719997
