,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,201.973540788191,239.43758912371686,211.29447883114102,235.90804097808353,203.81707433979426,203.2621818754237,207.63545907786397,213.60387486804646,176.477155503775,160.120021314945,196.91101838791124,195.9850356506353,185.11155787166203,191.63426116661944,213.90259750751312,216.56532009017639,229.0993742998038,185.19213463891256,185.488759811828,244.41746238642511,235.07508095975174,301.95487996125087,210.42115792797986,207.61830335595374,224.2337611256754,174.83715273831749,188.8704678749779,224.92267621135144,248.59075612101987,202.0741887845203,215.96734774760787,219.59377916822282,207.9161592435643,218.04506947952672,201.3348875859926,207.68888683816778,208.4897400006298,187.64524761599557,218.4786401429715,209.77098588709296,244.04434832896126
Albanian,201.973540788191,0,249.1419607955747,217.94463158568726,257.4958404137978,219.12036898212537,217.09897276241827,217.55220738196405,234.00046761289647,211.4809546064852,224.26257627257573,240.0457038656678,205.72074008990748,195.00692345709535,232.61081007001513,217.77586843921603,229.10401574674827,237.25996551973134,223.8829690566729,198.93394117338167,250.91457993180956,254.8342422801814,315.4084976470386,226.8643999257091,214.44321916170878,227.08596597709644,213.70751153930493,197.28378255219303,236.522224876008,265.79872314937285,215.84653253470182,225.30828759701453,236.48777628323276,227.58732318152028,204.60077711962393,217.72714041806927,227.02983458985312,216.8337253115701,221.94161465577776,232.12402102276974,217.11779968728013,256.7651092153764
Armenian,239.43758912371686,249.1419607955747,0,264.2969789947934,291.8017990416902,262.7146917513969,261.4266728365706,261.6626525084071,277.844150774566,259.405449890145,266.8009782311131,280.46004417343556,254.36145139120447,242.68188019998877,268.8848793213308,257.85836651774093,278.3929715490457,286.8484777317955,249.08072279465287,242.67509909142527,297.773764887,283.0537155129226,342.77887344469946,269.3226909703212,264.7646410846141,285.4657134680385,250.39853359124302,239.62744371443128,266.2291183760312,306.4186844097281,260.8813842803136,269.67159813291937,276.32520690612,265.4789563486996,257.6162913469915,261.6803613323835,272.4971229936197,268.01095031763316,263.56388171627,275.30942353710583,266.27955019351015,296.0333058694525
Bengali,211.29447883114102,217.94463158568726,264.2969789947934,0,252.1780589006563,212.6571430482277,209.5238432987007,217.0157695539118,225.401897540133,207.66162732365484,223.68862404876413,228.24421941460798,208.8433468359495,202.66561407110862,225.3582035859426,216.04448617040538,188.2587149068127,195.2233592161909,226.92238885140915,205.30989478272386,247.4499512615395,250.42501431903773,309.7507764570994,219.92948017631187,186.8255814641066,199.12388830221326,208.46852951749122,204.0354084879877,240.80733261127892,253.85361965086346,217.0897329405699,221.45796155310157,235.72981511176627,221.43836703419564,224.09327327835442,213.76334104289057,223.02432736707948,217.06753125114028,215.96109449553006,229.419970684121,182.71673809061758,257.85653858075034
Bosnian,235.90804097808353,257.4958404137978,291.8017990416902,252.1780589006563,0,211.14037442625775,253.90056359355614,181.8066192213564,217.12563441780367,240.96356286767463,255.78685643117046,270.17108495941034,244.20974389509755,244.05081442468227,257.54923524652884,259.4906815354957,262.3402363937771,273.8937823769837,252.5740232509282,248.81074682000005,279.11111850460446,249.89836593122337,305.0376501123628,192.73347425945173,256.7291507366774,264.6049679695357,233.8557445082761,250.7108230728498,276.05969390025655,236.31900426832382,250.34201560183953,252.31799418509138,207.5019270989195,150.96054727556154,277.19030529950476,197.7117027108133,207.6982987587849,259.42963832017057,253.26917086983613,206.47716535165063,253.60745317289076,292.9197217858224
Bulgarian,203.81707433979426,219.12036898212537,262.7146917513969,212.6571430482277,211.14037442625775,0,203.78088402733349,165.0633263046527,189.2067798895824,198.74784778347004,212.63181434528695,222.47859692051077,200.60312116210554,193.24425247156717,217.28176430831792,211.46863160253454,217.6224555711029,227.37718362286805,217.3563083891545,199.94075765836905,233.1977941761356,240.37145657239913,291.34194384621514,165.51837905779203,208.48797319145487,238.9160663623922,202.83052494719237,204.00709842127714,235.44680824799406,219.52095415135938,207.58364221094385,214.59144227080353,196.54311681662008,177.0123470311933,229.2713889818361,179.43828579344014,190.92509156780173,205.24811087275785,211.22907872999164,194.41199515347898,207.68200664419064,244.8332315139364
Catalan,203.2621818754237,217.09897276241827,261.4266728365706,209.5238432987007,253.90056359355614,203.78088402733349,0,210.0264044098124,222.9946639930299,197.3073030045675,212.62457440205773,215.74638160231015,183.0401033152994,161.96296428984007,216.81643461418895,208.52489731466295,212.32401928506195,222.06186589172353,217.4911252822497,192.50117615915408,215.58011273759837,247.2073597477575,300.4036433399073,216.69053281724769,201.08562842101836,239.79347104733796,190.2096191797339,202.25932948350098,240.7069534874014,250.24134261931812,179.85677324494785,197.00763006475484,231.6566907181959,218.8107154785879,228.95161233073208,206.24741989165398,216.43280715114923,169.847324856964,205.70005962050524,225.27609517925424,210.84928953980778,254.40910282496174
Croatian,207.63545907786397,217.55220738196405,261.6626525084071,217.0157695539118,181.8066192213564,165.0633263046527,210.0264044098124,0,188.75325433058217,202.2851824324588,219.20510400235682,229.53400263115395,202.2890032937218,197.60771030850026,224.91590974509504,215.67961956387236,221.83931294804918,232.36937747050717,223.22794429405877,203.53976960142882,237.49351716836273,239.1952865998246,284.00151710911723,176.88528921378534,210.3840672965221,240.51975576407384,207.21845778648995,204.74479480924677,236.2283528439081,215.89815663129718,213.4274790601841,217.3774758440457,197.89926820079341,150.4958711944528,226.3318517103784,175.98057767697435,173.83922358898633,210.47650210833896,216.03041170215337,189.11875850114623,213.49707588337677,250.01392795147075
Czech,213.60387486804646,234.00046761289647,277.844150774566,225.401897540133,217.12563441780367,189.2067798895824,222.9946639930299,188.75325433058217,0,208.01792515007867,227.52063781513013,236.0376089342965,211.26242281433514,209.91937376083612,232.16971976384056,231.5232801419488,234.56077579615075,245.08601022898122,229.56770984051016,216.17761583576805,253.04767251058325,238.52503351497342,299.6245006047098,201.22608658002505,227.4150976251557,245.52604110922277,212.6281295327148,217.26517461230387,247.78562842001256,212.69557679707015,224.30579079821206,229.0201655471452,198.16161988183785,187.177684589232,250.84185520670007,155.42996224446392,201.22196249340192,225.86563940344354,224.6215449782576,194.150576029342,222.5369089336095,258.8749341437525
Danish,176.477155503775,211.4809546064852,259.405449890145,207.66162732365484,240.96356286767463,198.74784778347004,197.3073030045675,202.2851824324588,208.01792515007867,0,187.31984174674935,188.37804649081178,186.8957091388914,186.36431630321627,183.01614545569754,208.40148996735894,207.5493328896324,216.9790723916781,186.11862069391103,182.63115772822783,234.26733194783165,238.97665014720033,304.57170279124114,211.10624967388648,196.72288771827152,221.38866067379718,153.93960299971533,192.8080643043464,231.77660708933507,244.01834051961748,200.5249703597942,208.05798598428288,220.305356219405,210.1507989878801,229.5536307451872,195.25524177047862,201.95032764118676,202.76427542478524,173.38563193187898,216.1605972194885,201.07175304620077,238.52640900134716
