,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,127.53659669510198,137.3757169978403,128.82703282023692,139.24440948285726,125.55289702884188,122.21693781265795,122.87021666997636,133.08681818348205,99.58889624323142,88.39475095715684,110.53049843440448,114.40238142694325,109.9951890921925,113.68601402398859,122.95940077001758,129.7368457401233,132.41652179601965,109.21719349683359,108.64990024612486,143.17058174915078,146.490520155774,186.65202963676415,126.77512877115795,121.5901440956061,129.82956163017158,103.66892771175807,110.7658127573055,140.4701393491747,153.5698087437492,120.36243382778181,127.74081309279646,131.29605559890643,124.49012402818626,128.7145587276568,121.6485059753496,124.43144614275971,123.70533703578425,109.27062088175713,129.6589023692619,126.00805351899942,142.12348540514367
Albanian,127.53659669510198,0,146.24292436543098,134.6078612008776,152.77647556719918,136.6541078001748,135.99943372476005,129.9915293012833,144.20659157593477,124.04473944627952,138.41547725141265,143.5998071359217,122.6628372728528,116.21319318675557,143.1033977510689,129.47647907310798,142.00125487169984,140.22820020025924,135.88575551685818,122.44312259162308,151.391229434989,160.29588633730478,192.64126412563186,136.46064874635277,130.4856919058244,132.27238837412972,130.34477325919303,117.99741345646424,148.47814550024466,167.3512216067465,131.66347876436464,133.29487045170788,141.48859598988298,136.26851497551667,117.93096727573003,132.56893758040388,140.58004652414152,131.84681320748044,134.2173691530584,137.62978977744658,130.31731980129499,153.19335335203579
Armenian,137.3757169978403,146.24292436543098,0,149.69911652669165,161.32797684138015,152.30872559107237,148.87278926061327,144.27992518132166,160.50179879743266,139.78767814073674,149.5424218477195,152.03988288907578,139.3856694605036,134.14145609418907,152.51949646008535,140.02259582030587,156.82903724307005,156.46121765197515,140.54596819547916,135.98820875034295,164.2167179193798,165.35933169827462,195.63212456417907,149.8198037826309,147.54275106320654,150.69890585205633,142.71139789128236,131.38894319553563,153.8537453372325,177.57240084116418,145.84884827211928,146.87593228446883,154.28327343793873,148.61597701725796,141.96467744979887,148.0162454730571,154.33642153397096,150.12192530688145,145.58592559876598,151.69249138576288,147.06021823330752,159.80403202047935
Bengali,128.82703282023692,134.6078612008776,149.69911652669165,0,153.2080071264516,134.4388895434459,129.82189855641448,131.668516168314,144.34846631966695,127.31359364723511,136.51335121740718,136.50156857715396,125.52233469436376,122.29104487492067,142.0326946626563,125.95183900274009,114.14621500281021,111.94734997078248,139.2280188648394,122.18426608146251,148.52515943739635,160.45671621846012,192.60957103935755,136.28768624567948,111.13246163828076,111.67997278368256,132.31504384154508,120.7717745711264,150.07815642691378,160.0227172048683,130.13702410413796,134.14450838998974,144.43555058132873,136.22046467200636,127.88744345923968,133.8446819940422,137.48809572717553,128.72055008429734,133.76222196944684,140.63449529558855,110.23200666294166,153.9959197218834
Bosnian,139.24440948285726,152.77647556719918,161.32797684138015,153.2080071264516,0,120.14169572992748,150.78388997595704,93.63983978746265,128.52194827849442,139.12361178399485,149.8308440350621,154.8562457344009,139.7662508309706,138.03802023473807,155.70420181750387,146.78545744328522,159.16455109571515,158.5019924188494,146.2769434287684,142.57019545575565,159.11289335545973,156.15106936104107,186.37101425399004,104.63727450172986,151.45430080531673,155.84263578856897,142.11117771680443,141.85734713775886,163.9252220646498,140.4952409648264,144.68975084003827,147.96545697570954,116.96690469461122,78.72371281218064,153.2845680299167,114.59983207789138,119.23533547092562,147.48469272193992,148.45454019445145,114.68042742302185,149.49191081824787,165.0245407249925
Bulgarian,125.55289702884188,136.6541078001748,152.30872559107237,134.4388895434459,120.14169572992748,0,127.8454222028912,94.51120115309723,115.19594068464673,119.05149429205902,131.6123402341911,131.89240102866057,121.50239177721703,118.12105245354182,139.54996128176572,125.36005016238497,139.69139841806066,137.82479650840142,134.6679561757101,122.08411705756338,137.38992325976258,154.4403746022028,184.4738781685307,99.14069905365302,130.68709632991283,140.04945565413362,126.0196011391393,124.19350456823774,148.30417440367233,138.58377859539473,127.32006285399693,130.21317002712996,118.25004228643117,105.03961417117002,134.96597776824362,108.31084711841298,112.42486533629882,125.54679471150612,131.93752252463707,116.52862935107133,128.4979739226298,142.9463712995496
Catalan,122.21693781265795,135.99943372476005,148.87278926061327,129.82189855641448,150.78388997595704,127.8454222028912,0,125.80429395041602,141.4331226250854,119.80566634018884,128.6453199242211,126.76425711342178,109.7101507938261,95.76614477621803,136.789455465711,121.46141430843636,131.7245150679837,131.5650007890724,133.12096313325176,114.79890245440124,124.25888433823008,158.9473348013675,190.82537795169725,133.434779633982,123.50649328604328,137.47535762942732,121.5868859674128,121.13857421576262,149.16978676281443,158.7958186085225,105.25175102994936,118.17501942419231,141.91158015121064,133.8457548686939,135.12268627417046,128.6932964735961,131.72710663515286,99.25657242786693,127.32762994478098,137.62083464999714,128.74470213115666,147.76706202715758
Croatian,122.87021666997636,129.9915293012833,144.27992518132166,131.668516168314,93.63983978746265,94.51120115309723,125.80429395041602,0,109.59962293304848,115.24395144405595,130.87879905146175,129.80128625864143,117.13643209251929,113.94977024947016,137.2163892679971,123.29646255193833,136.5439038015873,135.8739230611155,131.59714141167564,119.73447426214766,134.8084260681692,149.78179272432251,172.05793897444866,100.73876258755833,126.52184441549016,133.72096775755006,124.36538677537828,117.81556016931063,142.232720278298,133.39502911637945,126.03755936867059,126.81161209721972,113.35809446751625,81.19708126692008,127.15212577772303,101.32981577762285,98.30208706389746,123.2825780086101,129.40645112017606,107.11941236102793,125.84640740879448,138.71594610477456
Czech,133.08681818348205,144.20659157593477,160.50179879743266,144.34846631966695,128.52194827849442,115.19594068464673,141.4331226250854,109.59962293304848,0,125.11204196745139,142.72178890598573,143.37345567059117,128.10656263469258,127.53490862020134,149.0467873949946,138.8288966639906,152.77294436980117,152.0541582747367,141.2269471949578,129.95229924794722,152.47415651623285,154.28056342750503,194.38117409539927,122.99144591234695,143.58624209315022,149.08303308189957,132.94006573746418,132.410587630584,156.78634769762547,135.14005478845394,137.9464772183051,141.05384892856043,118.39915594221418,114.68381018557251,144.05320262923047,90.88299200666795,122.57351651407791,137.93543242142846,141.58966149461145,116.37108976713219,137.48543188012255,154.1822194171257
Danish,99.58889624323142,124.04473944627952,139.78767814073674,127.31359364723511,139.12361178399485,119.05149429205902,119.80566634018884,115.24395144405595,125.11204196745139,0,109.63328897346793,108.2806071352853,107.31005028830755,107.18673676410309,111.28367345742149,117.76845386201363,129.26127271351797,129.0894704946716,105.64154023360342,104.7123477687265,133.70732064037247,146.2602106026744,185.18110241361742,125.54058619203963,119.5319040048696,124.59932285887373,89.17044878308789,108.94875512309127,138.64020296525172,151.8589217192395,119.64100942728572,122.05504826784029,129.13767536606383,124.76272296310805,123.8855327841714,117.10473976200078,119.37945406067767,120.62654587303473,99.19659571445312,126.95840075334546,120.34680546638515,133.60516461217102
Dutch,88.39475095715684,138.41547725141265,149.5424218477195,136.51335121740718,149.8308440350621,131.6123402341911,128.6453199242211,130.87879905146175,142.72178890598573,109.63328897346793,0,117.55240355615291,122.87711286045518,122.76156332617612,110.93989743634947,126.2413001611793,137.2196303520483,137.27472064103196,122.39367167907866,118.53246769470574,147.77390401065256,155.46301560134643,195.20915778216,136.41911241151493,129.71875438980402,139.0018643468515,112.01614402738528,123.55502604117419,149.29414275469045,162.1822624816682,127.19702734843197,135.1050165072584,142.90307784867494,135.39708572884095,138.36469106644762,132.17034647004692,132.93401389780675,128.7731129948004,118.17868515073346,141.08224243848161,131.3801392800106,148.5501387993545
