,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,102.89775286916064,119.89405601232448,100.97516206886135,112.49530604884988,98.77344818057088,96.87180033561765,97.28616898779694,106.62566928804812,80.80913896301878,72.69789111052287,95.01801542908474,93.44840216819773,88.67062180380621,91.19607207781597,101.98014196727937,103.37837744997073,106.39966386922654,89.61433227645523,89.49615657975677,119.96654295444925,115.99827405736254,149.89783892294506,100.10583106109502,96.59776983946189,109.11859926688861,80.02039677174211,91.30853240252412,114.35747982481773,125.07361922676425,99.85523423464495,101.2002910159965,105.19736606883662,97.85616349541823,107.29342882839678,98.60105205832316,99.9910262318873,103.15765665718627,88.46950760488372,105.18280707096615,101.2655341798037,125.05277214269712
Albanian,102.89775286916064,0,127.85157014032947,106.5287396022811,124.24783570270627,109.94946936245115,109.48173149120377,107.38590103165349,118.76187924577943,103.67553520596796,115.42623714500563,124.21262632866583,101.6449257350612,96.02988519065521,117.29747372101633,110.88922918980825,112.73002826285106,112.92754892632341,112.99556396506006,102.07431383377065,129.20616293461885,128.2983884486948,155.89003534132075,109.65775859459221,104.40988228098742,111.331284261856,103.62152208977697,99.17441672608521,122.96299854766342,137.40732724747068,111.38260631581112,108.71569953770418,114.62073873758435,109.15810475042231,101.27917455023015,109.80884596851563,114.18679464598976,111.94357361539507,111.29021066673049,113.14941811458382,106.41843880788223,136.95246601055027
Armenian,119.89405601232448,127.85157014032947,0,128.56585704024351,141.84809127591825,130.9599557694799,129.04149245883508,126.5512737564631,136.52840352414617,125.5144469147808,132.75240552817644,139.99715212550024,124.70255098118095,118.49085911507709,132.87477287200338,126.0882328357921,133.6370925509469,136.0233002127201,125.33693276477469,120.4335328260993,148.53489730869188,141.02792106714375,167.8240641521847,129.30045296242906,127.24872093511216,136.70171387324882,122.43084994303776,118.31263872016557,135.8567877091329,154.96297996649423,131.20119225729073,128.35825388490193,134.06154321969123,128.88732855863245,129.66896316712908,129.0444765554042,133.20601460478846,134.16663545812145,128.90305441363958,134.7276534345213,128.71068128433905,150.39541995640965
Bengali,100.97516206886135,106.5287396022811,128.56585704024351,0,122.50004602227452,105.79937578205707,102.35124934984269,106.05310847506784,115.22260076432927,101.78421811678497,110.49332490341266,115.97086792198697,100.87745684841842,96.97398418543266,113.53993567839406,103.48986407178857,90.06062644196031,89.81831014848346,111.98380224941437,98.00488051761596,123.8994533018495,127.09242648089509,154.96454650831487,108.36055835857624,87.91666235856057,94.07934718496423,101.81319578115584,97.60981603635524,120.90960346548007,130.215437828148,107.21055103154202,106.16844594834275,114.35799477577731,107.47500857231054,105.91368031478383,107.96777586612639,109.74128626712253,105.64836627869835,107.80665983100928,112.72546219363217,90.26187512077,133.09314194138176
Bosnian,112.49530604884988,124.24783570270627,141.84809127591825,122.50004602227452,0,96.80513688051695,120.82865413927624,76.8796941458252,106.3860926518059,115.78572471113165,125.23234814747333,134.00890514097551,116.19276498476223,111.50415051961637,128.1569412394065,122.71254818031909,127.59736112277282,128.27676755202364,120.74984116538329,117.1020320017273,135.40733747143324,128.99158181155056,158.3159306286287,86.04066454789104,120.76034127152553,132.09718224644809,112.75806624920929,117.38006597755616,135.95216843839628,119.80087174072023,122.00730542664552,119.13352516278954,99.18868622751758,67.18554902175153,127.78189160993007,97.00538382974776,98.3612845992114,123.0431201725344,122.06239354685735,98.09132480740075,121.97555892022868,147.9109323008055
Bulgarian,98.77344818057088,109.94946936245115,130.9599557694799,105.79937578205707,96.80513688051695,0,100.90108335993476,78.09145710446555,94.68858379494975,97.70895514658686,108.98735798182487,112.72992346610854,99.5333909675736,94.32517803603967,112.54701700063039,104.30200616066749,109.76970429949887,110.07284045824359,109.93808522728824,98.7443234589191,116.51200867903943,122.80762240997977,150.07709565316736,79.3883457970385,102.83205785853983,116.81252153637276,98.26405061026225,100.8330186298606,120.99817030522642,115.63852331743401,106.17049383094728,104.52213477355687,96.38239512028474,84.05204832901812,112.29207055720207,89.25191034901067,90.4263616273748,102.73523078013403,106.54925118662197,95.36065225322918,104.26980833827379,125.80643531055154
Catalan,96.87180033561765,109.48173149120377,129.04149245883508,102.35124934984269,120.82865413927624,100.90108335993476,0,101.10343034108443,113.01423529214556,96.68202222013352,105.47183158894359,107.87235172299802,90.3347390962319,78.3391386933541,110.01806509403035,101.15221671551762,104.91711060705676,105.816927223746,108.9341913141488,92.91953197739215,105.48041262937134,126.3244208571681,155.38716942097454,106.06470203184475,98.19928579607424,115.12880125436796,95.39517370396256,99.13772029996939,122.39432462348167,130.211386561225,88.5579721361762,94.89895120359743,113.50791969142652,105.63747381183968,111.85084543911253,103.72952858560379,103.83170714828523,82.32992033136705,102.94699687593943,111.63796914962143,103.71562124288609,127.93995048421702
Croatian,97.28616898779694,107.38590103165349,126.5512737564631,106.05310847506784,76.8796941458252,78.09145710446555,101.10343034108443,0,92.53641029758079,96.83642892100437,109.4879182430384,113.08155079328286,98.54262603403694,93.22236961875186,112.39348042818796,105.45982803403913,109.46572396821583,110.64244550286392,108.09749867204619,99.15976566886357,116.23341915880827,120.34578077347152,144.4748190712317,80.69124119673256,101.9151390924538,115.48561980446182,97.70864624973058,98.07132992229185,118.61275297279012,111.27035819239747,107.16726037869188,102.67281757277175,92.85265879857023,65.97527079804607,110.33024170110613,84.6250775520493,80.80181385281759,104.7958316288663,106.16443638828326,90.25067109446185,104.74427879730729,126.99182662716514
Czech,106.62566928804812,118.76187924577943,136.52840352414617,115.22260076432927,106.3860926518059,94.68858379494975,113.01423529214556,92.53641029758079,0,103.81010678743856,118.62846666068452,122.37412814884412,107.6304564232713,104.50826745373215,121.18270455142316,115.84585229506612,121.67409013907172,122.82912821861527,116.56029279627141,107.09037026192809,129.64953867130623,125.7941991351361,158.87820443248023,100.20854433881613,114.50519073043984,124.94288726886715,105.0803248340734,109.431328895106,129.5743444190167,113.74490558561641,116.39917358934292,113.86868219523043,98.87156819069774,94.30023484801684,121.00721098224972,75.92780812017044,99.95099920722636,115.64132789192297,115.93245643549002,97.57837534378567,113.67037848245944,136.23554710605993
Danish,80.80913896301878,103.67553520596796,125.5144469147808,101.78421811678497,115.78572471113165,97.70895514658686,96.68202222013352,96.83642892100437,103.81010678743856,0,92.86165154518021,95.53710773956576,90.71169342922917,88.79000273389111,90.950688046771,100.62265345942866,103.99011938849384,106.31350080728222,88.82336986001627,86.75721706758561,115.94196936953844,119.09732137999856,152.62465620971722,102.50358126501177,96.33531053600484,107.78166635637831,70.77567101993469,92.26079665494612,116.02366330864504,126.57358228837094,102.21669829035649,100.2223632349511,106.62796615773418,101.75389885861702,107.3976998289056,97.82724386998626,98.44279751358671,103.14361286048809,82.94747193394323,106.4694043686031,100.50426651421884,121.7189097435283
