,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,10.045742170316435,11.979143967738231,9.92716163846012,11.49121587770985,9.884473679562221,9.778908717164184,10.184443225873766,10.322128315101963,9.19733141780208,10.12107163096699,10.187539740438254,9.416574763443501,9.36287522275022,10.180111888935766,10.084836210271924,10.44598259454589,10.624717925084022,10.358710577055998,8.874191028222151,11.599625261590857,11.429431224810022,14.167237555789528,10.353649524357982,9.82988599766463,11.105990912749728,9.146522725273583,9.680462197100127,11.414424142956532,12.156240528192248,10.061329171320688,10.262162892951014,10.772705738235985,10.2521966648996,10.52906636873101,9.847201262184047,10.336996290452396,9.981044812687651,10.075996580658103,10.735623333734887,9.829614253358828,11.89099769880149
Albanian,10.045742170316435,0,12.39444809329052,10.366794064893325,11.901108985666397,10.276367660377032,10.235644000283642,10.550318370876132,10.671748648688286,9.645797829917402,10.6990112478156,10.64391750172024,9.826532173805026,9.721779519906761,10.639638511882849,10.533264017682594,10.938172128595825,11.115014941075039,10.87318234961389,9.307102504010421,12.018447984773442,11.858300417357283,14.53995195003371,10.753992041560963,10.286627881063612,11.561197124574658,9.56704017494695,10.175436488536837,11.758076967880502,12.575628689657396,10.42541467893757,10.670381401078394,11.161665458498355,10.64517171591651,10.851563927361122,10.2248233917735,10.797832470533834,10.33107274212912,10.50735085719487,11.10649647796864,10.2211416421359,12.299612509623312
Armenian,11.979143967738231,12.39444809329052,0,12.262178089893915,13.831930247910337,12.281488737710788,12.164726988656401,12.539890523800437,12.66797292857683,11.656770164790894,12.659319407420014,12.588828260262522,11.79758599942386,11.708407240289727,12.561650099820607,12.40541260025039,12.85594131746937,12.998804539667994,12.734710808825424,11.276068449651751,13.901559921164838,13.735987617907703,16.320545009053745,12.699870413868988,12.207470641174229,13.4149679607073,11.610641853590167,12.076281980443936,13.698184936451778,14.483618658787512,12.383509299935529,12.62819395435512,13.105359538018401,12.600390904057978,12.7700669315429,12.212238874150707,12.75145356482224,12.256552137344936,12.456851475011577,13.083308441242348,12.172695510197812,14.140576862860044
Bengali,9.92716163846012,10.366794064893325,12.262178089893915,0,11.714392531168079,10.116034555304593,10.059228937340942,10.410250761494769,10.585475638662345,9.511925176604649,10.560210694287319,10.464320648637841,9.662871694521403,9.654917595149506,10.483162041404272,10.355829480909247,10.72117535059395,10.883908632450662,10.747677826006948,9.16408693657947,11.81901398430335,11.656760801310947,14.331540630642436,10.579024676884455,10.104907916689786,11.269800863665075,9.476594369959622,10.021408188149696,11.70706491862693,12.40174039182347,10.29639010742365,10.540435447672028,10.987669017148384,10.47999200244939,10.791969858381652,10.125293183959478,10.639320696158878,10.192568664916138,10.346161667756217,10.953027045591003,10.019984459427155,12.108290751766638
Bosnian,11.49121587770985,11.901108985666397,13.831930247910337,11.714392531168079,0,11.569061172285968,11.620024627604892,11.813144277849414,12.0328754144454,11.058514701517737,12.087582354700736,11.936546601974596,11.227787310136152,11.180518781027352,11.997565282601197,11.874157068870245,12.323038492168834,12.475003793507796,12.283951097434429,10.725375387286597,13.286200659620981,13.148871000489411,15.78643697936,11.918620734911554,11.693223652900075,12.87625382745599,11.001777629139783,11.623460826174936,13.212096214887522,13.818265477186639,11.8242552534132,12.025953833523921,12.338482293563732,11.772670364898525,12.322159973199925,11.601585417042289,12.126643655991284,11.724850541971337,11.883794456038487,12.265854966109682,11.564594263955623,13.572629485255131
Bulgarian,9.884473679562221,10.276367660377032,12.281488737710788,10.116034555304593,11.569061172285968,0,10.000282436550828,10.189083427552028,10.409832172301284,9.406371432846608,10.460685466677985,10.286073654892384,9.589311216145104,9.597145516368553,10.416391639258165,10.278748058836708,10.716339627779135,10.858426621181371,10.697637247659804,9.116457979658618,11.691091041938044,11.552294593711053,14.258252416839053,10.438494421734799,10.083373538160965,11.288010347647099,9.368864448331994,10.00595621264538,11.63906417168091,12.267863854635099,10.21361576065077,10.399229508008432,10.861018008216039,10.336017346679192,10.71662465347136,9.998874830250138,10.548313730669188,10.118471196138971,10.26456335791731,10.797018636497592,9.965323029175346,11.970656751783347
Catalan,9.778908717164184,10.235644000283642,12.164726988656401,10.059228937340942,11.620024627604892,10.000282436550828,0,10.310375656029212,10.46741503740743,9.368112186355857,10.406055266489094,10.352833255322889,9.528064258839608,9.478087003105799,10.3464971443276,10.20586122258377,10.615332062743352,10.80990397480702,10.60751719482905,9.011029208779592,11.69100264276798,11.551944685664767,14.269269061469883,10.492938632805455,10.001858088923958,11.238019397815412,9.326078550211363,9.88087505875046,11.595714746881159,12.296953434969161,10.131781155613147,10.371686318058918,10.900033507456298,10.383154533753714,10.697772997245766,9.99513185115538,10.490814869768382,10.029143582685615,10.1918970901383,10.855753703666524,9.960181312055605,12.0363127792275
Croatian,10.184443225873766,10.550318370876132,12.539890523800437,10.410250761494769,11.813144277849414,10.189083427552028,10.310375656029212,0,10.712455652364644,9.725052482348081,10.757687375762076,10.604029967137746,9.889403797156143,9.889314118207603,10.710892654047996,10.567311076464733,11.006917919057951,11.168228104371837,10.999812610242698,9.424549268730278,11.973253351059842,11.861970846288846,14.517330896109797,10.715336217516624,10.378729636834356,11.573230652175628,9.674927195015384,10.31665599144431,11.913408810130443,12.541389027980228,10.490619900742944,10.721537673993236,11.139033649814081,10.591782776009941,10.994166303029377,10.285821860715181,10.83762974039391,10.412645982795972,10.585232348192031,11.07125564987823,10.272242952294548,12.268048419085181
Czech,10.322128315101963,10.671748648688286,12.66797292857683,10.585475638662345,12.0328754144454,10.409832172301284,10.46741503740743,10.712455652364644,0,9.884363463505547,10.919930948749947,10.817640124663393,10.05498548727642,10.013373423483385,10.852855590854928,10.744793658756999,11.189241580135604,11.347391135319885,11.130681782583512,9.550102780995102,12.18071811391448,12.03574922777897,14.694091175444079,10.930105160091717,10.555753326844657,11.74919993167859,9.796361191101717,10.448444182491288,12.039963848756326,12.708385658534121,10.637054886040248,10.858041675246016,11.325017993316553,10.809535613906665,11.15040548787949,10.407649149681957,11.024234746118891,10.556433501393876,10.731820493152124,11.27700872371126,10.419900814262357,12.462180970580837
Danish,9.19733141780208,9.645797829917402,11.656770164790894,9.511925176604649,11.058514701517737,9.406371432846608,9.368112186355857,9.725052482348081,9.884363463505547,0,9.854389558021534,9.73597781144466,8.987426797541127,8.947586516886302,9.780366478296422,9.694074374402618,10.06644335131453,10.253547618780937,10.032116623312637,8.457245278165654,11.171467231541058,11.012005716658793,13.76071489295245,9.91236155974171,9.437186540563118,10.688597241225285,8.673712712860155,9.33798766156661,11.020672615226506,11.744791044085302,9.638786805165054,9.84844283672951,10.332744711689713,9.802267388881816,10.121915533587343,9.423117183826315,9.925690474742467,9.544347352306767,9.637476182997224,10.290069190261523,9.3905517872689,11.484123091059201
Dutch,10.12107163096699,10.6990112478156,12.659319407420014,10.560210694287319,12.087582354700736,10.460685466677985,10.406055266489094,10.757687375762076,10.919930948749947,9.854389558021534,0,10.788599871426822,10.053659241233142,10.028295028845331,10.739551022031229,10.699976927968137,11.087960338131595,11.257803985679981,11.057381926572305,9.524998090433604,12.150557012304386,12.043396359075166,14.71991169023849,10.970048245269721,10.477142504702591,11.713599224663371,9.782994270177726,10.391766764787208,12.040834179558802,12.729585002052033,10.670309163002731,10.850859348621235,11.38064232288591,10.85911140962506,11.18741696645965,10.494450128219578,10.99764165208052,10.594185210884955,10.687122225549839,11.326769735767323,10.451838858727475,12.46502382488382
