,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3748.7903664928394,4684.957746675598,4108.726927062979,4518.589075727048,4050.984802905916,4116.580247170282,4134.178506228347,4428.089740553065,3558.374775959227,3249.5581042277186,4026.5637627969913,3770.76723726644,3491.943936951279,3834.980759760678,4220.9909024066465,4348.030201404483,4614.256935654779,3589.124061888236,3561.207609229839,4921.100773275971,4546.5381373401615,5821.275507422791,4100.23320603739,4052.301470155365,4334.7352215869505,3380.41351196577,3592.3316142841345,4349.639244621378,5024.489906266833,4024.7735892813093,4246.871440938514,4286.437703356338,4082.1297686012945,4033.6203653103316,4022.094427423977,4183.215388755556,4239.974758491175,3710.6516460027374,4268.701678102244,4088.4916424629355,5016.407710170659
Albanian,3748.7903664928394,0,4816.9308682710225,4196.646587830904,4828.049169366419,4357.276138621901,4391.651364239788,4435.817768454923,4714.40734204322,4023.404642612958,4359.583888288643,4772.550638441926,3991.923847121677,3648.129516252637,4378.662063550063,4328.68688064848,4567.225871315575,4827.879722061257,4075.801222235809,3768.1440475773143,5150.306177009017,4809.9091713556,5997.413867713373,4336.745541842549,4264.005775972917,4333.319516529512,3951.635049571617,3755.1977069207546,4542.948398437294,5246.891949928111,4237.795616554186,4423.8839092606595,4557.789332497539,4407.530239178929,3842.8321732709464,4229.892787088368,4539.292311436475,4435.798669829745,4246.826745793159,4490.030683787775,4192.3663631053405,5247.241958807537
Armenian,4684.957746675598,4816.9308682710225,0,5064.666314669999,5527.391324261131,5168.805605174374,5157.625031075438,5148.861470961993,5461.856448492893,4974.282265120052,5240.194226781367,5485.009151326059,4872.012202548908,4629.465934265701,5250.449924504628,5092.353238095439,5422.69012405375,5624.42096248026,4785.6652195698,4789.095867585705,5922.936433511893,5541.855639528978,6580.509984421632,5129.450809157001,5114.415824851538,5293.373305783589,4728.996203811958,4590.629621700039,5299.1951377645055,6012.846051016188,5143.445284843173,5200.925627850411,5336.737675514662,5155.289090605112,4874.470008922426,5096.058061548895,5311.625544706087,5386.080489029793,4982.257448361803,5263.543462345577,5047.788286149616,5867.281845538696
Bengali,4108.726927062979,4196.646587830904,5064.666314669999,0,4948.954271205704,4413.803528830012,4383.303945456518,4482.889185992866,4690.864211375056,4251.342414665644,4501.711853096107,4678.174270812804,4174.7435462161275,3984.690238647786,4547.483521753573,4393.925499463892,4095.3767282107815,4292.533796256004,4368.621798275827,4011.9126847891,5125.879032419198,5056.408089907196,6181.2906659165565,4485.4510382809685,3942.0858693022988,4079.7456895751443,4135.5293659767485,4052.7379098662036,4782.499789568608,5249.4621678595995,4313.929880246796,4515.762433971443,4710.384545837448,4477.930111017261,4382.017733713779,4375.302834756722,4601.87202349543,4430.825352242058,4402.666892459498,4628.055522650414,3802.9400644119555,5231.680837937593
Bosnian,4518.589075727048,4828.049169366419,5527.391324261131,4948.954271205704,0,4297.438516982778,5098.317383274154,3763.1410387732894,4733.568969460892,4686.125875398488,5037.610102138123,5319.176055948079,4694.3991406223595,4540.907204238421,5097.120871840017,5061.49575247102,5270.384927464182,5415.033792797829,4817.831997752545,4690.573863707166,5536.105975574176,5253.9251337128035,6379.9220870730205,3834.3311925349212,4986.263382163371,5124.004225112778,4578.496043209891,4672.504442367973,5390.4929421135275,5046.669591314047,4902.144786851921,5017.151586448409,4274.634368770315,3148.47004012256,5025.9786795203945,4179.914754655774,4373.416478746303,5074.3355979038615,4918.574154664207,4233.6642497355115,4879.44160125363,5749.736264404917
Bulgarian,4050.984802905916,4357.276138621901,5168.805605174374,4413.803528830012,4297.438516982778,0,4335.184999848417,3540.1100156164007,4146.294542912664,4093.158379210555,4410.616531228771,4571.480465420708,4095.7461480795887,3913.602021635588,4522.737962977554,4336.878698155494,4616.065851753428,4840.027491268612,4342.746104700137,4033.98454375377,4889.890187076996,5007.521312135214,6122.373781117072,3501.8464301947242,4328.868727484669,4780.529767420275,4046.323999327769,4095.219540022697,4849.983840595361,4816.534533687601,4296.704792483778,4489.24119335027,4133.455849531672,3704.5897237322392,4541.250189393708,3811.362252981917,3995.737942379986,4355.821554123986,4363.777549297964,4100.461736806068,4301.116878939911,5085.610115948575
Catalan,4116.580247170282,4391.651364239788,5157.625031075438,4383.303945456518,5098.317383274154,4335.184999848417,0,4451.9246769871515,4783.037754925733,4151.783517294608,4453.020857038278,4550.449637403415,3878.037850612073,3492.4128622575367,4557.098595591415,4377.564191679537,4562.160601934109,4760.806064843108,4421.4054284322465,3998.6607148891794,4515.554138046555,5108.669794169635,6265.798147106776,4508.068792196015,4293.075408548341,4876.065815774834,3963.2522940544986,4209.589643029626,4909.985527787228,5392.442832605368,3825.103206507337,4218.670847158284,4814.988394488386,4555.894537224751,4662.995911332608,4395.999391722468,4538.831768169309,3750.6625851293597,4353.244150297189,4712.585269318181,4358.9427420086395,5228.186649942625
Croatian,4134.178506228347,4435.817768454923,5148.861470961993,4482.889185992866,3763.1410387732894,3540.1100156164007,4451.9246769871515,0,4098.780936769789,4164.4263197944665,4524.992669521765,4704.887949911598,4134.512962570091,4042.1803897816003,4616.35543622833,4498.305697581935,4713.134417496312,4914.287546801645,4414.4398199980205,4148.776905250376,5002.366699980442,5169.5853155348295,6102.985604908762,3672.60614791582,4406.113935143257,4793.032386502952,4172.952561972413,4131.239609931101,4899.90855458066,4836.186007174174,4404.478926104002,4566.778315748371,4194.1092399358195,3181.5777828978057,4568.686279672161,3695.5149635891553,3693.7463475012655,4485.122462608943,4460.953104542489,4003.7689608650685,4370.406387184675,5182.5302235203735
Czech,4428.089740553065,4714.40734204322,5461.856448492893,4690.864211375056,4733.568969460892,4146.294542912664,4783.037754925733,4098.780936769789,0,4299.733672391102,4753.272269419538,4982.777797638807,4382.027795406641,4370.926810721998,4819.102876910859,4737.249284283504,4979.552097803461,5128.55409480999,4664.950310571478,4410.016293028059,5287.282940890275,5268.5648284849885,6578.091860671769,4344.7595748110325,4737.566865578646,4954.919262141404,4401.71329845679,4400.348945903732,5174.060464088537,4881.320808241761,4665.779091289501,4786.356827177468,4469.714737559091,4164.807895452596,4922.234264781014,3508.0195466785312,4333.00838488698,4819.476539185628,4748.908479526303,4319.896443908848,4638.021367452069,5406.484832654189
Danish,3558.374775959227,4023.404642612958,4974.282265120052,4251.342414665644,4686.125875398488,4093.158379210555,4151.783517294608,4164.4263197944665,4299.733672391102,0,3876.7338672546834,4241.944129243111,3740.5705360007464,3707.077745853883,3889.491141552043,4202.014027457528,4415.264059802075,4602.660920583698,3730.95321163817,3690.655685966606,4711.83488415715,4872.888581038855,6128.102658045803,4234.754380437167,4120.908111057377,4399.790964826168,3214.881671919965,3805.741828366724,4665.476912757695,5049.509619030316,4164.896727462457,4259.706140391913,4411.706748209982,4252.700576322833,4228.976952966856,4043.072457347351,4189.056431818199,4291.15162043061,3670.7051323668115,4340.520474845208,4155.579554125815,4917.812302775096
Dutch,3249.5581042277186,4359.583888288643,5240.194226781367,4501.711853096107,5037.610102138123,4410.616531228771,4453.020857038278,4524.992669521765,4753.272269419538,3876.7338672546834,0,4432.148362958895,4198.957956638676,4105.259003581439,3922.9118282856216,4480.498732926772,4654.5366206639355,4869.063965414507,4179.491350805887,4067.0942525853557,5172.321941477842,5101.921525647273,6316.412586815446,4540.6924993914245,4404.943194091164,4798.050035137225,3786.12311925021,4224.0954012757575,4892.524241978787,5365.937352926298,4323.913962918501,4625.57717294428,4807.692768117139,4548.755632479244,4645.102726026887,4420.7059515833835,4529.070100010473,4491.949652086018,4203.926952533059,4722.057570851493,4481.963841921867,5340.897810126708
English,4026.5637627969913,4772.550638441926,5485.009151326059,4678.174270812804,5319.176055948079,4571.480465420708,4550.449637403415,4704.887949911598,4982.777797638807,4241.944129243111,4432.148362958895,0,4379.542345452914,4326.352619938438,4510.37699040869,4707.259889098422,4753.288475155531,5038.413781714364,4452.506353267286,4257.945781105594,5329.084222171034,5255.9658566969265,6491.245828267305,4775.034998249856,4555.140798520371,5057.779745856033,4080.7289378510764,4493.457839660413,5207.965139532389,5624.662586415571,4618.950427762608,4808.255783449775,4970.9876340196515,4722.671946538757,4974.846605373679,4632.542444666159,4789.670419993439,4758.433761677313,4460.268741035074,4955.363248398225,4670.129020009898,5417.76950632924
French,3770.76723726644,3991.923847121677,4872.012202548908,4174.7435462161275,4694.3991406223595,4095.7461480795887,3878.037850612073,4134.512962570091,4382.027795406641,3740.5705360007464,4198.957956638676,4379.542345452914,0,3557.735216315311,4239.806934651847,4182.254858290323,4402.314976134858,4625.661853903763,4063.455412837453,3729.8194503739796,4503.044426557787,4791.184917824071,6013.057208913532,4220.7555816499125,4060.5351394786894,4453.19504636449,3733.0428760471877,3791.6264544452697,4619.293631994858,5088.505869239128,3970.33808509971,4079.450720755797,4430.10631598603,4216.683243584663,4172.842187871098,4095.6475717287535,4255.124461415458,4076.548841044369,4133.407933327225,4358.189241451782,4138.657372276132,4906.634695053109
Galician,3491.943936951279,3648.129516252637,4629.465934265701,3984.690238647786,4540.907204238421,3913.602021635588,3492.4128622575367,4042.1803897816003,4370.926810721998,3707.077745853883,4105.259003581439,4326.352619938438,3557.735216315311,0,4174.808896764813,4033.5581309818012,4265.622879019322,4502.793156855615,3720.5875437455757,3467.1094094087566,4362.011099069892,4590.699970016946,5869.233289634434,4053.503739935648,3924.6777808550596,4285.681568768636,3634.666332117103,3565.1108099897874,4255.927735070864,5038.157737817275,3336.609510105662,3926.6216497381606,4277.201257293776,4080.9310013899376,3858.104620649229,3965.3585858875886,4182.652588508739,3154.4045424738097,3933.983335513429,4192.507739333547,3971.76256557202,4874.012153477231
German,3834.980759760678,4378.662063550063,5250.449924504628,4547.483521753573,5097.120871840017,4522.737962977554,4557.098595591415,4616.35543622833,4819.102876910859,3889.491141552043,3922.9118282856216,4510.37699040869,4239.806934651847,4174.808896764813,0,4543.647481225832,4727.398670482797,4898.913417025133,4285.198694386658,4086.021176360574,5219.806915428614,5100.775226009797,6267.241682713592,4637.237007125808,4485.255491246266,4734.80392834892,3955.863085658897,4235.5556822451435,4937.894022639447,5423.0198932735775,4496.597427444471,4631.9832729015425,4890.283091055252,4622.828618839908,4656.964350838577,4453.551750863231,4627.796383641276,4668.941329762841,4240.742320424106,4826.759789625667,4511.711234794752,5371.2747847289465
Greek,4220.9909024066465,4328.68688064848,5092.353238095439,4393.925499463892,5061.49575247102,4336.878698155494,4377.564191679537,4498.305697581935,4737.249284283504,4202.014027457528,4480.498732926772,4707.259889098422,4182.254858290323,4033.5581309818012,4543.647481225832,0,4563.750663524225,4698.277865204844,4425.664749065604,4075.1067886327287,5068.73378640623,4989.0718143065205,6229.726738650114,4564.507217654038,4319.297257282343,4676.097899254926,4098.36507692823,4135.448340893681,4918.115248095702,5347.264994033942,4363.362885059811,4526.228164096384,4795.675740765004,4561.3689173138555,4514.337755662512,4381.402228061753,4567.018445433141,4326.9730492889275,4443.377734679097,4712.597766139872,4332.684920930023,5179.024070726224
Gujarati,4348.030201404483,4567.225871315575,5422.69012405375,4095.3767282107815,5270.384927464182,4616.065851753428,4562.160601934109,4713.134417496312,4979.552097803461,4415.264059802075,4654.5366206639355,4753.288475155531,4402.314976134858,4265.622879019322,4727.398670482797,4563.750663524225,0,3813.3985128459753,4639.0149250073,4230.614048902701,5392.793387140811,5331.862556465048,6440.775409750094,4762.218812176588,3322.651048698026,4520.109635210832,4312.538783566303,4256.09344804981,5128.24224810412,5522.723889422985,4583.169782872202,4773.565690458567,4983.57556273586,4716.768423460562,4712.434490232342,4616.092990417453,4780.4362433509195,4636.327499899249,4662.523041342244,4878.466288461606,4013.076055294457,5489.619795177253
