,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,4674.177692603603,5366.447337052523,4809.808503606846,5386.488035780185,4750.175934558557,4713.777797100792,4938.751782493584,5256.153698418696,4133.103231286982,3633.507063980187,4547.773560344949,4469.143360684061,4157.709964145948,4376.683463867561,4981.983385197614,5001.268451026371,5312.6420927140025,4153.04690585022,4171.291946163794,5641.815764274501,5472.528779884903,6972.8768674974535,4807.540630571188,4737.613993061553,5084.461845842041,4009.413180905372,4224.836604943979,5179.714729120821,5850.4403665466125,4695.96778062047,5022.230747407189,5026.922002710705,4783.209315531779,4839.644389638229,4738.6648016103745,4861.668154608159,4847.044720835822,4279.246568867259,5060.658083837953,4831.714910444023,5688.68447298345
Albanian,4674.177692603603,0,5788.003278190183,5111.301842356839,5992.58345611174,5253.817568246849,5197.489456142835,5325.292137642985,5758.51092053608,5107.6353719218605,5309.899262186995,5742.998395126701,4907.40744926116,4501.831046497818,5425.641402098417,5252.869718034609,5484.408092155057,5760.7200917347855,5164.62328176556,4688.0306265958125,6074.860501055449,6003.105284420014,7268.516048520223,5271.565928881016,5104.991862791643,5396.827028563912,4981.594847761584,4618.971465247589,5528.674196169573,6350.896065884636,5120.0879483842,5417.70513566527,5521.9875941985365,5313.901141795129,4662.858748968021,5205.128981688793,5492.981048230527,5186.783295441039,5198.951679698396,5479.360435375289,5122.955198921371,6249.868192798472
Armenian,5366.447337052523,5788.003278190183,0,5981.516154549391,6471.138563372183,6077.693638719811,6005.5363515804365,6040.564268434506,6593.339795170797,5961.70830350252,6105.6303265933975,6433.333204673476,5712.428066163462,5451.53521795587,6133.2869042732145,5847.675447843532,6414.6984505377895,6587.325857556684,5545.5988009547955,5502.745910959876,6718.263007282051,6461.654866663018,7760.410210648128,6047.908301110525,6062.58083518245,6358.700305681689,5661.56966544025,5352.04522736024,6126.616162212778,7043.037532904759,5935.243012877423,6080.480483000992,6198.328402906997,5969.614115914479,5690.8197583441715,6022.800220877176,6264.507094146422,6118.019778139435,5933.144462372706,6200.0535069653715,6001.472837319135,6705.257013172115
Bengali,4809.808503606846,5111.301842356839,5981.516154549391,0,5825.4726077701225,5030.265761912584,4931.717667933424,5206.6135546846735,5521.898946098687,4901.893542066918,5190.222777490009,5333.359296192175,4858.393742599861,4688.914765362218,5239.742568572849,5078.482256392814,4451.200288833308,4596.241746034124,5221.1652707088615,4695.5889532725205,5797.485475909593,5877.4820494269,7196.523558252584,5133.546914515306,4368.666255001172,4481.407007899572,4934.011420242285,4670.0023864924415,5621.795031272643,5991.685308064534,5014.660189842731,5210.10913511501,5481.08659440738,5158.512342633306,5049.11000544817,5063.20505276066,5247.649630412495,5049.563716467786,5043.877237561283,5401.041056027541,4240.1829618718,5989.938434146169
Bosnian,5386.488035780185,5992.58345611174,6471.138563372183,5825.4726077701225,0,4833.585261178253,5889.248160424269,4121.903131660125,5278.899915259399,5560.191632417161,5895.90027734479,6241.218943489152,5487.154887159715,5498.281757665522,5937.201322488146,5926.993200635329,6227.145423658988,6345.448899342241,5756.763286223643,5650.907277815496,6304.049670222869,5976.251144484991,7267.070253494385,4289.376775759481,5974.458223148766,5961.631130060213,5432.81245759389,5635.217973973118,6455.412182161122,5565.762750578126,5678.483169039396,5843.1679434553735,4736.176281054916,3381.491853818685,6089.857674926805,4591.057842911764,4826.5728645748695,5857.771671868916,5804.073552888587,4728.382994687606,5788.576506623574,6646.801516623266
Bulgarian,4750.175934558557,5253.817568246849,6077.693638719811,5030.265761912584,4833.585261178253,0,4826.166019974099,3811.8613893250917,4567.322323072404,4644.42015252285,4990.403972499188,5170.215724750548,4706.959091232788,4571.935066305673,5191.8741977091495,5005.804743936039,5336.1364111981,5486.3428955648305,5077.998051413348,4701.942340436267,5425.872367381206,5869.689231498699,6997.1976574019345,3850.9859127816294,5039.5778369163445,5553.102633326687,4777.394618140949,4788.9881343004545,5672.756179256563,5296.415142395642,4848.823969557918,5106.478385793768,4636.147408689776,4119.6317234407115,5290.718875674677,4219.8666964873855,4491.113016849613,4846.504714285248,4965.135418011697,4566.5953851330005,4911.001978356125,5605.24958328861
Catalan,4713.777797100792,5197.489456142835,6005.5363515804365,4931.717667933424,5889.248160424269,4826.166019974099,0,4976.626354396881,5468.283838645048,4644.953268536929,4955.967825533804,5061.164941712871,4293.198114551796,3814.0114331941973,5150.0831867700335,4954.108715652321,5101.62689413447,5320.948832285373,5094.781541328507,4451.655222541194,5019.638976512375,5985.775428340441,7159.047512067162,5048.19092815238,4791.917933272561,5518.180381665959,4569.508708971568,4738.547191340094,5719.558781770444,6024.0784192202555,4145.611191647596,4662.461433442037,5446.653825608707,5125.967372106354,5313.852743011161,4902.008495029102,5107.75023403426,3964.815386497779,4835.935521508345,5310.568872722158,4967.44122026722,5831.749672499758
Croatian,4938.751782493584,5325.292137642985,6040.564268434506,5206.6135546846735,4121.903131660125,3811.8613893250917,4976.626354396881,0,4508.369945942408,4736.5467332387925,5227.731204991481,5385.602748146694,4773.570856716591,4722.573704283968,5376.578701844971,5145.510312850548,5508.884375981884,5677.787552698719,5246.564392549697,4871.229919438949,5601.96938305413,6013.167918637192,6906.764040609522,4127.201215962104,5139.863099659997,5669.377035935025,4874.114306491452,4884.712169608573,5770.107661925809,5312.19101329545,5032.198395917555,5214.144847257295,4715.968281639996,3499.1397506514068,5343.05124310898,4125.23348910396,4108.525836890873,4997.413688601984,5115.87778782789,4447.9424344943445,5092.075183417046,5783.897925584144
Czech,5256.153698418696,5758.51092053608,6593.339795170797,5521.898946098687,5278.899915259399,4567.322323072404,5468.283838645048,4508.369945942408,0,4945.221180289341,5497.067813574161,5747.259280542158,5077.285534741301,5143.452455557516,5632.632244749333,5625.5678339439555,5952.507993984161,6139.958210806165,5579.415396798829,5216.581011396745,6072.667025507378,6176.534681050771,7675.724745594184,4881.9144054044755,5703.193183352575,5892.16384867627,5181.543712986813,5265.579749082181,6149.576808226601,5364.398910694333,5327.61298857148,5607.381159329649,4860.167522651792,4614.659858055905,5968.588778009368,3755.0503143423152,4886.44593989949,5483.958531729048,5467.922715282737,4714.2047496652895,5399.668375482115,6141.010840308232
Danish,4133.103231286982,5107.6353719218605,5961.70830350252,4901.893542066918,5560.191632417161,4644.42015252285,4644.953268536929,4736.5467332387925,4945.221180289341,0,4351.477340238425,4497.045636814932,4323.566221495179,4401.927569150107,4301.265093134733,4838.755062248556,5072.171960305865,5239.036698003208,4329.667943151802,4276.368573786269,5381.236928295527,5772.317645074723,7215.041524692288,4955.708582736134,4769.699183866326,5074.7848953247085,3584.8573286014857,4509.6150726789965,5605.537598876456,5838.555571960941,4737.913204416265,4873.868094307326,5175.162750237841,4961.010215881008,5248.520802915011,4590.486342145839,4763.354384849176,4832.06308754766,4005.381862197135,5090.910944467227,4769.487756499435,5430.724240036731
