,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,256.3190643849121,278.77595780576405,270.767125383515,285.5346717451743,259.49084324604144,261.6785768631058,260.04467225661153,275.6578326531689,216.3407869322683,196.46882590444648,238.23717624293408,234.33159056540205,227.87510627845725,238.55255928197312,249.6756016010435,279.963036888049,283.9063023345996,224.9691153713516,221.8621811224359,283.4501336965462,298.31735821275305,405.0099366330302,260.1706739258134,258.7710115119295,259.04530898999553,222.20776320278188,223.9460614806474,280.19323315925647,311.3493754516433,246.93599878235352,261.2130637126434,267.67405653968996,258.61565357709463,254.26851821942725,250.12423774832257,255.13920995039632,247.59890492647867,238.4698353382071,267.598478621281,257.2854137867964,286.3066405842647
Albanian,256.3190643849121,0,301.9601856295146,284.5217285388827,318.27246494895974,277.56673586432845,282.04484205670025,271.56597485754736,295.71096232067487,263.47915023757395,275.9260042622445,296.82139965041347,250.94885491450697,242.35692588925428,290.2595154786245,259.0573622885856,303.39883127770577,304.5833280792576,278.0804576999637,246.80733186386604,298.87279400920374,328.30080059298695,422.34991826098576,282.361129733309,275.37339842980185,275.6735954719797,271.13306470349585,242.76265920233632,295.517133584001,333.1918479617034,262.7653962721785,277.5578251299072,292.5360946842307,282.98011539718493,243.55887311231834,271.9575392411483,283.70531982863776,257.63018719019647,281.17125456513315,285.84998540559513,269.15008809545026,311.90124865755826
Armenian,278.77595780576405,301.9601856295146,0,320.3547559275089,329.7789832813085,315.7052040505156,316.609790399027,308.0333048764005,336.1884182175922,298.864345441334,310.05212640072585,325.074176813558,286.7123549957038,283.8061847099884,315.4178098922413,284.5900899846224,342.3846347686778,339.04932293379716,286.33300895312095,278.71728674446155,328.1982796640073,341.1373512444243,437.1695526059826,314.44507677253347,316.411717387141,315.62683757770304,294.9361981515677,273.2441366424236,317.81165014896783,363.00914675216023,302.01700199783244,305.1171801268293,317.9418550470557,308.9154070353043,288.6676521650149,306.38650941519273,316.2438620408455,302.027902920974,312.84523749416036,316.5922783438071,308.3727911340847,332.4821012313347
Bengali,270.767125383515,284.5217285388827,320.3547559275089,0,312.414009631711,272.4901052771957,271.33461433269616,270.7544078085962,292.2779663308963,257.23415618363856,278.11698888066945,282.74497656706967,255.97018747439986,256.67408189053805,285.4850708626596,258.9621321173688,251.38194499413513,249.7440125212899,286.1276326576244,254.3926864429541,293.3964032924951,326.4322981846461,420.40511195556843,276.56344351853227,240.43214776607212,235.9617808820411,273.4917996484886,251.66922946405666,307.3289155158096,320.30516541010337,266.4186236602028,273.56074302758674,292.2664674483916,277.55938428375356,270.7349175798817,268.27265345039643,275.64649749149316,260.3775970105064,277.3932139408233,283.3434353648525,230.5009664852895,306.47816020380327
Bosnian,285.5346717451743,318.27246494895974,329.7789832813085,312.414009631711,0,257.4731273825781,314.97582608748695,220.3909609132612,270.6587256450638,279.70549544677186,304.17800943569586,316.42710544633746,275.97890222369443,291.97863645570516,308.0810593627392,290.13652581840074,333.12830848383436,327.9960597193916,299.9701743830187,291.58928436500446,310.7664890733952,313.2709836633301,402.9784642032107,230.95759982326234,314.4980923724166,293.827012729395,283.5568050390304,291.8727803455927,337.1922342900688,286.18860560356495,291.84082346056937,292.82229733374214,245.56820273872648,183.07861045936517,312.41607457477295,238.56894392197543,246.21747355035149,295.0998831160887,306.8713448193559,243.2694019615579,298.6256252711498,327.6382185372574
Bulgarian,259.49084324604144,277.56673586432845,315.7052040505156,272.4901052771957,257.4731273825781,0,258.16518734848233,189.99456543230423,231.47945587038382,231.1504918575423,255.2317463682583,262.3464931037289,234.41931399733468,242.32640689514227,271.36210906420183,241.6218194361122,287.7134146068619,284.52503941789956,269.76471054908257,242.86790067494323,264.8485747989601,313.1044953690641,395.00248904835905,205.76926161581312,265.628977096472,275.81459051786095,254.5444054584015,247.4720891331246,297.4578372871282,270.6926301517319,243.9168760096784,256.3853367411825,241.9503441500707,219.0049134407013,269.07695386867465,216.82383058534512,232.33551642092584,237.5728436317511,262.1161873708739,231.90155009572757,251.19101253767877,274.3971625525808
Catalan,261.6785768631058,282.04484205670025,316.609790399027,271.33461433269616,314.97582608748695,258.16518734848233,0,257.2036849941183,284.5232829319074,240.35762244331562,261.22196946471513,265.615448913135,222.8589925249493,208.5801892278537,274.98496535684586,249.897573334179,282.5159631108481,284.4946664654115,275.09439511053506,237.7268894930859,254.20307187357278,324.65454753595117,407.5328173039725,269.92178655678043,259.77752511545066,281.5055447999521,250.34859952528097,249.78066145379455,306.00254806941183,315.07946172424766,218.7295864631479,241.87491967400837,287.3352388647969,274.02111202932343,278.4801053646577,256.74860081365557,268.6950209320291,205.69113734529384,262.99216529959824,277.72776949513633,262.78600128169404,294.6662649646663
Croatian,260.04467225661153,271.56597485754736,308.0333048764005,270.7544078085962,220.3909609132612,189.99456543230423,257.2036849941183,0,218.36240382364758,225.51277720549075,257.583041149369,264.85645757542636,227.45352203104645,239.9691313304948,271.8846634705592,237.21968756060542,288.124673355879,285.94329280350775,269.69426390511893,241.3253513261475,264.81693892161223,311.5733492037059,385.02209769338043,214.82477679415794,261.20643991851966,271.5625653034315,250.1636653185149,242.62302052621095,293.05973439527406,265.81476965025814,243.18349762807537,251.95761472962784,240.6453184088799,185.26884204427841,261.65060100480383,206.11613913285555,206.5651564722576,234.86120147653418,259.60078449762244,219.76412578367047,250.86303272568,275.42368737481456
Czech,275.6578326531689,295.71096232067487,336.1884182175922,292.2779663308963,270.6587256450638,231.47945587038382,284.5232829319074,218.36240382364758,0,241.93688418912663,274.38514775110224,285.2477281550675,244.45789944928072,262.6205686950791,290.206873980892,264.83404304188383,312.24897223936824,311.2600220782166,287.85529853599223,261.7979944260057,292.4439406941505,319.4700099770338,420.6759606366243,250.47614061495065,291.3964861704161,287.46746982292785,267.2793762919866,264.4579184097079,315.30048620922196,269.3193413190457,260.58996361330077,276.1683813770008,246.20242265366036,236.17642325773767,296.1446212590173,188.41052743626614,246.1766232705024,260.856129034573,281.19082111371097,234.48560451140136,270.3268100566373,297.27214957830597
Danish,216.3407869322683,263.47915023757395,298.864345441334,257.23415618363856,279.70549544677186,231.1504918575423,240.35762244331562,225.51277720549075,241.93688418912663,0,215.8305576935294,216.54167714092176,207.9527954795428,223.24008128924393,219.03294467228122,224.0269966861347,266.2877300137522,262.3188261411696,222.44314341697236,212.64090687565107,254.37182757643964,299.9125594509387,400.09273930701613,249.97281015105807,242.8459890144094,242.42500668330797,186.80962868463436,223.18869098381924,284.10655196567956,290.2754091373675,226.79669613144273,235.28465188659325,258.5974500864789,249.55406061720714,259.41709701744657,223.95465950635514,235.16145013821946,224.72567498904692,208.119528102108,249.09096240997732,234.16324731341584,256.49939342922596
