,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,11.247261496889621,13.401110033092529,11.117122921248425,12.846379885168984,11.05094817400166,10.957073083713121,11.406090936731752,11.544886355580713,10.294521573338583,11.320464389565808,11.39209618501564,10.551907094695814,10.48703752389345,11.387986509879385,11.285906022669309,11.688702151045293,11.898208847707592,11.604664118257354,9.937859421424228,12.96752183260674,12.796316915834627,15.844419925030252,11.58266391785245,11.004690621894987,12.429728920758837,10.24004615023294,10.837853198193573,12.771660348467877,13.596866690079585,11.267070011065883,11.486022877012907,12.046654016079826,11.466084190552388,11.775390551153263,11.029273282843285,11.577149173912197,11.179466089999964,11.282645452666234,12.005273560103891,10.995599313178372,13.285781616108574
Albanian,11.247261496889621,0,13.875223263201049,11.614446812378437,13.322222829019783,11.505476879388906,11.459147959899898,11.821901465119744,11.958951858232663,10.795529417369801,11.97378426287459,11.913363880227138,11.00805742370993,10.89202612898604,11.912918171148766,11.794993998269666,12.235080738284097,12.434676419221821,12.1781298485476,10.425766688028029,13.456599430974116,13.284194390082764,16.283858511750473,12.043931731913865,11.50299929058202,12.943281646509151,10.72162891771836,11.390811988142092,13.1604698011865,14.0812075649582,11.673951690822475,11.94935125877196,12.507293969789226,11.924707918539879,12.1391442880297,11.455752859088161,12.094639020698848,11.574283937426493,11.770028340994088,12.447506711501545,11.44643785574681,13.762950684869633
Armenian,13.401110033092529,13.875223263201049,0,13.73297114875481,15.464026525677754,13.744952940094311,13.622217213971613,14.060629694519854,14.173330384852543,13.052946350698388,14.164005498856254,14.079350409014596,13.224532345145935,13.103094730173463,14.055526561428515,13.891310254122963,14.381227362062209,14.550895468458924,14.255156552887117,12.622571306585485,15.561679505523056,15.379403581846988,18.283642903133046,14.212779744332426,13.656964768105091,15.026841133119056,12.982702662700506,13.511072367229096,15.325560968745759,16.210493745876782,13.859573927922863,14.13608712432287,14.672458009345288,14.104832032744003,14.290986909432998,13.676267424610495,14.271478911114052,13.73299765790163,13.941131138046346,14.649273680459181,13.624870633704818,15.821348036247924
Bengali,11.117122921248425,11.614446812378437,13.73297114875481,0,13.105504648591927,11.330170524112084,11.265136044894364,11.667610413730158,11.863825411302477,10.652483192741323,11.82179686056607,11.708403268395838,10.82635685568548,10.820497599431825,11.737134594370888,11.603187846178866,12.00145508688,12.197149103874876,12.035289993013857,10.26491203323925,13.235605465023534,13.057581889161646,16.050440229519182,11.84724467152177,11.312107432539698,12.620300129887415,10.612676879684782,11.222228006077717,13.1135030929601,13.886508980627163,11.534717888224423,11.807464077919663,12.3097242276275,11.73252511831973,12.087530201976739,11.33971554777839,11.910488035526562,11.421658066074645,11.588351780167587,12.263752183560715,11.220582575300769,13.560082396431186
Bosnian,12.846379885168984,13.322222829019783,15.464026525677754,13.105504648591927,0,12.954936177394721,12.995027239574032,13.240505141138891,13.473941240505095,12.384712210210882,13.525716234427808,13.356287274564556,12.58391956730926,12.509962089220553,13.42707647666456,13.294767087976197,13.789328395420647,13.97523510511418,13.739200937623712,12.003380585451906,14.87111535179862,14.724083612667553,17.674206580821767,13.3396925973058,13.08081604675755,14.421224377629706,12.3096661571743,12.995866676535998,14.79233579028801,15.471053984973508,13.2390402172594,13.455422101415248,13.814295718312527,13.17895318173843,13.785430929387573,12.989675694157107,13.574718815365687,13.129107556844078,13.302819889256744,13.731712280912076,12.939500567634031,15.191235398606489
Bulgarian,11.05094817400166,11.505476879388906,13.744952940094311,11.330170524112084,12.954936177394721,0,11.186467157467524,11.421956041793457,11.660477695542045,10.539953413276725,11.708737656781073,11.517306726395798,10.751354175165472,10.745457890593638,11.661483340439545,11.510553101712226,11.993142557511383,12.167727021107417,11.969508253232492,10.205909606808131,13.09019526585044,12.937138979418451,15.975611052677305,11.692932838511823,11.28431179735922,12.644921608919974,10.488857230670469,11.197044037107567,13.030431038317055,13.741062547423441,11.441271307247808,11.647665635541099,12.163705665476,11.580326299913134,12.011689784774175,11.196668880613954,11.808918674698077,11.33517344973287,11.494028118659573,12.09333377230773,11.160501817000393,13.405469531399893
Catalan,10.957073083713121,11.459147959899898,13.622217213971613,11.265136044894364,12.995027239574032,11.186467157467524,0,11.54148710626853,11.717991774847315,10.48724268065523,11.651855322238966,11.577003490400775,10.673391881803564,10.61021086654498,11.574877292273447,11.423555808171223,11.88297013855989,12.104028495856413,11.882510135948156,10.096199554788923,13.08219904860635,12.93517168611458,15.968052344890875,11.737347558143183,11.191904785886576,12.578816674003352,10.44342152452761,11.061953766406587,12.98471724177014,13.761679550930394,11.341025472705708,11.604775440278454,12.20090195373375,11.619337577115989,11.978991535017572,11.192899878462033,11.750828566617631,11.223393503230305,11.40944719520163,12.145693105941048,11.146670549147562,13.457461684276744
Croatian,11.406090936731752,11.821901465119744,14.060629694519854,11.667610413730158,13.240505141138891,11.421956041793457,11.54148710626853,0,12.015806449229018,10.901643676139797,12.05253462544585,11.880654578871326,11.08368607655301,11.078950297513833,12.004493493330623,11.837177986839006,12.33273706560518,12.525716504763977,12.322982343059387,10.568278234767678,13.422926651829586,13.294236703531366,16.262396601806987,12.013609899534886,11.619701421820775,12.971806720727836,10.855674157951686,11.556364201597834,13.34285903473578,14.054952217523685,11.754517068104416,12.0214298231516,12.487239511448825,11.877264825594779,12.3249796041208,11.5272188987407,12.146532895747802,11.665620365657038,11.860738131384597,12.41069076785597,11.519254192848026,13.753419456379616
Czech,11.544886355580713,11.958951858232663,14.173330384852543,11.863825411302477,13.473941240505095,11.660477695542045,11.717991774847315,12.015806449229018,0,11.06810482707644,12.22042504056934,12.109714025303658,11.269583318349211,11.208322103589087,12.149760614352378,12.032774263101214,12.51596720696657,12.70273487253764,12.456084037587331,10.694792093280379,13.637313502929471,13.480780944746986,16.46976395611247,12.247600423683377,11.806716814914182,13.163136029899864,10.964727284290403,11.691564171788718,13.482669027245745,14.234977381087639,11.915574152849086,12.156223568690775,12.68558562495785,12.107394926370153,12.48212187243116,11.662876174055757,12.348459413924806,11.82906206927163,12.019572382545018,12.636680244831195,11.667255515720745,13.948102838538125
Danish,10.294521573338583,10.795529417369801,13.052946350698388,10.652483192741323,12.384712210210882,10.539953413276725,10.48724268065523,10.901643676139797,11.06810482707644,0,11.030742309027607,10.896589418733392,10.065698085894388,10.013787728609335,10.95142427387705,10.859820252716156,11.266811440793303,11.486954524659565,11.238038755031367,9.469108719338527,12.514623132603866,12.333148610358691,15.414752134574252,11.10693128964181,10.56267090930933,11.972173432390374,9.715970191280604,10.448666740168035,12.337351721927158,13.157733221301363,10.78865034879538,11.029958441066283,11.585182265383194,10.990882646881479,11.33023265254211,10.554800731972586,11.120096870839728,10.68332073274054,10.795004549119858,11.532777176127222,10.515438186988613,12.853936446237107
