,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,115.25418761166554,111.33839338717128,111.39178587473303,112.4819655698238,103.97750719288013,102.67508453728165,101.26530248117108,99.99009965427463,81.21649095183328,80.15301655804379,94.976820020488,95.6648808182523,97.18899132356826,100.87978006341245,109.5284029062517,117.27330857481849,116.59357248266492,87.2088098209725,93.59106552394684,121.78626156764517,120.24427417169022,148.22340464434524,107.89209157403741,105.01986510960998,115.28814897838465,78.8452155463188,99.37604793026651,119.7078877672916,131.97113746809254,103.4757292067378,108.47206084414273,110.9549209159024,104.17088846409492,129.3986332403144,98.33376919099726,109.16592522936642,104.88685703254889,91.83007985766584,109.52324076505815,108.07095180253313,118.8292625309101
Albanian,115.25418761166554,0,127.84823470788324,112.8091762744791,140.1021285143899,118.39767021387627,126.5937684835438,120.35800387419673,117.6775390852111,125.04392916770082,129.7361822987552,140.75412567268484,112.90240363527472,98.98603722922176,135.98177215804506,123.03556440967184,138.73317891393367,125.99888432849174,122.95816248438956,114.05886249694886,133.20223669181286,150.79031190360377,165.62651371282868,121.15596308638099,120.41443462060192,109.96475224855224,107.18820969380752,107.50397582897602,123.13019663884398,160.28596697484124,120.30848619626501,117.43343614229428,133.7725138347789,116.47529539840427,100.49851202075176,116.94005751369284,138.64743937438436,109.40953477937443,116.43745222747553,116.36469342377461,104.93001919456484,138.68655697563185
Armenian,111.33839338717128,127.84823470788324,0,129.498697069684,131.413382925169,122.08296305930281,129.82283887650857,120.73770779310789,113.92893940351462,120.68872759823716,123.97353122304555,132.86302851272865,117.5639132200815,115.59348692847668,125.48791560751415,117.63719595865467,134.9828898217041,130.3224583023215,111.04241170256047,115.28905787267455,141.29321420646318,136.54177794680592,150.30957107746534,124.32467887661774,126.32091118761537,132.91582369269827,111.8409428725675,114.42631697024166,123.67018849827679,159.22972161165967,129.76601100918526,122.377549461746,127.3455764240918,120.85553521859028,140.22054563476215,118.51519757645165,135.1573471391618,125.7718090708903,115.65155024353434,122.26037834079129,118.47533849380406,133.07788723749817
Bengali,111.39178587473303,112.8091762744791,129.498697069684,0,126.6650772182374,108.20889159684836,114.35712209480586,109.26512546335343,112.86655945025515,117.29256301084351,122.35831770915117,126.86146039352384,105.33303111685849,103.96159983630645,132.06086900819733,116.72079298319532,108.13906097499023,99.121071160884,117.82319656057315,111.8302349364063,125.37070649322612,141.36368611895796,161.532855428275,113.60451965338119,97.06621078320848,95.11762138052485,109.30628597245574,105.18073778750032,126.16509339291657,147.84710001784106,115.56519698673384,113.63506208744016,127.64733565767004,112.2939104286583,118.83077832503771,113.56747583599034,124.95661630064987,107.19538526297237,112.53436017975648,115.98239255342807,94.10066194103648,132.86053515274813
Bosnian,112.4819655698238,140.1021285143899,131.413382925169,126.6650772182374,0,95.17466383151461,121.4921863822513,85.8778569430133,96.86408793316477,115.91650089558253,131.51739645978475,129.98605050771022,113.22377217260713,118.53809774862181,143.06084719955814,127.86060450208568,137.50262441011418,132.73253412605746,111.60734889689847,122.68312529156833,132.52895137907177,128.66827915338595,149.44892090852292,87.67865669483523,125.4876370740353,136.4023204099607,110.35082649007447,121.80607332526313,132.250552896022,116.52359442086389,123.82086469501276,121.71920207899107,99.31619414894939,72.03860506444859,161.252861489939,92.67276322526166,104.38655901238614,127.73339674017596,116.78070191065098,98.30046993075342,126.66275460817252,131.55567463119908
Bulgarian,103.97750719288013,118.39767021387627,122.08296305930281,108.20889159684836,95.17466383151461,0,107.57763757920785,74.55764570778267,89.30817768363008,96.22347181167214,118.00672095275533,109.93116371776729,97.23762174919885,96.73214349107276,125.13627604464581,106.7687859438316,126.30872355240514,116.56640728516905,106.28466601634786,104.01382314185508,111.25459818937047,131.30612521259025,149.64183172626335,81.08386066337766,109.20225446307478,111.41674238024152,97.65489983880612,103.74299066719381,119.90179426491227,125.90483341357744,112.44652555172082,105.28708306463376,101.78301011470597,86.75729983135588,125.87263071837491,87.95871450492693,92.81721243824462,102.6212581836597,101.64636660822197,92.30507020705254,101.42068867009502,107.73691812074337
Catalan,102.67508453728165,126.5937684835438,129.82283887650857,114.35712209480586,121.4921863822513,107.57763757920785,0,103.739771140034,106.60188136938753,105.97972467306397,116.61472002750679,118.42250321664766,94.77628635816336,85.358643837495,127.04354297416724,112.71312994361797,123.5171797982073,122.24396457529804,111.0449136813334,99.82012927553488,107.77107652663166,133.59512756699084,153.17985814655987,113.27465203272351,109.61632531334895,118.98064196292903,102.59980244648997,107.68707047934694,127.72110190597195,138.96739120831148,93.56620936745897,100.49339410044277,120.12037557877746,111.2649453190888,136.7273581698884,102.6193634944538,114.48839447076658,86.28665276811249,110.45237678072566,115.40886273409112,112.57572899390978,124.37265844377704
Croatian,101.26530248117108,120.35800387419673,120.73770779310789,109.26512546335343,85.8778569430133,74.55764570778267,103.739771140034,0,85.31598030788497,97.61679646328383,119.69055607228414,109.79943500822326,96.2638328930966,95.33820107527278,130.56476839328954,110.32166927854422,127.87923129604847,120.3894065870455,107.84885580686385,103.61992816932803,109.22121244237302,128.86229926579026,147.1458008593545,86.82363100672367,111.7816820982627,112.4069489698455,95.792113304579,103.32158147725555,119.37106512889135,112.50400544634981,106.16659192831575,104.64900786646093,97.63633401133193,77.77298496171754,127.71363893382062,81.39406089448832,87.43212586201965,104.11549790134859,100.81030555124194,94.5560216838818,103.7990620058235,110.67257983496008
Czech,99.99009965427463,117.6775390852111,113.92893940351462,112.86655945025515,96.86408793316477,89.30817768363008,106.60188136938753,85.31598030788497,0,104.31998986159144,115.2758306709638,121.66120399836858,98.76313482621813,96.81700126161925,122.57132114705149,110.51547488929069,121.34043323570538,116.36079655797342,100.55216916184237,104.16526773807307,117.14793971691569,118.589310783923,142.18476157917985,94.22826808347384,109.33573651253096,113.83680974777616,97.75876806754054,103.3031658019795,120.09957101259221,112.32218695950394,108.26422130054789,107.23515867169827,95.46345925124476,87.39663500862034,130.05374568612766,70.98452119142807,100.15982147501556,105.02745613203139,108.8453257683585,91.17593396840161,103.656270733918,117.50707682328742
Danish,81.21649095183328,125.04392916770082,120.68872759823716,117.29256301084351,115.91650089558253,96.22347181167214,105.97972467306397,97.61679646328383,104.31998986159144,0,98.439909900452,85.27272853834154,96.10726228315,98.64348527963367,98.39974900893853,110.27060861844215,127.896824934186,121.92523316521829,83.26395396046088,92.23016375465389,115.43973981672097,133.6900961390586,161.20352064992574,110.51838274289548,110.6788230231286,120.81642219841795,69.42093890043647,107.83174161323974,118.79508507131972,138.66449981069303,110.14868927744901,110.62878154898254,117.82444844435973,107.79748237476558,142.87494430818813,101.57262697137628,102.04238527206205,107.55496361874029,83.40828571053872,112.78320648501811,110.8847137680397,109.66123601077115
Dutch,80.15301655804379,129.7361822987552,123.97353122304555,122.35831770915117,131.51739645978475,118.00672095275533,116.61472002750679,119.69055607228414,115.2758306709638,98.439909900452,0,104.7718463779518,113.77808609517623,113.9882127690632,95.5941580969282,115.34916625928513,126.57097281001384,125.04783666757973,98.00733760483716,109.01948547948538,133.17548502011257,139.67791209654098,160.10034152872723,124.08944211214877,116.45667574196486,128.04057051021178,95.05348876803713,118.26735000583973,128.66783379991472,148.84915509736535,119.85579705314056,121.45471162855941,130.6821743590649,121.18298104544883,143.84427280000517,117.83209021759718,124.47249165740601,117.35371018347689,103.44142739393193,125.77290942121267,120.75653847992953,132.05983652993754
English,94.976820020488,140.75412567268484,132.86302851272865,126.86146039352384,129.98605050771022,109.93116371776729,118.42250321664766,109.79943500822326,121.66120399836858,85.27272853834154,104.7718463779518,0,110.28706418510788,118.21032861603763,112.57710494590448,121.06629923380771,137.5520124631344,138.07761578547718,102.5676548625079,110.46422006094247,124.56200791011116,143.21722903280047,169.27430634147916,125.13940236853203,127.44703262649462,136.78049840333316,92.21263133308652,125.83043624147652,134.29692674056946,149.7175423051596,123.20032336625168,125.05657694425356,127.90629037881358,124.70899730691825,157.11516193795035,114.71526164185717,113.89506998664498,124.0498885432012,97.87311985574023,127.19215601915043,126.43223630280603,120.13812414931814
French,95.6648808182523,112.90240363527472,117.5639132200815,105.33303111685849,113.22377217260713,97.23762174919885,94.77628635816336,96.2638328930966,98.76313482621813,96.10726228315,113.77808609517623,110.28706418510788,0,86.88905023367441,122.4564187584018,105.41459211793756,119.7191942859857,112.6577642753713,104.09551156092105,95.59547034389527,105.52327165173617,125.8284155791411,152.89911707955906,103.55954120809983,102.50604372238026,109.91072309715256,92.2208279545288,96.9926556399751,119.54757456896793,131.45485263655758,96.85134441265808,96.96188956709896,111.93847098075608,101.96113972319698,128.7246233204113,95.57353387991851,109.77829971461072,94.77716897111004,102.44441037367581,106.70733583276262,102.11449821447664,120.10621780615412
