,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,4561.256108421241,5417.618311669622,4765.935904259292,5343.973898621083,4651.762901362034,4652.794719563203,4732.404534791002,5084.780237362639,4026.6270561745887,3736.8391024979733,4446.342614600194,4364.343953742479,4140.853094962542,4376.854942580836,4905.9650949374,4867.757920116612,5140.024702938943,4247.3520860065655,4131.670851570154,5578.140732228644,5417.674097565644,6841.518084237085,4761.515669490726,4617.983783166682,5065.735775023005,3963.8501618733685,4185.184271703799,5119.130618395184,5745.452308491848,4649.86888605848,4939.012978532389,4981.655459996443,4761.661987933962,4823.057331016112,4658.466530379914,4746.098847733081,4821.101106239205,4300.393038835172,4994.784718277275,4759.919117633044,5621.496847520063
Albanian,4561.256108421241,0,5749.261549045149,4974.366203263551,5817.383262647513,5124.591593963636,5026.445794615051,5134.892514301679,5570.621125982696,4791.870280708208,5181.256503356631,5417.433752508086,4785.764955487899,4393.407784287197,5239.889985080078,5204.291474736405,5172.693098540443,5441.135805511533,5034.527713952707,4526.219712395337,5982.432631756226,5843.228493007656,7033.149683937412,5159.100750815353,4860.373466418507,5254.722135159536,4786.478882173817,4487.6507220308395,5410.50622942831,6185.768280502775,5034.867777108863,5289.427746662041,5405.705409248441,5194.267184032305,4675.487025196387,5027.687062121285,5236.75685315262,5119.9141669159635,5072.454233353939,5369.909139082473,4973.870425024849,6071.0117727586985
Armenian,5417.618311669622,5749.261549045149,0,5898.414192051904,6438.70802266365,5952.151752178714,5901.494053960305,5857.2196596623835,6363.696718577246,5627.798060808518,5978.392136281392,6133.495122489309,5598.877600880509,5438.536452057635,5986.702166554198,5849.129965026633,6150.126417620601,6337.177593708386,5580.821441662254,5439.618092263794,6637.3502949298845,6473.739926736662,7691.289180113757,5968.561328249752,5866.086434186762,6288.59132894272,5523.694886489316,5356.770976217908,6147.019112585552,6873.865912893956,5884.751967580714,6008.956724313775,6149.8157489380765,5943.15749953026,5815.264415521236,5876.428992056479,6014.662471893523,6067.494226870226,5843.119515391567,6139.413490439424,5910.151678219369,6643.369831506075
Bengali,4765.935904259292,4974.366203263551,5898.414192051904,0,5804.1610700982355,5042.539515900397,4959.3221900312,5110.826394791777,5445.686899097894,4774.860562434642,5168.156661576007,5249.074401006252,4815.864012060107,4664.093077251786,5193.153171610132,5111.580208553423,4537.563299733619,4696.767592200256,5181.257117074425,4615.734925100064,5841.403728106129,5879.592028063672,7166.2781473688065,5167.770817802666,4464.796808502352,4703.765879461584,4836.088135203873,4646.060304643521,5604.410979209555,5997.0627714856355,5025.958914623158,5228.669525395488,5485.058264918072,5194.328098639398,5060.160685396603,5066.871184807496,5155.104211434751,5099.190484051735,5062.027183518043,5438.081914990214,4454.603742120769,6018.988887186916
Bosnian,5343.973898621083,5817.383262647513,6438.70802266365,5804.1610700982355,0,4942.790633957069,5828.975365078038,4317.076878533068,5392.2339225953465,5413.2206881987795,5809.407863097285,5999.963566145208,5456.986572194309,5392.1793832083,5869.077026152952,5913.305623681546,6031.11819408309,6188.908090711056,5673.2676428485165,5485.00195524831,6340.0293611844,6044.35093391334,7280.990372222516,4539.909666067022,5805.802629220569,6102.182121018324,5374.303534881869,5506.523708540498,6295.574673902558,5709.697576461428,5688.126039080519,5848.882418888571,4944.547699817932,3827.3785964529457,6016.936957688582,4789.076001246393,4924.60440949778,5847.94813621378,5779.4019653547275,4894.828737757715,5760.929364941612,6615.700384177039
Bulgarian,4651.762901362034,5124.591593963636,5952.151752178714,5042.539515900397,4942.790633957069,0,4888.156807930485,4140.750010440717,4759.758832413765,4619.592563490366,4985.096662116021,5105.247321473925,4721.660206996041,4547.197002384347,5124.062147646144,5074.879466977352,5184.472899947936,5352.315136613411,5026.080024380524,4595.448381024925,5568.301648861577,5827.006100891918,7010.943794443004,4147.855203723374,4946.396113582468,5535.910989990794,4675.589355354121,4706.5027004672265,5590.77927022652,5461.286334628893,4916.807942817987,5149.001129490215,4763.334988263446,4334.798606505206,5278.87364686723,4412.805541827163,4542.580081491379,4951.416636661623,5024.655674469156,4742.769130933616,4953.816148427484,5767.301157917423
Catalan,4652.794719563203,5026.445794615051,5901.494053960305,4959.3221900312,5828.975365078038,4888.156807930485,0,4938.38108935091,5369.998449343168,4548.52141419427,4958.03692944367,4992.232504553959,4339.706536956194,3947.9692248981514,5080.821984919643,4999.321705385836,5040.254735916367,5223.552491913526,5056.625296841955,4428.951230318289,5190.019596561498,5977.385260845947,7172.4903918260425,5088.832187747761,4787.320196511649,5475.6981559873275,4511.5773377066,4689.509755509864,5610.16218041445,5998.379891663061,4323.7932460782695,4785.290707549559,5440.657381977887,5149.711610573561,5248.728584050376,4921.035328722868,5026.014655637474,4231.863916442378,4853.1220814818125,5333.695350028978,4976.212396452976,5877.693965035695
Croatian,4732.404534791002,5134.892514301679,5857.2196596623835,5110.826394791777,4317.076878533068,4140.750010440717,4938.38108935091,0,4678.681238366012,4626.611293854822,5105.491456311558,5212.581385753427,4726.594807001101,4628.3078817249325,5191.889071367226,5114.1311025991745,5233.376138595999,5409.52399539707,5083.241414189171,4666.319299601118,5610.053067058977,5901.837485261918,6823.962042933258,4295.275138210831,4956.266816322149,5520.442122616808,4732.279601297164,4723.9711461835695,5595.564600787982,5359.001752523394,5007.50012662333,5177.14936555645,4767.255100954568,3774.341350147359,5262.9452965101755,4272.373786326372,4182.832090241147,5029.772311475969,5068.8724838336575,4581.223951473505,5039.286352615087,5806.678207799482
Czech,5084.780237362639,5570.621125982696,6363.696718577246,5445.686899097894,5392.2339225953465,4759.758832413765,5369.998449343168,4678.681238366012,0,4870.908808548162,5384.799166780095,5577.671565904126,5032.955567441915,5058.587935720285,5509.772912190083,5553.624404843715,5696.675273722631,5877.3284495916205,5427.9001622320475,5012.389465055006,6066.27547139256,6074.612046332873,7476.988335851567,5000.8801435874275,5473.682019796857,5826.709151173431,5053.46582280896,5121.243544764534,6026.954016724385,5496.660675954426,5363.339799047546,5603.59164505294,5016.176454419505,4778.00939783352,5809.424907124309,4067.278762626541,4881.1023148509075,5460.789730793454,5442.497856692789,4922.847908076245,5366.793923456392,6155.326437658207
Danish,4026.6270561745887,4791.870280708208,5627.798060808518,4774.860562434642,5413.2206881987795,4619.592563490366,4548.52141419427,4626.611293854822,4870.908808548162,0,4329.374675008341,4414.579311317598,4229.16556765393,4234.149491588507,4281.28991943765,4725.91180744514,4824.136153965552,5012.363941172632,4266.0179087916995,4085.015780261831,5336.73654912347,5615.821889849859,6996.191419061221,4852.243169469938,4575.433146597492,4966.530572401177,3613.2043046904246,4313.455585441215,5374.706590619567,5686.152232218628,4627.283218450567,4789.707889394571,5059.667525445129,4857.182106918192,4987.7056074328175,4535.180915057301,4590.620545762264,4747.329568985704,4079.1149350543074,4983.121522544381,4679.63302190882,5414.204194611024
Dutch,3736.8391024979733,5181.256503356631,5978.392136281392,5168.156661576007,5809.407863097285,4985.096662116021,4958.03692944367,5105.491456311558,5384.799166780095,4329.374675008341,0,4774.903378390212,4780.791195763609,4738.866696619128,4438.356617762121,5130.590886262166,5217.6642697923235,5446.593814125017,4776.38597035033,4595.143338878744,5839.049230726952,5923.654993050148,7300.921680689721,5208.509780436815,5009.200756095799,5498.050023489477,4339.047974737209,4786.060743600984,5650.74344615362,6123.289632133004,4960.572252968455,5289.407843750945,5529.0458162426885,5237.385063437229,5441.245313125596,5049.12234335089,5067.143156181951,5102.60161586278,4698.000472590602,5446.710765074951,5121.43226270853,5941.214009759785
English,4446.342614600194,5417.433752508086,6133.495122489309,5249.074401006252,5999.963566145208,5105.247321473925,4992.232504553959,5212.581385753427,5577.671565904126,4414.579311317598,4774.903378390212,0,4849.783482503938,4804.853557177965,4880.530685329981,5323.788633219399,5246.687929235826,5547.288354391103,4970.495010084026,4647.866800483096,5877.830527396877,6038.358589915279,7414.161286792004,5363.802274920752,5065.785542788501,5644.130713188579,4431.316422294773,4964.580413003105,5874.719905794648,6243.586778536874,5123.175211478211,5359.261697460911,5589.637877046692,5344.502904148287,5625.780018871751,5160.769359024978,5242.92395217278,5204.802052012565,4825.409074588198,5539.364415823125,5184.145333847031,5926.9099198752765
French,4364.343953742479,4785.764955487899,5598.877600880509,4815.864012060107,5456.986572194309,4721.660206996041,4339.706536956194,4726.594807001101,5032.955567441915,4229.16556765393,4780.791195763609,4849.783482503938,0,4112.073207339031,4821.48376527024,4792.370859447095,4962.224658486807,5139.036846381452,4795.649783762475,4218.150409683308,5085.501197348634,5566.381050981543,6934.168357515514,4904.940599937201,4632.974724590708,5142.774962533314,4353.296953307512,4359.430314117298,5384.96097179192,5770.970709574375,4446.160613820831,4721.889892147181,5103.364452698881,4889.051853830098,5010.484182876162,4666.139537658736,4767.361850565804,4523.755609773762,4770.574670791699,5076.331219545778,4743.949187453951,5558.726975811114
